age,female_aamr,male_aamr,year
1-4 years,24.268324646635268,30.386271910593447,overall
10-14 years,13.258176357812582,19.0675373696332,overall
15-19 years,32.544623711761,78.32629256879105,overall
20-24 years,48.40692481391986,137.50534459228237,overall
25-29 years,62.20410016655282,154.38908310020773,overall
30-34 years,83.98306382591174,175.18875079849937,overall
35-39 years,117.4116686383376,214.37100697637345,overall
40-44 years,171.88260959473592,289.70571644273105,overall
45-49 years,257.322264691475,425.2263063075907,overall
5-9 years,11.502754281656994,14.128254963559366,overall
50-54 years,382.7148376615516,638.3719220365505,overall
55-59 years,565.2033006249703,944.884326708359,overall
60-64 years,842.3751600098153,1377.5720541038802,overall
65-69 years,1257.0783988304029,1969.8250861253805,overall
70-74 years,1985.1389542484148,2954.3729886606143,overall
75-79 years,3255.174006378446,4659.313156382437,overall
80-84 years,5525.42261687932,7570.363944407231,overall
< 1 year,569.8916938394865,689.8918927940139,overall
1-4 years,27.762530510103716,35.112458804526,2000-2005
10-14 years,15.218020373876625,22.550781746579215,2000-2005
15-19 years,38.61694495408036,91.2575452379326,2000-2005
20-24 years,47.58612456984703,141.38582892251785,2000-2005
25-29 years,54.77724711154731,137.7054558361309,2000-2005
30-34 years,73.91164149723572,150.21750577327927,2000-2005
35-39 years,113.85670717978928,203.85848279636156,2000-2005
40-44 years,176.7257424161575,302.00897444816906,2000-2005
45-49 years,260.9283248831343,453.0733439030034,2000-2005
5-9 years,13.53377635419952,16.609005626054476,2000-2005
50-54 years,378.21460732271225,652.2740961549534,2000-2005
55-59 years,579.1168042363552,944.8357940997008,2000-2005
60-64 years,922.2887129122344,1454.245608551081,2000-2005
65-69 years,1429.9082712743273,2204.3655869887243,2000-2005
70-74 years,2252.518004950484,3427.9720463862454,2000-2005
75-79 years,3617.335762264092,5364.690415295535,2000-2005
80-84 years,6069.321340975558,8565.341585238295,2000-2005
< 1 year,632.753191900091,778.1712391531324,2000-2005
1-4 years,24.792627201130017,30.59971641565656,2006-2012
10-14 years,12.36708449859112,17.644462150779233,2006-2012
15-19 years,31.102730124511595,75.34707248589577,2006-2012
20-24 years,45.80865081442754,134.08499049429238,2006-2012
25-29 years,56.609076661522586,140.88229422649906,2006-2012
30-34 years,73.550284348292,150.82087671477314,2006-2012
35-39 years,104.25868388712476,183.180641968278,2006-2012
40-44 years,162.52209909099594,263.893060396779,2006-2012
45-49 years,255.57149580378007,411.371728019391,2006-2012
5-9 years,11.196538763946052,13.775795138087403,2006-2012
50-54 years,376.3365149613483,630.3393733477326,2006-2012
55-59 years,531.9201659196843,911.7533133067324,2006-2012
60-64 years,799.798125285521,1290.6381567604674,2006-2012
65-69 years,1236.792227148126,1890.7895762948503,2006-2012
70-74 years,1962.142286013868,2880.1461278854185,2006-2012
75-79 years,3217.0046109436903,4574.856456973722,2006-2012
80-84 years,5436.099691836699,7488.632457499865,2006-2012
< 1 year,590.1247922949651,714.0378185528298,2006-2012
1-4 years,21.55022673330027,27.28149627952718,2013-2019
10-14 years,12.20248484736055,17.110427573590474,2013-2019
15-19 years,28.409361629136924,67.60604885721331,2013-2019
20-24 years,47.450605232561536,130.33846250843217,2013-2019
25-29 years,63.69418044634397,156.3515508298729,2013-2019
30-34 years,86.52237828177898,178.97083411509698,2013-2019
35-39 years,115.75292650446316,210.72102179079877,2013-2019
40-44 years,160.01807999607163,263.9357124067181,2013-2019
45-49 years,241.6874081691817,384.46583086175934,2013-2019
5-9 years,10.489899203870504,12.854787645535124,2013-2019
50-54 years,375.1659611444527,603.1990385000636,2013-2019
55-59 years,554.1299807963113,918.016680401978,2013-2019
60-64 years,787.2789226391924,1321.3129562624902,2013-2019
65-69 years,1147.392399231355,1821.187463561685,2013-2019
70-74 years,1816.208119104622,2685.331429581468,2013-2019
75-79 years,2972.308614052911,4203.135771901098,2013-2019
80-84 years,5123.127287947677,6905.917560395725,2013-2019
< 1 year,522.065021680889,628.3629436917183,2013-2019
1-4 years,22.461222604147075,27.77100349176254,2020-2022
10-14 years,13.80854910841373,19.823420404816545,2020-2022
15-19 years,33.78316868648776,84.86379840544475,2020-2022
20-24 years,58.13177667974,155.31090269028226,2020-2022
25-29 years,83.59540834107649,206.3864325886674,2020-2022
30-34 years,117.39953331680752,258.91682977067205,2020-2022
35-39 years,156.6740697163583,308.69108538720224,2020-2022
40-44 years,210.5115883066132,381.17447461605985,2020-2022
45-49 years,292.842483273099,501.80359637962874,2020-2022
5-9 years,10.613989907988538,13.06095518386662,2020-2022
50-54 years,425.75569616019874,717.8011469981321,2020-2022
55-59 years,642.784331580901,1077.148018254907,2020-2022
60-64 years,946.9948478470752,1564.5626764507988,2020-2022
65-69 years,1329.0017801813858,2151.3878058077157,2020-2022
70-74 years,2018.4098372933656,3037.0916516780026,2020-2022
75-79 years,3316.8663314320293,4721.531375353823,2020-2022
80-84 years,5624.89696057567,7672.109796642523,2020-2022
< 1 year,501.2191565678592,590.4488366167722,2020-2022
