age,overall,2000-2005,2006-2012,2013-2019,2020-2022
1-4 years,340.85450265030136,409.1787022845542,321.7096729643524,331.1887962544206,271.4306875727309
10-14 years,319.033814422777,405.6388540678038,294.3326687088006,270.1451402726367,317.53331481566215
15-19 years,2646.704904296198,3013.3922134008367,2584.4241735274404,2292.048383080936,2886.183874049634
20-24 years,4817.5717373926245,5032.336001413693,4827.114618782523,4515.172004987734,5071.375861718802
25-29 years,4459.842011348607,4017.022588170221,4166.420309240606,4559.965006612594,5796.511173674747
30-34 years,3883.195225632943,3240.9827603677263,3379.335615880435,4043.448817153831,5969.367532037155
35-39 years,3597.3684565918957,3290.039657700164,2967.050131961375,3617.509419831682,5635.773230953737
40-44 years,3770.818894715704,3958.279065185806,3245.4926764581887,3412.707603440398,5457.2527426854285
45-49 years,4658.189095274496,5309.88369881656,4303.798835695559,3997.813654060612,5722.586523373617
5-9 years,130.50588637206147,149.242367931299,132.2221511740487,119.97794820273214,113.59349444405144
50-54 years,6099.815517753177,6397.934989043386,6154.229313957378,5488.6088213006005,6802.760009085649
55-59 years,7605.107207374434,6905.7708602345265,7868.394986047473,7556.870918208224,8501.993092804983
60-64 years,8668.159522169459,7923.692898504243,8107.909762748419,9296.275399252052,9998.738494956244
65-69 years,9041.75057247078,8884.588459271366,8241.793029921235,9237.876792080937,10765.014552394852
70-74 years,9195.44353254934,10100.78105431398,8546.333766487656,8745.16049707746,9950.018359265054
75-79 years,9323.148628396702,10779.404481992562,8786.543203798246,8584.777252240368,9385.58278963282
80-84 years,8842.326202458833,10047.796626487076,8733.35042618926,7847.529043893308,9006.855535684219
< 1 year,6227.910725506357,7686.162583312718,6605.4996877580925,5601.266102594505,3892.536884767229
