Year,Infections,Neoplasms,Blood-related,Endocrine and Metabolic,Mental Health,Neurological,Eye and Adnexa,Ear and Mastoid,Circulatory,Respiratory,Digestive,"Skin and Subcutaneous
Tissue","MSK and Connective
Tissue",Genitourinary,Perinatal,Congentinal,External causes,Overall
2000,273684.75425697735,1300611.3125862642,-11622.241993243064,51062.25185267481,101679.44646622452,51516.70978593715,162.7043144935051,161.76743816319686,2933954.237101472,457115.82733324566,270992.6158732106,-7963.096546685377,-84591.22070188931,33446.8790152263,1955.3876514792569,4236.545533838149,2032996.7858105495,7509892.959569129
2001,263756.74454850657,1254921.173823011,-10707.861171951135,58413.78691910698,96253.02121634276,43693.64803886323,-148.469629922435,-881.7267604585247,2753844.7712197886,398760.25260214834,258503.3378879856,-8627.929643177307,-89354.60737207643,26399.17406949388,200.41440936934973,2281.367261020056,2110424.109898884,7295112.989250649
2002,269821.85782234353,1239081.4081823165,-9720.374339067634,78372.57680455282,98770.360245908,38018.54121745197,-321.8779562193041,-444.9443377693205,2756733.576635769,403810.38758811186,265455.1940931851,-11096.16599732826,-88531.70633832166,34988.992290623566,1276.5029080747502,3425.8639977185276,2171663.634438549,7330412.4664661875
2003,252201.79158801225,1209515.05172774,-5948.05198815177,122029.265055985,98227.90681791364,35298.27100884753,654.0654458676058,123.18569758573842,2756097.9890331477,381146.1974016049,276622.70730789274,-5478.561384750749,-88176.35214469672,41541.26597136285,-1850.9757150133469,91.4350077204628,2190120.266310931,7322659.8052251
2004,238479.01853837504,1205455.4519521953,-4716.551560239782,133353.1136395675,102288.79897631476,23771.467091105944,-534.1520949658978,-942.3142580309274,2646475.5382231968,380167.1062317399,261617.12287460573,-11187.183608679572,-89231.79394302775,38764.318182343086,-1503.607826117816,7918.276112055884,2197326.639649761,7169531.979822691
2005,239807.05741860895,1205002.9539466526,-6401.873712691683,150889.67680122372,98554.61259940908,40284.50446462998,-347.4460738495742,-737.1375237074428,2579273.009505911,363468.387613978,272708.0918249875,-1139.657001089509,-83926.40219066387,41410.01852347521,194.55115251239684,3058.130475374461,2313211.613838046,7256342.742432181
2006,224730.12027807304,1155966.5032156573,-9429.341660412114,165730.2131536045,97620.25589977598,50036.11968550529,-88.05256347578249,-355.357446060657,2588699.5769503773,343757.62670934777,265537.30890029605,-7796.017887742589,-85062.97264764273,45218.81034774238,1167.2504118481995,6508.189630552264,2388197.6870578225,7265517.253060289
2007,210216.97763087432,1170859.8347060203,-5806.234212037946,188236.32898071109,53601.69498621266,40239.56179064983,-165.94582466986765,-820.8836444587564,2555939.083041909,361857.0788646226,288788.6468332828,-5675.189204635088,-78781.62340426192,39228.886297861056,-4495.750231008195,4457.055642757803,2405468.596209277,7254438.449909276
2008,188915.3563613014,1206045.0023563686,-6192.604889040933,183681.52593521503,37134.10083870353,41873.331624885184,-729.645322704856,-274.4002585801781,2505565.769351466,330252.62277438864,294087.52174590447,-2522.15647027827,-76700.04500379403,55515.873926093154,-1472.476663959456,6267.068281033233,2378513.874357969,7176280.558641172
2009,186675.46832814455,1161602.4128188803,-5364.283058080745,206268.45434620455,24201.60103548654,53144.811359628016,-97.97110067318263,-167.0960372385194,2526245.2572048283,275744.09123797703,287475.2463191292,-7326.206037365504,-73872.20450517519,42939.28808940337,-2973.71507921977,7198.538673079893,2245802.4123527915,6973152.063580118
