Age Group,Female Death Rate,Male Death Rate
1-4 years,24.268324646635268,30.386271910593447
10-14 years,13.258176357812582,19.0675373696332
15-19 years,32.544623711761,78.32629256879105
20-24 years,48.40692481391986,137.50534459228237
25-29 years,62.20410016655282,154.38908310020773
30-34 years,83.98306382591174,175.18875079849937
35-39 years,117.41166863833759,214.37100697637342
40-44 years,171.88260959473592,289.70571644273105
45-49 years,257.322264691475,425.2263063075907
5-9 years,11.502754281656994,14.128254963559366
50-54 years,382.7148376615516,638.3719220365505
55-59 years,565.2033006249703,944.884326708359
60-64 years,842.3751600098153,1377.5720541038802
65-69 years,1257.0783988304029,1969.8250861253805
70-74 years,1985.1389542484148,2954.3729886606143
75-79 years,3255.174006378446,4659.313156382437
80-84 years,5525.42261687932,7570.363944407231
< 1 year,569.8916938394865,689.8918927940139
