age_cat,unadj_excess_deaths_number,unadj_excess_deaths_rate,ratio_unadj_excess_deaths_rate,male_death_rate,female_death_rate,Year,age
1-4 years,3510.177064366686,7.349928294422284,1.264742736320358,35.112458804526,27.762530510103716,2000-2005,2
10-14 years,4763.365747398744,7.332761372702592,1.4818472569066914,22.550781746579215,15.218020373876623,2000-2005,4
15-19 years,33789.29857019096,52.64060028385223,2.363147715243852,91.25754523793259,38.61694495408036,2000-2005,5
20-24 years,58142.406154924596,93.79970435267082,2.9711566176184694,141.38582892251785,47.58612456984703,2000-2005,6
25-29 years,47826.663370014125,82.9282087245836,2.5139170567609983,137.7054558361309,54.77724711154731,2000-2005,7
30-34 years,46839.33076115075,76.30586427604355,2.032393040261423,150.21750577327927,73.91164149723572,2000-2005,8
35-39 years,58207.11474976163,90.00177561657227,1.7904828608335908,203.85848279636156,113.85670717978928,2000-2005,9
40-44 years,84888.48275866873,125.28323203201157,1.708913315735248,302.00897444816906,176.7257424161575,2000-2005,10
45-49 years,121426.59622581088,192.1450190198691,1.7363900377850041,453.0733439030034,260.9283248831343,2000-2005,11
5-9 years,1873.761797175399,3.0752292718549565,1.2272262516663146,16.609005626054476,13.533776354199519,2000-2005,3
50-54 years,152502.95679513653,274.0594888322412,1.7246137074721692,652.2740961549534,378.21460732271225,2000-2005,12
55-59 years,163975.8655221315,365.71898986334566,1.6315116176702837,944.8357940997008,579.1168042363552,2000-2005,13
60-64 years,181409.828997739,531.9568956388466,1.5767791453926945,1454.245608551081,922.2887129122344,2000-2005,14
65-69 years,212138.3566151235,774.457315714397,1.5416132847628081,2204.3655869887243,1429.9082712743273,2000-2005,15
70-74 years,274084.6506489387,1175.4540414357616,1.5218400203027904,3427.9720463862454,2252.518004950484,2000-2005,16
75-79 years,326052.3942870584,1747.354653031443,1.4830501694810252,5364.690415295535,3617.335762264092,2000-2005,17
80-84 years,301510.1350330472,2496.020244262737,1.4112519512538344,8565.341585238295,6069.321340975558,2000-2005,18
< 1 year,17668.702820137783,145.41804725304144,1.2298179592209821,778.1712391531324,632.753191900091,2000-2005,1
1-4 years,3344.420969053139,5.807089214526545,1.234226456414505,30.59971641565656,24.792627201130014,2006-2012,2
10-14 years,3923.533596536765,5.277377652188113,1.426727710382291,17.644462150779233,12.36708449859112,2006-2012,4
15-19 years,34831.95582262157,44.24434236138417,2.422522787686598,75.34707248589577,31.102730124511595,2006-2012,5
20-24 years,68191.06598967593,88.27633967986485,2.9270670083141157,134.08499049429238,45.80865081442754,2006-2012,6
25-29 years,62169.6276514649,84.27321756497648,2.4886873719715217,140.88229422649906,56.609076661522586,2006-2012,7
30-34 years,53765.817779000754,77.27059236648114,2.050581830527968,150.82087671477314,73.550284348292,2006-2012,8
35-39 years,56055.16045677308,78.92195808115328,1.7569821058416373,183.18064196827802,104.25868388712475,2006-2012,9
40-44 years,75278.46513016592,101.37096130578306,1.6237364756716905,263.893060396779,162.52209909099594,2006-2012,10
45-49 years,121376.87356661906,155.800232215611,1.6096150579140862,411.37172801939107,255.57149580378007,2006-2012,11
5-9 years,1851.527699723406,2.5792563741413534,1.2303619384989593,13.775795138087405,11.196538763946052,2006-2012,3
50-54 years,190176.3368633645,254.00285838638428,1.6749354587940308,630.3393733477326,376.3365149613483,2006-2012,12
55-59 years,249641.2263254827,379.83314738704814,1.7140792391849267,911.7533133067325,531.9201659196843,2006-2012,13
60-64 years,263912.463007295,490.8400314749464,1.6137049037214495,1290.6381567604674,799.798125285521,2006-2012,14
65-69 years,259975.06424075842,653.9973491467244,1.5287851385149414,1890.7895762948503,1236.792227148126,2006-2012,15
70-74 years,269330.2554545922,918.0038418715503,1.467857936916743,2880.1461278854185,1962.1422860138682,2006-2012,16
75-79 years,303970.68313745956,1357.8518460300315,1.4220857630762653,4574.856456973722,3217.0046109436903,2006-2012,17
80-84 years,326742.8551685406,2052.532765663166,1.377574526226114,7488.632457499865,5436.099691836699,2006-2012,18
< 1 year,17862.834713224787,123.91302625786466,1.2099776655306638,714.0378185528298,590.1247922949651,2006-2012,1
1-4 years,3266.3083429044345,5.731269546226905,1.265949384995134,27.28149627952718,21.550226733300274,2013-2019,2
10-14 years,3633.106320871657,4.9079427262299244,1.4022084671788413,17.110427573590474,12.20248484736055,2013-2019,4
15-19 years,29613.46251393667,39.196687228076385,2.379710242692531,67.60604885721331,28.409361629136924,2013-2019,5
20-24 years,66470.05382335291,82.88785727587063,2.746824026155758,130.33846250843217,47.450605232561536,2013-2019,6
25-29 years,75133.80372380739,92.65737038352893,2.4547227036162838,156.3515508298729,63.69418044634397,2013-2019,7
30-34 years,71170.56731191857,92.448455833318,2.068491847649396,178.97083411509698,86.52237828177898,2013-2019,8
35-39 years,68914.6306477252,94.96809528633561,1.8204379634641363,210.72102179079877,115.75292650446316,2013-2019,9
40-44 years,72579.73549378531,103.91763241064646,1.6494118190469327,263.9357124067181,160.01807999607163,2013-2019,10
45-49 years,103217.36305507596,142.77842269257764,1.590756563505503,384.46583086175934,241.6874081691817,2013-2019,11
5-9 years,1723.6099436968552,2.36488844166462,1.2254443437160996,12.854787645535124,10.489899203870504,2013-2019,3
50-54 years,170401.31541594083,228.03307735561089,1.6078192079579676,603.1990385000636,375.1659611444527,2013-2019,12
55-59 years,269347.7669718087,363.88669960566665,1.6566811257581553,918.016680401978,554.1299807963113,2013-2019,13
60-64 years,347809.0391519126,534.0340336232978,1.678328884803695,1321.3129562624902,787.2789226391924,2013-2019,14
65-69 years,362905.0715972751,673.79506433033,1.587240306613247,1821.187463561685,1147.392399231355,2013-2019,15
70-74 years,342374.5192158902,869.123310476846,1.4785372894959405,2685.331429581468,1816.208119104622,2013-2019,16
75-79 years,327380.66307642474,1230.8271578481877,1.414098035455977,4203.135771901098,2972.308614052911,2013-2019,17
80-84 years,310152.93292082567,1782.7902724480473,1.3479886741526252,6905.917560395725,5123.127287947677,2013-2019,18
< 1 year,14901.871671363115,106.29792201082932,1.2036105036659661,628.3629436917183,522.065021680889,2013-2019,1
1-4 years,1239.7326328344925,5.309780887615464,1.2363976788438535,27.77100349176254,22.461222604147075,2020-2022,2
10-14 years,1941.9038445870192,6.014871296402815,1.4355903903573675,19.823420404816545,13.80854910841373,2020-2022,4
15-19 years,16754.250398199772,51.08062971895699,2.512014168741598,84.86379840544475,33.78316868648776,2020-2022,5
20-24 years,32660.03063859377,97.17912601054226,2.6717040414216515,155.31090269028226,58.13177667974,2020-2022,6
25-29 years,42494.19889600583,122.7910242475909,2.468872832663164,206.3864325886674,83.59540834107649,2020-2022,7
30-34 years,49644.801116223316,141.5172964538645,2.2054332113226907,258.91682977067205,117.39953331680753,2020-2022,8
35-39 years,50931.35680288582,152.01701567084393,1.9702755276993476,308.69108538720224,156.6740697163583,2020-2022,9
40-44 years,53792.854726665566,170.66288630944666,1.8107054233084483,381.17447461605985,210.5115883066132,2020-2022,10
45-49 years,61839.22044885054,208.96111310652975,1.7135614709005758,501.80359637962874,292.842483273099,2020-2022,11
5-9 years,757.4546019877166,2.4469652758780835,1.2305415114476785,13.060955183866621,10.613989907988538,2020-2022,3
50-54 years,90308.13711490057,292.0454508379334,1.6859460800450352,717.8011469981321,425.75569616019874,2020-2022,12
55-59 years,136893.66856486167,434.36368667400563,1.6757533831070623,1077.1480182549067,642.784331580901,2020-2022,13
60-64 years,189029.76185935072,617.5678286037235,1.6521343067575494,1564.5626764507988,946.9948478470753,2020-2022,14
65-69 years,213922.87708094006,822.3860256263299,1.6187997923630233,2151.3878058077157,1329.0017801813858,2020-2022,15
70-74 years,213422.32573309523,1018.6818143846369,1.5046952286710327,3037.0916516780026,2018.4098372933656,2020-2022,16
75-79 years,194627.29822270718,1404.6650439217938,1.4234916042924592,4721.531375353823,3316.8663314320293,2020-2022,17
80-84 years,169321.98474034877,2047.212836066853,1.3639556156167054,7672.109796642523,5624.89696057567,2020-2022,18
< 1 year,5008.024715713247,89.229680048913,1.1780252787222276,590.4488366167722,501.21915656785916,2020-2022,1
