Age Group,Excess Deaths Number,Excess Death Rate
1-4 years,11360.3622529696,6.117947263958179
10-14 years,14268.743728799032,5.809361011820618
15-19 years,115033.56800441224,45.78166885703005
20-24 years,225449.11819612642,89.09841977836251
25-29 years,227824.6651702757,92.18498293365491
30-34 years,221656.54534584156,91.20568697258763
35-39 years,234417.78559817426,96.95933833803583
40-44 years,286759.1899960608,117.82310684799512
45-49 years,407983.94923861185,167.90404161611565
5-9 years,6210.735757259641,2.6255006819023716
50-54 years,603777.3392148357,255.65708437499887
55-59 years,820475.8176667907,379.6810260833887
60-64 years,982660.2351078975,535.1968940940649
65-69 years,1047850.9285370295,712.7466872949776
70-74 years,1095233.9742687684,969.2340344121994
75-79 years,1144375.1483857986,1404.1391500039913
80-84 years,1097449.4191096034,2044.9413275279112
< 1 year,55436.95151178504,120.00019895452738
