agegroup,Year,expected_deaths_male,hypothetical_excess,expected_rate_male
1-4 years,2000,2256.395671853811,567.6043281461883,28.70105803686894
1-4 years,2001,2311.0267907927337,587.9732092072666,29.564027006095973
1-4 years,2002,2146.4821379164387,659.5178620835613,27.125953655070234
1-4 years,2003,2235.125544263728,590.8744557362721,28.00950620903577
1-4 years,2004,2231.6171319852074,417.38286801479285,27.692876150223483
1-4 years,2005,2078.6591353791073,686.3408646208932,25.57441931232172
1-4 years,2006,2183.265583223967,357.7344167760325,26.88071086490038
1-4 years,2007,2162.15797300632,471.84202699367984,26.481206918442496
1-4 years,2008,2128.844600898154,564.1553991018454,25.813256989284646
1-4 years,2009,2042.2278516629194,452.7721483370806,24.612061042947104
1-4 years,2010,1938.411447200209,521.5885527997908,23.339870005978327
1-4 years,2011,1921.5456745621311,483.454325437869,23.27512781408116
1-4 years,2012,1902.475251722378,492.5247482776221,23.20262394566793
1-4 years,2013,1822.2929277461312,500.70707225386866,22.398748031926623
1-4 years,2014,1731.89263223074,440.1073677692602,21.281888496767028
1-4 years,2015,1760.9231892634384,520.0768107365617,21.62640867028922
1-4 years,2016,1870.6138163662742,385.3861836337257,22.934377298325227
1-4 years,2017,1724.3156817837948,507.6843182162053,21.077546056932142
1-4 years,2018,1661.345529770965,581.6544702290347,20.35040655931945
1-4 years,2019,1710.0935340585663,330.9064659414336,21.18001575482273
1-4 years,2020,1570.072955286207,455.92704471379324,19.741855860546575
1-4 years,2021,1789.636098951809,315.36390104819117,22.935672208895582
1-4 years,2022,1884.725935190524,468.2740648094762,24.82441169035656
10-14 years,2000,1691.3677452006546,859.6322547993454,16.077339095462325
10-14 years,2001,1639.6856843333055,801.3143156666944,15.256851191163264
10-14 years,2002,1717.8009306727658,778.1990693272342,15.774114677813706
10-14 years,2003,1623.7972199763042,886.2027800236958,14.80151749063536
10-14 years,2004,1671.9174791017672,682.0825208982326,15.243630948630688
10-14 years,2005,1541.1724457021398,755.8275542978602,14.18579252292774
10-14 years,2006,1406.497634366354,667.5023656336457,13.057954711115165
10-14 years,2007,1437.472696876977,628.5273031230226,13.47088450220952
10-14 years,2008,1326.2831724155396,557.7168275844604,12.514252893166663
10-14 years,2009,1339.1971653127468,510.8028346872532,12.667597870574815
10-14 years,2010,1278.3012027335537,450.69879726644626,12.082399588326897
10-14 years,2011,1204.3769429823928,594.623057017607,11.375966092307218
10-14 years,2012,1202.9589475513967,513.0410524486034,11.383879871756138
10-14 years,2013,1273.8773454680963,420.1226545319037,12.071779852724285
10-14 years,2014,1169.775888569168,601.2241114308318,11.086642108074603
10-14 years,2015,1284.0737359212715,491.92626407872825,12.205573938159615
10-14 years,2016,1300.8460782369345,463.1539217630657,12.366947634343518
10-14 years,2017,1299.9143042107332,670.0856957892669,12.257477405252255
10-14 years,2018,1381.8017321144848,413.1982678855151,12.963903502768453
