age_cat,male_years_lost,female_years_lost
1-4 years,2285.0639057790354,1944.209403128734
10-14 years,1261.5014107195996,942.4675962968225
15-19 years,4803.441167043305,2156.7362627471066
20-24 years,7784.214351217295,2966.6426138246707
25-29 years,7946.037577757902,3486.1955664092948
30-34 years,8179.6317137985725,4296.436488165629
35-39 years,9073.453867353284,5476.085410761389
40-44 years,10992.224670265292,7221.405775549588
45-49 years,14290.8530199152,9632.663924640703
5-9 years,1007.3115931747768,876.8057068027153
50-54 years,18684.010729142294,12584.195211389117
55-59 years,23687.01687424293,16081.909666868496
60-64 years,29145.110518649617,20476.95099648016
65-69 years,34568.86913049251,25527.118558021728
70-74 years,41613.70880264912,32418.26527009978
75-79 years,50576.68064987012,41253.53202147342
80-84 years,61342.452648850405,52500.12644639157
< 1 year,52120.46858938417,45892.55786387781
