age_cat,excess_yrs_lost,ratio_excess_yrs_lost,male_years_lost,female_years_lost,exc_pll_number,Year,age
1-4 years,409.1787022845542,1.1847159889691852,2624.3562002802178,2215.1774979956635,195415.4705259559,2000-2005,2
10-14 years,405.6388540678038,1.3759398497878403,1484.6382054180901,1078.9993513502864,263503.2186474266,2000-2005,4
15-19 years,3013.3922134008367,2.1830764547268795,5560.473766212651,2547.081552811814,1934256.2329959483,2000-2005,5
20-24 years,5032.336001413693,2.733245968313187,7935.753112091421,2903.4171106777276,3119328.847798368,2000-2005,6
25-29 years,4017.0225881702204,2.30500572574137,7095.18731107836,3078.1647229081395,2316712.130033106,2000-2005,7
30-34 years,3240.9827603677263,1.854817559286236,7032.414891305601,3791.4321309378743,1989433.7734630848,2000-2005,8
35-39 years,3290.039657700164,1.6222791168825403,8577.119954050817,5287.080296350653,2127777.0863418137,2000-2005,9
40-44 years,3958.279065185806,1.5373651500021033,11324.367218037387,7366.088152851581,2682021.358557935,2000-2005,10
45-49 years,5309.88369881656,1.5505210770950568,14955.079713536481,9645.19601471992,3355596.2428333415,2000-2005,11
5-9 years,149.242367931299,1.1454893135867978,1175.0384504886763,1025.7960825573773,90934.56871948394,2000-2005,3
50-54 years,6397.934989043386,1.5217841862738237,18659.584838442723,12261.649849399337,3560190.5534072905,2000-2005,12
55-59 years,6905.7708602345265,1.4258217890454348,23123.284942158803,16217.514081924277,3096311.06201949,2000-2005,13
60-64 years,7923.692898504243,1.3630296961933561,29750.262409456707,21826.569510952464,2702165.8813577066,2000-2005,14
65-69 years,8884.588459271366,1.3173588044433824,36879.99408494514,27995.40562567377,2433655.098490385,2000-2005,15
70-74 years,10100.781054313979,1.2840263878899647,45663.607203506646,35562.82614919267,2355233.7641134067,2000-2005,16
75-79 years,10779.404481992562,1.2413961007149132,55433.83116936873,44654.426687376166,2011412.2992975933,2000-2005,17
80-84 years,10047.796626487077,1.177576624283393,66630.67552192038,56582.8788954333,1213737.1580219523,2000-2005,18
< 1 year,7686.162583312718,1.1511195340736458,58547.63876790035,50861.476184587635,933890.4288509804,2000-2005,1
1-4 years,321.7096729643524,1.1615669121480763,2312.895050509384,1991.1853775450315,185279.15388620886,2006-2012,2
10-14 years,294.3326687088006,1.3335070158725548,1176.8708304285403,882.5381617197397,218825.3694064305,2006-2012,4
15-19 years,2584.4241735274404,2.251629171046301,4649.272319697594,2064.8481461701535,2034622.82033582,2006-2012,5
20-24 years,4827.114618782523,2.71059730270588,7649.002979735058,2821.888360952535,3728814.455864992,2006-2012,6
25-29 years,4166.420309240606,2.2986521884108027,7374.685267650427,3208.2649584098203,3073631.300066074,2006-2012,7
30-34 years,3379.335615880435,1.8865990002393105,7190.907267741407,3811.571651860972,2351382.814250696,2006-2012,8
35-39 years,2967.050131961375,1.605223573206818,7869.4535797323515,4902.4034477709765,2107378.925638971,2006-2012,9
40-44 years,3245.4926764581887,1.4730988351260503,10105.565953944646,6860.073277486457,2410115.324229729,2006-2012,10
45-49 years,4303.798835695559,1.4485752981402107,13898.172073676053,9594.373237980493,3352893.893081375,2006-2012,11
5-9 years,132.2221511740487,1.1544694136855949,988.1984122296642,855.9762610556155,94916.10755338972,2006-2012,3
50-54 years,6154.229313957378,1.4953322405380423,18578.67660467381,12424.44729071643,4607778.017069314,2006-2012,12
55-59 years,7868.394986047473,1.5176594650891624,23068.339190085568,15199.944204038095,5171417.468545953,2006-2012,13
60-64 years,8107.909762748419,1.416897252756418,27556.130419375426,19448.220656627007,4359421.192476733,2006-2012,14
65-69 years,8241.793029921235,1.3302306951062248,33199.47610438562,24957.683074464385,3276252.8398752,2006-2012,15
70-74 years,8546.333766487656,1.267864319604143,40451.79164575152,31905.45787926386,2507381.942798449,2006-2012,16
75-79 years,8786.543203798246,1.2156986344681135,49521.81825764726,40735.275053849015,1966968.3020899212,2006-2012,17
80-84 years,8733.35042618926,1.169192672120876,60351.132193652025,51617.781767462766,1390262.7530131026,2006-2012,18
< 1 year,6605.4996877580925,1.1384920667637568,54301.37023192378,47695.870544165686,952223.9322533839,2006-2012,1
1-4 years,331.1887962544206,1.191014065200438,2065.033871520958,1733.8450752665376,188747.83668034853,2013-2019,2
10-14 years,270.1451402726367,1.3094820190732643,1143.039601416386,872.8944611437493,199975.03463761843,2013-2019,4
15-19 years,2292.0483830809358,2.21179238424684,4183.501418169535,1891.4530350885993,1731663.9153085775,2013-2019,5
20-24 years,4515.172004987734,2.542175921904246,7442.9650932188715,2927.7930882311375,3620840.6883332413,2013-2019,6
25-29 years,4559.965006612594,2.2626817736507485,8171.298520541859,3611.333513929265,3697574.347039356,2013-2019,7
30-34 years,4043.4488171538314,1.899647353915214,8537.930793404828,4494.481976250997,3112810.7399910907,2013-2019,8
35-39 years,3617.509419831682,1.6626523949358105,9076.645231424276,5459.135811592594,2625085.0328282537,2013-2019,9
40-44 years,3412.707603440398,1.5012979473406924,10220.450626415617,6807.743022975219,2383555.2199316435,2013-2019,10
45-49 years,3997.813654060612,1.4368318771339794,13149.64955095065,9151.835896890037,2890099.047012132,2013-2019,11
5-9 years,119.97794820273214,1.1494698008062698,922.6681742921984,802.6902260894663,87443.94911119546,2013-2019,3
50-54 years,5488.6088213006005,1.4394931162555988,17977.10663455999,12488.49781325939,4101449.5519640744,2013-2019,12
55-59 years,7556.870918208224,1.4724133934771702,23553.18055411066,15996.309635902435,5593571.59610208,2013-2019,13
60-64 years,9296.275399252052,1.4791166643491893,28699.222720818703,19402.94732156665,6054536.622634384,2013-2019,14
65-69 years,9237.876792080937,1.3922236555876113,32790.451096252305,23552.57430417137,4975507.414808516,2013-2019,15
70-74 years,8745.16049707746,1.2897923458153329,38922.49479648032,30177.33429940286,3444988.8578065666,2013-2019,16
75-79 years,8584.777252240368,1.222355521437981,47193.11581168923,38608.338559448865,2283415.71054976,2013-2019,17
80-84 years,7847.529043893308,1.1578623695727086,57558.73675688073,49711.20771298742,1365238.6300059312,2013-2019,18
< 1 year,5601.266102594505,1.1323316193947153,47928.762193209084,42327.49609061458,785239.7025175708,2013-2019,1
1-4 years,271.4306875727309,1.152188816399792,2054.94339234137,1783.512704768639,63373.89207932753,2020-2022,2
10-14 years,317.53331481566215,1.326822677855621,1289.1100637092547,971.5767488935926,102515.77040289505,2020-2022,4
15-19 years,2886.183874049634,2.306293317737365,5095.6293598834,2209.445485833766,946657.2277422037,2020-2022,5
20-24 years,5071.375861718802,2.4401170957881937,8592.878298257254,3521.5024365384515,1704391.6509970757,2020-2022,6
25-29 years,5796.511173674747,2.2442140022376793,10455.284634871861,4658.773461197115,2005994.332455351,2020-2022,7
30-34 years,5969.367532037155,1.9989419102965038,11945.057880503304,5975.690348466149,2094076.6347542298,2020-2022,8
35-39 years,5635.773230953737,1.7792573788954307,12868.009182241414,7232.235951287677,1888193.739491426,2020-2022,9
40-44 years,5457.2527426854285,1.6243736756225544,14197.616015118523,8740.363272433095,1720123.2812955484,2020-2022,10
45-49 years,5722.586523373617,1.5289446084259823,16541.46326814793,10818.876744774314,1693522.2266743565,2020-2022,11
5-9 years,113.59349444405143,1.141927447712707,913.9566114782572,800.3631170342057,35162.70376645907,2020-2022,3
50-54 years,6802.760009085649,1.4920506391638861,20628.08502165995,13825.325012574302,2103592.3754251217,2020-2022,12
55-59 years,8501.993092804983,1.4705460859829198,26570.346748420332,18068.35365561535,2679480.4913346353,2020-2022,13
60-64 years,9998.738494956244,1.4407819323942683,32682.83183028067,22684.093335324425,3060488.3691379945,2020-2022,14
65-69 years,10765.014552394852,1.4058211868014923,37291.51169573046,26526.49714333561,2800245.6426866176,2020-2022,15
70-74 years,9950.018359265054,1.3056415631117444,42504.55138142235,32554.5330221573,2084611.7299189616,2020-2022,16
75-79 years,9385.58278963282,1.224357667164308,51218.70981514831,41833.12702551549,1300445.7030493864,2020-2022,17
80-84 years,9006.855535684219,1.1702590135802957,61907.758379435894,52900.902843751675,744943.8713473597,2020-2022,18
< 1 year,3892.536884767229,1.0971544068150636,43958.00599083458,40065.46910606735,218469.0219112492,2020-2022,1
