Year,Excess YPLL Rate,Excess YPLL Number
2000,5567.934078671959,7509892.959569129
2001,5341.2483056264355,7295112.989250649
2002,5314.948224018035,7330412.4664661875
2003,5265.923782790465,7322659.8052251
2004,5106.625341438965,7169531.979822691
2005,5120.719777755014,7256342.742432181
2006,5078.541907465116,7265517.253060289
2007,5025.56158289254,7254438.449909276
2008,4924.796851075946,7176280.558641172
2009,4742.747513075661,6973152.063580118
2010,4797.679708816291,7099480.302106803
2011,4747.056665159045,7089875.528642588
2012,4720.273854150744,7104545.352631435
2013,4719.180967832486,7153952.393404601
2014,4715.347512460392,7205511.26411017
2015,4861.4074364262815,7487533.17068372
2016,5012.391282344539,7760364.729659805
2017,5040.967076507608,7869620.055049553
2018,5106.4328421916325,8008647.445664797
2019,5098.362793157865,8022055.5941227265
2020,6458.373134315118,10199926.20903103
2021,5942.98148669578,9531787.367721777
2022,5537.334426486048,8921579.300279984
