Gender,Year,yrs_lost
Female,2000,15170.9262177444
Female,2001,15230.591594373403
Female,2002,15114.458814398708
Female,2003,15038.962519038098
Female,2004,14855.104750355764
Female,2005,14251.028002835403
Female,2006,14101.384074569023
Female,2007,13826.612600195385
Female,2008,13890.195748805945
Female,2009,13791.783280422289
Female,2010,13549.819863940667
Female,2011,13507.813482221234
Female,2012,13389.657399940368
Female,2013,13379.72369117491
Female,2014,13394.667260973469
Female,2015,13433.982169530325
Female,2016,13552.804534737508
Female,2017,13472.424060713267
Female,2018,13306.215445690832
Female,2019,13215.059912437113
Female,2020,14728.445562389004
Female,2021,15692.938395081846
Female,2022,14597.175861852886
Male,2000,20738.86029641636
Male,2001,20571.83989999984
Male,2002,20429.407038416743
Male,2003,20304.886301828563
Male,2004,19961.73009179473
Male,2005,19371.747780590416
Male,2006,19179.92598203414
Male,2007,18852.174183087925
Male,2008,18814.99259988189
Male,2009,18534.53079349795
Male,2010,18347.49957275696
Male,2011,18254.87014738028
Male,2012,18109.931254091112
Male,2013,18098.904659007396
Male,2014,18110.01477343386
Male,2015,18295.389605956607
Male,2016,18565.195817082047
Male,2017,18513.391137220875
Male,2018,18412.648287882465
Male,2019,18313.422705594978
Male,2020,21186.818696704122
Male,2021,21635.919881777627
Male,2022,20134.510288338934
