age_cat,unadj_excess_deaths_number,unadj_excess_deaths_rate,ratio_unadj_excess_deaths_rate,male_death_rate,female_death_rate,Year,age
1-4 years,109.12339576753754,0.22849250035766278,1.1991751334598635,1.3756864115077572,1.1471939111500944,2000-2005,2
10-14 years,7.003930378753239,0.010781903566079665,1.022377055364397,0.49261042794083887,0.4818285243747592,2000-2005,4
15-19 years,28.21078597378721,0.04394979389863796,1.0565585325032802,0.8210172310017664,0.7770674371031284,2000-2005,5
20-24 years,151.7368047912247,0.24479323045061663,1.1714030421827715,1.6729664258224193,1.4281731953718027,2000-2005,6
25-29 years,586.0292017889287,1.0161351125138935,1.3108956395213651,4.284547349103219,3.2684122365893256,2000-2005,7
30-34 years,2869.433232791371,4.6745881986886015,1.8227608026807762,10.356176557610823,5.681588358922221,2000-2005,8
35-39 years,7311.453552693653,11.305212514132037,2.316063797151525,19.89538309598447,8.590170581852433,2000-2005,9
40-44 years,10291.91800654593,15.189395660824898,2.3402536937773473,26.522619908851684,11.333224248026786,2000-2005,10
45-49 years,12897.509730383903,20.40897405906852,2.5260633709479214,33.782582552398246,13.373608493329728,2000-2005,11
5-9 years,13.562799500604171,0.022259349131480533,1.0501513825596431,0.4661025294268252,0.44384318029534464,2000-2005,3
50-54 years,11688.211203768133,21.00461037074217,2.4041936298358895,35.96309609838146,14.958485727639294,2000-2005,12
55-59 years,7169.465720899445,15.990217541820755,1.9389605833508206,33.01991806956526,17.029700527744502,2000-2005,13
60-64 years,3869.8491110317336,11.347747423987975,1.4811957851151685,34.93013898893493,23.582391564946953,2000-2005,14
65-69 years,3137.6753957043748,11.454768026458268,1.3342103653157382,45.728893592960716,34.27412556650245,2000-2005,15
70-74 years,3375.793973931337,14.477609965815311,1.2767678078665206,66.78719783810703,52.30958787229172,2000-2005,16
75-79 years,4121.863241174551,22.08956916073012,1.2714763955991277,103.45785575515072,81.3682865944206,2000-2005,17
80-84 years,4298.782680709977,35.587024613823004,1.2817171150236946,161.90886562383716,126.32184101001415,2000-2005,18
< 1 year,251.3855419580857,2.0689687857292984,1.1690993522888218,14.304194750376986,12.235225964647688,2000-2005,1
1-4 years,61.11197005850033,0.10611183983386518,1.104484904682718,1.1216828465365793,1.0155710067027142,2006-2012,2
10-14 years,23.642519076728234,0.03180054375654878,1.0951955181250708,0.3658555957472138,0.33405505199066504,2006-2012,4
15-19 years,4.479666606937599,0.0056901743913411185,1.009987655571931,0.5754109011785762,0.5697207267872351,2006-2012,5
20-24 years,291.65359093127006,0.3775584248206223,1.3268389808792367,1.53274017151725,1.1551817466966277,2006-2012,6
25-29 years,802.9003175859782,1.0883609200017061,1.5100695505856778,3.222110952231656,2.13375003222995,2006-2012,7
30-34 years,1170.5771743368737,1.682317788664219,1.467217414300937,5.283035007608951,3.6007172189447316,2006-2012,8
35-39 years,2540.6249521576337,3.5770318796739646,1.639734329181009,9.168465255233627,5.591433375559663,2006-2012,9
40-44 years,5562.555025724042,7.490609024758129,1.8905153329024262,15.902153158809412,8.411544134051283,2006-2012,10
45-49 years,9073.958591984918,11.647398834755373,1.992987248233089,23.377054835354205,11.729656000598832,2006-2012,11
5-9 years,49.13572522259574,0.06844814284840056,1.2110058542452025,0.39283792384878635,0.3243897810003858,2006-2012,3
50-54 years,12609.132173663762,16.840978571289824,2.0674065230419565,32.618452483755185,15.777473912465359,2006-2012,12
55-59 years,13035.955679245686,19.834416565436175,1.987494274127307,39.92001815838186,20.085601592945682,2006-2012,13
60-64 years,8264.355521041374,15.370537934602833,1.6153815563762575,40.347786237450826,24.977248302847993,2006-2012,14
65-69 years,4601.126831182233,11.574666822254727,1.324117211844984,47.28602801892749,35.71136119667276,2006-2012,15
70-74 years,3485.3003921129002,11.879538541393053,1.2179307107346693,66.39016029518706,54.510621753794005,2006-2012,16
75-79 years,3856.0288520862305,17.225068684609298,1.1974112807972932,104.47980212761063,87.25473344300133,2006-2012,17
80-84 years,4349.305539100555,27.32146085422255,1.197285939293704,165.80807045263123,138.48660959840868,2006-2012,18
< 1 year,364.1272182419266,2.525920789146097,1.1965203557561188,15.379148025721815,12.853227236575718,2006-2012,1
1-4 years,6.955461207417784,0.012204488619279807,1.0112176799766064,1.100173537899636,1.0879690492803562,2013-2019,2
10-14 years,33.503077208064155,0.04525911701097357,1.1614630075341348,0.32556553333612065,0.2803064163251471,2013-2019,4
15-19 years,55.99670927318351,0.07411782726013694,1.1911129022963514,0.46194003271859047,0.38782220545845353,2013-2019,5
20-24 years,281.2559602561515,0.3507249137130891,1.421203250820544,1.1833987191261375,0.8326738054130484,2013-2019,6
25-29 years,929.3009531373671,1.1460431702505587,1.7733225349254986,2.6280162390438635,1.4819730687933048,2013-2019,7
30-34 years,1044.2211765410427,1.3564123340000895,1.5531480508016966,3.808581029224079,2.4521686952239894,2013-2019,8
35-39 years,1230.836379967503,1.6961592265096264,1.447550237012065,5.486033717099835,3.789874490590208,2013-2019,9
40-44 years,1849.3751507078368,2.6478835420541955,1.4683592950187099,8.301414005132587,5.653530463078392,2013-2019,10
45-49 years,3982.0985557202775,5.508353768820415,1.6410434214772072,14.10114730553136,8.592793536710944,2013-2019,11
5-9 years,11.800868971562807,0.01619144675656148,1.0406647288354782,0.41436075023498853,0.39816930347842705,2013-2019,3
50-54 years,7325.126310571479,9.802571597178556,1.7274298105905228,23.278196948882098,13.475625351703542,2013-2019,12
55-59 years,10154.763536764007,13.719005099662766,1.6960448932576704,33.428947996383506,19.70994289672074,2013-2019,13
60-64 years,11233.687253102573,17.24846292340531,1.6450835824746508,43.986801011684136,26.738338088278827,2013-2019,14
65-69 years,8340.917017150328,15.486332812624575,1.434443510901077,51.13269977182822,35.64636695920365,2013-2019,15
70-74 years,5232.168986485602,13.28194645128135,1.2562423374297307,65.11548256599019,51.83353611470884,2013-2019,16
75-79 years,4475.094718158605,16.824659285899145,1.2094600775956685,97.14860205830969,80.32394277241055,2013-2019,17
80-84 years,4493.168604543083,25.827185334704623,1.2075670347525356,150.2553507488137,124.42816541410907,2013-2019,18
< 1 year,334.1062490146494,2.38324425174984,1.192469296479119,14.765708859596513,12.382464607846673,2013-2019,1
1-4 years,30.037531820998055,0.12865089467687607,1.1187430374048326,1.2120903744862428,1.0834394798093667,2020-2022,2
10-14 years,17.921915089303397,0.055511508949169786,1.201193313790599,0.33142280989302664,0.27591130094385685,2020-2022,4
15-19 years,24.186058689096356,0.07373884709228407,1.220245793934498,0.4085413682891897,0.3348025211969056,2020-2022,5
20-24 years,75.1945725630492,0.2237396199432362,1.3175373697170418,0.9283484039191536,0.7046087839759174,2020-2022,6
25-29 years,301.3462163366783,0.8707685170785708,1.588965089203699,2.3492407271307485,1.4784722100521777,2020-2022,7
30-34 years,718.9374392830416,2.049400550293521,1.9311906519795712,4.250239385967831,2.20083883567431,2020-2022,8
35-39 years,764.3094722248825,2.2812674216839444,1.6435257791073332,5.826218526592911,3.544951104908967,2020-2022,9
40-44 years,843.019766958959,2.6745594257115046,1.4873002308685683,8.163084274025952,5.488524848314447,2020-2022,10
45-49 years,1043.5659853866173,3.526317251797657,1.4279656448083449,11.766037646589725,8.239720394792068,2020-2022,11
5-9 years,30.13303605372937,0.09734509855344958,1.274268396717194,0.4522715126740854,0.3549264141206358,2020-2022,3
50-54 years,1691.3077213727133,5.4694819511726305,1.448183793615504,17.67314042585833,12.203658474685698,2020-2022,12
55-59 years,2939.656385507761,9.327531350063389,1.5014473014240701,27.928750907081536,18.601219557018148,2020-2022,13
60-64 years,3824.654429271598,12.49529972323791,1.4740320547433259,38.85490894840674,26.35960922516883,2020-2022,14
65-69 years,3841.3009141776984,14.767154570617194,1.4037652315388196,51.34077066514073,36.57361609452354,2020-2022,15
70-74 years,3082.8893135578273,14.714877034043589,1.2844489600400866,66.44604536726534,51.73116833322175,2020-2022,16
75-79 years,2903.192508508404,20.952934504650074,1.2812950935187752,95.44031443917268,74.48737993452261,2020-2022,17
