age_cat,excess_yrs_lost,ratio_excess_yrs_lost,male_years_lost,female_years_lost,exc_pll_number,Year,age
1-4 years,11.306015540784955,1.123460971169603,102.88164007765529,91.57562453687034,5399.524301584505,2000-2005,2
10-14 years,-1.738215100713063,0.949112809078451,32.419989925632535,34.1582050263456,-1129.1454680593602,2000-2005,4
15-19 years,-1.1616612961907293,0.9773328816887366,50.08708061439828,51.24874191058901,-745.6548778465251,2000-2005,5
20-24 years,6.726707391735573,1.0770722468480332,94.00465330395113,87.27794591221556,4169.59686552026,2000-2005,6
25-29 years,36.91807033801649,1.2009782433243406,220.6099452761299,183.69187493811341,21291.52612220112,2000-2005,7
30-34 years,191.83712720840884,1.6590810798826359,482.9046954696154,291.06756826120653,117756.64608263464,2000-2005,8
35-39 years,435.0866648052571,2.091878667628895,833.5619512123849,398.4752864071278,281384.88658603176,2000-2005,9
40-44 years,521.9613867064105,2.1050009087793344,994.3242441116661,472.36285740525557,353666.7234510403,2000-2005,10
45-49 years,621.6142926313041,2.257798505877802,1115.8224585071948,494.20816587589064,392830.9362613726,2000-2005,11
5-9 years,-0.7191026730118679,0.9786255785945193,32.924038321086826,33.643140994098694,-438.15501148751525,2000-2005,3
50-54 years,544.0373475354654,2.1262507289886954,1027.0890637585287,483.05171622306324,302734.6524641888,2000-2005,12
55-59 years,327.7751202003629,1.6924364217048022,801.1400529596324,473.3649327592695,146963.13432222468,2000-2005,13
60-64 years,155.76082201396412,1.2799500769300614,712.1486741697511,556.387852155787,53118.10847412019,2000-2005,14
65-69 years,93.67491115748032,1.1396887735641823,764.2721879990572,670.5972768415769,25659.31176037073,2000-2005,15
70-74 years,63.63561901677008,1.076920406706859,890.9273838573183,827.2917648405482,14838.13555631351,2000-2005,16
75-79 years,63.56694352229067,1.0632224303987658,1069.0161665488615,1005.4492230265708,11861.446728628209,2000-2005,17
80-84 years,80.72033407262984,1.0686999218646538,1255.6901430872242,1174.9698090145944,9750.72172675432,2000-2005,18
< 1 year,92.24487204254501,1.093791212841711,1075.7578179538457,983.5129459113007,11208.01208370838,2000-2005,1
1-4 years,3.229496563586082,1.0395917393347998,84.79945579867982,81.56995923509373,1859.932855814225,2006-2012,2
10-14 years,0.5501250035919014,1.0230910355903762,24.374305666202805,23.824180662610903,408.99743701169484,2006-2012,4
15-19 years,-2.342635693953447,0.9380202742984797,35.454170720373455,37.7968064143269,-1844.2715756467198,2006-2012,5
20-24 years,16.142629107107965,1.2262654426385544,87.48639649316374,71.34376738605577,12469.740937171444,2006-2012,6
25-29 years,47.67728551227161,1.3934147156537013,168.86564887344025,121.18836336116864,35172.254879732565,2006-2012,7
30-34 years,65.0978397228057,1.347094916751559,252.64838160930924,187.55054188650354,45295.86846885924,2006-2012,8
35-39 years,129.01536063297817,1.4933252731793352,390.5372563216227,261.5218956886445,91634.53261300988,2006-2012,9
40-44 years,251.5870569877717,1.7106355540524687,605.6181148951223,354.0310579073506,186829.5146134181,2006-2012,10
45-49 years,348.3935504604866,1.7924900274767541,788.0123953433088,439.61884488282215,271417.5667411547,2006-2012,11
5-9 years,3.4448781103907287,1.1391752490873366,28.196966811370626,24.752088700979897,2472.917119641749,2006-2012,3
50-54 years,441.81902501942204,1.8473608478631232,963.2250188573512,521.4059938379291,330797.55191936437,2006-2012,12
55-59 years,436.26708504004114,1.7608547689237408,1009.6578329973132,573.3907479572721,286731.82123270695,2006-2012,13
60-64 years,251.83551876486536,1.4166327382749262,856.2899834034196,604.4544646385542,135405.68773545086,2006-2012,14
65-69 years,108.83754691474678,1.1513636534916276,827.8843220427465,719.0467751279997,43264.775136909404,2006-2012,15
70-74 years,46.17413379285017,1.0521366705841566,931.8105443173381,885.6364105244879,13546.883664962865,2006-2012,16
75-79 years,25.574558635627,1.0231271679044676,1131.397750704318,1105.823192068691,5725.157779281482,2006-2012,17
80-84 years,20.71376872799874,1.0157450221610251,1336.289479969184,1315.5757112411852,3297.426500911618,2006-2012,18
< 1 year,132.72342385011916,1.1273157250252563,1175.1981364104895,1042.4747125603703,19132.908414925263,2006-2012,1
1-4 years,-4.30247464298391,0.9508788447274883,83.28656146813502,87.58903611111893,-2452.0237110056783,2013-2019,2
10-14 years,1.7052782199385312,1.0850251261201966,21.76144629345418,20.05616807351565,1262.332799156875,2013-2019,4
15-19 years,2.7649142149050974,1.1070768827897826,28.58668024757231,25.821766032667213,2088.918458361284,2013-2019,5
20-24 years,16.211106428486147,1.3165877408131268,67.41683658989227,51.20573016140612,13000.132374651956,2013-2019,6
25-29 years,53.831363837478435,1.6389461156358993,138.08160422575244,84.25024038827401,43650.65734122044,2013-2019,7
30-34 years,54.49793052554864,1.4272676149846644,182.04780468931995,127.5498741637713,41954.71517471224,2013-2019,8
35-39 years,58.05968255610128,1.323204912080291,237.69705929769617,179.6373767415949,42131.639755584285,2013-2019,9
40-44 years,80.42049130585218,1.3349400018186228,320.52466181159423,240.10417050574205,56168.50434191587,2013-2019,10
45-49 years,156.26380185079012,1.4804745099832344,481.4918807685308,325.2280789177407,112966.21200759301,2013-2019,11
5-9 years,-0.7450429025534184,0.9755625402449651,29.74269641331043,30.48773931586385,-543.0122337685959,2013-2019,3
50-54 years,243.53389353206802,1.5445140043298038,690.7839028900703,447.2500093580023,181984.5449066778,2013-2019,12
55-59 years,289.2211429743345,1.507956364328176,858.6030097747613,569.3818668004268,214080.56162973345,2013-2019,13
60-64 years,298.9324884641054,1.4528281628161939,959.0780205021474,660.145532038042,194690.62838293012,2013-2019,14
65-69 years,188.93498753685265,1.25792508385231,921.4538442333904,732.5188566965378,101760.1178890164,2013-2019,15
70-74 years,83.49717393523213,1.0967978850533442,946.0901313042675,862.5929573690354,32892.116040790796,2013-2019,16
75-79 years,45.62792450175675,1.0435848185494148,1092.5044751067683,1046.8765506050115,12136.310190214885,2013-2019,17
80-84 years,45.20596882333143,1.037406697418673,1253.7053003030728,1208.4993314797414,7864.505451239069,2013-2019,18
< 1 year,122.45331854285132,1.1219573565702687,1126.52000206675,1004.0666835238987,17166.691541460394,2013-2019,1
1-4 years,3.5408208792294857,1.040986942284243,89.92981898194267,86.38899810271319,826.7141872541268,2020-2022,2
10-14 years,2.1317478899108373,1.1100798477388283,21.497216989836836,19.365469099926,688.2357442267855,2020-2022,4
15-19 years,2.6860014260605354,1.1226576572679376,24.584360532929338,21.898359106868803,880.9981535023795,2020-2022,5
20-24 years,8.60392160930676,1.2014483943122563,51.31422286874596,42.7103012594392,2891.612169279375,2020-2022,6
25-29 years,36.56165338533131,1.4435527911372439,118.99074438843228,82.42909100310096,12652.864331438104,2020-2022,7
30-34 years,84.02209603870395,1.7496720954989828,196.10055880018464,112.0784627614807,29475.268053679418,2020-2022,8
35-39 years,79.2208903050697,1.4839182745892014,242.92805836422258,163.70716805915288,26541.946061526607,2020-2022,9
40-44 years,76.27373500821278,1.3342106291985296,304.49428918724885,228.22055417903607,24041.442374983817,2020-2022,10
45-49 years,83.99238002075828,1.275935487653479,388.38374604264635,304.3913660218881,24856.410970013134,2020-2022,11
5-9 years,4.880961267577366,1.1822094545733717,31.668601233932204,26.78763996635484,1510.8945806039612,2020-2022,3
50-54 years,112.44933989265633,1.2834858373141182,509.11585755031325,396.6665176576569,34772.29443694191,2020-2022,12
55-59 years,166.41972383721213,1.3181415027931729,689.5194212237656,523.0996973865534,52448.69038678433,2020-2022,13
60-64 years,180.39187283584442,1.2855864507736223,812.04604391848045,631.654171082636,55215.6883570479,2020-2022,14
65-69 years,159.71020833710713,1.2187307185222986,889.8783777468618,730.1681694097547,41544.562045117076,2020-2022,15
70-74 years,95.76531857401835,1.114769432410067,930.1801672233722,834.4148486493539,20063.63196636057,2020-2022,16
75-79 years,95.67291505985293,1.101966932242329,1033.946853050671,938.2739379908181,13256.228630280091,2020-2022,17
80-84 years,102.42940989377462,1.097980735533992,1147.832971476954,1045.4035615831795,8471.786945375654,2020-2022,18
< 1 year,172.09282757371386,1.2139104348526182,976.601629083485,804.5088015097712,9658.727156857449,2020-2022,1
