Year,Excess YPLL Rate,Excess YPLL Number
2000,202.9135006643043,273684.75425697735
2001,193.11424881192494,263756.74454850657
2002,195.63554037300315,269821.85782234353
2003,181.36516617063472,252201.79158801225
2004,169.86087835257507,238479.01853837506
2005,169.2291537702514,239807.05741860898
2006,157.08466361719059,224730.12027807304
2007,145.62924120842382,210216.97763087432
2008,129.6451197142427,188915.3563613014
2009,126.96619908658465,186675.46832814455
2010,120.29738346196757,178012.90542880842
2011,111.5085407775066,166541.4445746037
2012,112.28770878809098,169005.68574566164
2013,112.47037205857964,170497.31571220866
2014,100.23354125151036,153166.6348282694
2015,107.83490009230633,166087.1675450551
2016,95.81013304032297,148336.69905402014
2017,84.33336413057538,131655.59774525755
2018,82.70958682791792,129717.15123880944
2019,81.05659778282904,127539.08657833043
2020,84.8989038109624,134083.69818373327
2021,71.07652826443547,113997.72248476907
2022,72.51039079412459,116826.46409611871
