Year,ageadjrate_male,ageadjrate_female
2000,215.444598622872,150.018399991518
2001,210.939450406952,147.590872498779
2002,207.3981943865,146.004927753057
2003,202.666516379931,143.777578169925
2004,197.589342010037,140.845856424461
2005,195.238214548402,139.225527286321
2006,190.841187146339,137.657353779751
2007,187.454374625609,135.249623618786
2008,184.387221700932,132.442644603231
2009,180.511864404703,130.621377449785
2010,178.807932648614,129.545616869694
2011,174.336154725906,126.979251212809
2012,171.431271372233,125.462217561755
2013,167.387688477467,123.154351915713
2014,164.885794190459,121.801197549619
2015,161.71241758869,119.660904347173
2016,157.758773001797,118.015660032863
2017,153.632284096792,115.212704773254
2018,149.572825870501,112.737950001509
2019,146.121675718243,109.966085629735
2020,143.811212441199,108.899028228709
2021,142.001050950085,109.664777715105
2022,139.135820870321,108.203557393963
