agegroup,Year,expected_deaths_male,hypothetical_excess,expected_rate_male
1-4 years,2000,216.7396306606677,49.26036933933224,2.7568997743071324
1-4 years,2001,229.21868984764888,29.78131015235112,2.932301591637237
1-4 years,2002,225.9454882017304,20.05451179826962,2.855363542638972
1-4 years,2003,193.31380350107042,64.68619649892956,2.4225145622588204
1-4 years,2004,221.4900898786816,18.509910121318374,2.748543887568997
1-4 years,2005,188.96901230719155,59.03098769280845,2.3249472102110653
1-4 years,2006,215.1926842794915,15.80731572050852,2.6494863340523818
1-4 years,2007,213.18522305137228,5.814776948627714,2.6110034854336726
1-4 years,2008,210.06272203266028,28.937277967339746,2.54711077802956
1-4 years,2009,201.61124059894803,8.388759401051985,2.4297328804546243
1-4 years,2010,183.81487861381294,45.18512138618708,2.213263535049669
1-4 years,2011,197.26894757862183,11.731052421378186,2.389461790799207
1-4 years,2012,218.11153461874767,19.888465381252338,2.660092377753482
1-4 years,2013,180.66285186251045,21.33714813748954,2.2206208650563357
1-4 years,2014,165.04163805335156,35.9583619466484,2.0280689882323224
1-4 years,2015,182.99379935932404,30.006200640675942,2.2473999508911002
1-4 years,2016,205.98709995760535,23.01290004239465,2.525473632068233
1-4 years,2017,173.6871378495813,29.312862150418717,2.1231023334045727
1-4 years,2018,168.5423001216921,35.45769987830788,2.0645339987715383
1-4 years,2019,162.1189588862861,16.881041113713874,2.0078914018333474
1-4 years,2020,175.4971766387776,-1.4971766387775771,2.206674507366483
1-4 years,2021,149.57215789018625,26.42784210981379,1.9168913652086896
1-4 years,2022,165.16178467005147,-20.161784670051464,2.1754060161266424
10-14 years,2000,257.54201216541975,59.45798783458029,2.44807214318724
10-14 years,2001,275.2066939752249,30.793306024775134,2.5607271057557814
10-14 years,2002,262.50014221772096,67.49985778227905,2.410469846854173
10-14 years,2003,295.1403743941407,24.859625605859343,2.69031462798741
10-14 years,2004,253.098060592667,41.901939407332954,2.307609961444721
10-14 years,2005,251.96279766247517,59.037202337524846,2.319203137263391
10-14 years,2006,230.91752206014766,35.08247793985234,2.1438433107801016
10-14 years,2007,264.4110362138673,5.588963786132693,2.477856127413722
10-14 years,2008,230.6579430287895,11.3420569712105,2.1763918075072457
10-14 years,2009,223.19952755212447,27.80047244787554,2.1112663117624693
10-14 years,2010,273.47263435529305,-12.472634355293094,2.5848412234043607
10-14 years,2011,200.90388623164156,56.096113768358435,1.8976416070573292
10-14 years,2012,238.49968699279864,45.50031300720135,2.2569779224003477
10-14 years,2013,243.48927111900446,2.510728880995534,2.307403368076094
10-14 years,2014,198.09039111242595,65.90960888757405,1.8774171127755566
10-14 years,2015,228.07149080840102,13.928509191598996,2.1678999938823647
10-14 years,2016,214.5510745530893,38.448925446910664,2.0397047339269534
10-14 years,2017,201.1896236669379,73.81037633306211,1.897107569537839
10-14 years,2018,226.3026232972402,36.69737670275978,2.1231449510194373
10-14 years,2019,209.65314277288806,28.34685722711193,1.9744583672683131
10-14 years,2020,211.70215370804834,22.2978462919517,1.998138679683113
10-14 years,2021,215.36140140107216,58.6385985989278,1.9599292933995986
10-14 years,2022,223.7434061059762,40.25659389402379,2.0906978081830894
15-19 years,2000,329.8434072793193,143.15659272068064,3.1743170080515735
15-19 years,2001,332.1040418524887,134.89595814751132,3.1486854692303288
15-19 years,2002,339.6643687025258,105.33563129747421,3.195791093039697
15-19 years,2003,285.64239259997976,176.3576074000203,2.666913331364378
15-19 years,2004,340.33516434433454,119.66483565566541,3.1339108385769388
15-19 years,2005,329.3783108599512,140.62168914004877,2.980414841162576
15-19 years,2006,304.66269150055587,137.33730849944413,2.717675164780289
15-19 years,2007,310.5793319483538,100.42066805164616,2.739642799035273
15-19 years,2008,305.0635260155622,142.9364739844378,2.6746510089449953
15-19 years,2009,300.3958338558745,94.60416614412549,2.6377724761121937
15-19 years,2010,270.5718130479291,119.42818695207087,2.3936642594352056
15-19 years,2011,291.57252384467336,115.42747615532663,2.6223036234250383
15-19 years,2012,277.291453389218,117.70854661078194,2.5293712415875564
15-19 years,2013,286.0688772972238,106.93112270277615,2.637505679849088
15-19 years,2014,284.1868035042899,94.81319649571003,2.635257765161387
15-19 years,2015,269.13414122499427,95.86585877500572,2.4924750529432735
15-19 years,2016,249.96155595293757,144.03844404706246,2.3140633180008083
15-19 years,2017,259.26608770023995,85.73391229976004,2.400502789180973
15-19 years,2018,259.91772309171404,152.08227690828596,2.412250045120701
15-19 years,2019,257.461873614252,112.53812638574792,2.3959732904269813
15-19 years,2020,250.01171596632568,87.98828403367432,2.3377385418667544
15-19 years,2021,234.22682928448856,176.7731707155114,2.1248964824425687
15-19 years,2022,311.8670693229487,63.13293067705131,2.814165847605434
20-24 years,2000,430.28233130703376,180.71766869296619,4.44148010384008
20-24 years,2001,434.3827458031714,175.61725419682853,4.309208996636337
20-24 years,2002,449.9171450483525,171.08285495164756,4.356487763261194
20-24 years,2003,462.82173832192547,108.17826167807462,4.408680523529326
20-24 years,2004,426.5881755622635,203.41182443773658,4.003673566756007
20-24 years,2005,430.6284487840227,188.37155121597738,4.010640522768406
20-24 years,2006,419.71250668048083,196.28749331951917,3.8871803526668796
20-24 years,2007,431.4646963246835,187.53530367531653,3.9921469600823283
20-24 years,2008,407.8669156906586,224.13308430934146,3.762246887345175
20-24 years,2009,400.03808502446554,244.96191497553443,3.6617733710295215
20-24 years,2010,401.10941698513113,263.8905830148689,3.6417560150221964
20-24 years,2011,441.3996711782496,162.60032882175042,3.9018065641115705
20-24 years,2012,439.6304827362817,138.3695172637183,3.806503810536892
20-24 years,2013,407.63274646553816,115.36725353446184,3.4903156783630926
20-24 years,2014,402.4257007699181,209.5742992300818,3.427984183298879
20-24 years,2015,388.8772135632711,172.12278643672892,3.3328940657234063
20-24 years,2016,331.3321092091865,222.6678907908134,2.883389043654235
20-24 years,2017,345.6540225245515,187.34597747544845,3.045640124377257
20-24 years,2018,311.7362709369687,182.26372906303126,2.7829751634927633
20-24 years,2019,357.02245569439157,138.97754430560846,3.2266647792412475
20-24 years,2020,339.49118005087905,128.50881994912095,3.0770952485956844
20-24 years,2021,308.8926290516161,165.10737094838387,2.8149633595080696
20-24 years,2022,317.6396558616782,201.36034413832178,2.737803692450623
25-29 years,2000,720.9048798569403,1.0951201430596926,7.357103142203099
25-29 years,2001,738.5399863465057,-11.539986346505716,7.760843064036736
25-29 years,2002,621.7855557595507,89.21444424044941,6.584790366873379
25-29 years,2003,683.3630774943526,20.63692250564732,7.220291080877574
25-29 years,2004,644.9744199859058,69.02558001409412,6.698962346556839
25-29 years,2005,626.9977175907775,160.00228240922252,6.383497464721911
25-29 years,2006,692.5681425248506,80.43185747514926,6.8601063546153735
25-29 years,2007,631.151563764296,130.84843623570404,6.119700361482684
25-29 years,2008,685.5411815733092,127.4588184266907,6.52328775242141
25-29 years,2009,693.442021784734,110.557978215266,6.534904270817898
25-29 years,2010,685.9207870663995,129.07921293360053,6.449296396094956
25-29 years,2011,653.7769234871979,94.22307651280204,6.0751383377451775
25-29 years,2012,678.226697645507,106.77330235449305,6.253884989159932
25-29 years,2013,653.2387028110926,137.7612971889073,5.9602729447203995
25-29 years,2014,690.7215429404143,63.27845705958577,6.188490903241651
25-29 years,2015,664.8163146463291,80.18368535367098,5.826917917817837
25-29 years,2016,682.84255693682,85.15744306318007,5.870645087087157
25-29 years,2017,668.3713284438836,49.62867155611641,5.615513466332642
25-29 years,2018,654.9339692095188,61.06603079048116,5.449228695898213
25-29 years,2019,661.5613980890519,107.43860191094818,5.5109129114083375
25-29 years,2020,683.8897841577362,-4.88978415773617,5.759010760456236
25-29 years,2021,634.3844370217822,70.61556297821771,5.575017167693338
25-29 years,2022,612.6471893806348,119.3528106193651,5.396468882853454
30-34 years,2000,1458.8186446072818,-244.81864460728184,14.133416903704024
30-34 years,2001,1503.9981829572102,-293.9981829572104,14.477885176535693
30-34 years,2002,1490.9241298581242,-249.92412985812413,14.352213244678069
30-34 years,2003,1356.158922986461,-158.15892298646102,13.19427127304019
30-34 years,2004,1337.203915688898,-207.20391568889815,13.215624313761031
30-34 years,2005,1258.8268893400145,-154.82688934001445,12.729846426400645
30-34 years,2006,1283.1355562958402,-219.1355562958402,13.264782325442226
30-34 years,2007,1200.507128843913,-181.50712884391316,12.490409896756406
30-34 years,2008,1149.2989282329436,-110.29892823294338,11.874240264187819
30-34 years,2009,1231.5036754536145,-138.50367545361453,12.50949053008099
30-34 years,2010,1222.7798349100742,-149.77983491007413,12.232079576952675
30-34 years,2011,1225.5063828356042,-168.5063828356042,11.918198336027881
30-34 years,2012,1281.3798972054476,-192.37989720544766,12.21070492917935
30-34 years,2013,1259.6553604030398,-119.65536040303985,11.792745892689604
30-34 years,2014,1233.1634668225659,-116.16346682256584,11.408857732663503
30-34 years,2015,1311.5047569008786,-148.50475690087868,12.043491188364374
30-34 years,2016,1362.6564396042002,-234.6564396042002,12.423629113998352
30-34 years,2017,1371.4838955990497,-320.4838955990498,12.367821207983292
30-34 years,2018,1401.0103546672024,-309.01035466720236,12.51810671037222
30-34 years,2019,1277.2622212672643,-237.26222126726438,11.248842727907558
30-34 years,2020,1317.1669202202474,-229.1669202202476,11.38506453459223
30-34 years,2021,1318.7871173410904,-187.78711734109052,11.296494569107422
30-34 years,2022,1311.4971481911928,-152.49714819119282,11.079809849192543
35-39 years,2000,3212.3400304602187,-724.3400304602189,28.380831417861376
35-39 years,2001,3198.4209048863213,-788.4209048863213,28.829126393101113
35-39 years,2002,3028.45705550337,-785.45705550337,27.917779388277797
35-39 years,2003,2896.690837732213,-747.6908377322128,27.31681435288465
35-39 years,2004,2664.8196378758134,-687.8196378758136,25.570823432172745
35-39 years,2005,2599.8459411695776,-687.8459411695778,25.029726401847167
35-39 years,2006,2616.571187540088,-719.5711875400882,25.034682473281723
35-39 years,2007,2538.8584503675625,-710.8584503675623,24.269628430941385
35-39 years,2008,2468.1713593341283,-617.1713593341283,23.778936748124053
