age_cat,excess_yrs_lost,ratio_excess_yrs_lost,male_years_lost,female_years_lost,exc_pll_number,Year,age
1-4 years,24.220877523622278,1.113609725186523,237.41457624841678,213.1936987247945,11567.4011169297,2000-2005,2
10-14 years,16.31536626533415,1.09371923061193,190.40307653359653,174.08771026826238,10598.470736258847,2000-2005,4
15-19 years,62.53794777719011,1.3109951702043925,263.6277194803612,201.08977170317107,40142.273796575515,2000-2005,5
20-24 years,72.3996938624511,1.278814276415307,332.0696605273157,259.6699666648646,44877.459210488174,2000-2005,6
25-29 years,-3.432088395239475,0.9912733627836271,389.8566791039083,393.28876749914775,-1979.3667180295724,2000-2005,7
30-34 years,-160.87891481928568,0.7707890086979561,541.0024125350676,701.8813273543533,-98753.36286678164,2000-2005,8
35-39 years,-406.23333440809586,0.6782160392030442,856.2078805051209,1262.4412149132168,-262724.4868124177,2000-2005,9
40-44 years,-561.8232551205494,0.7421257088892635,1616.8478047226788,2178.6710598432282,-380676.03247602895,2000-2005,10
45-49 years,-408.9310108019595,0.8800530314807044,3000.3340656736946,3409.265076475654,-258425.12590829932,2000-2005,11
5-9 years,15.100551018335466,1.0769131712243627,211.43299678741948,196.33244576908402,9200.886539879946,2000-2005,3
50-54 years,3.234199689891284,1.0006568536565106,4927.0093173807345,4923.775117690843,1799.7005601811147,2000-2005,12
55-59 years,576.2974841859368,1.083788797098606,7454.275258562223,6877.977774376286,258392.0479571659,2000-2005,13
60-64 years,1457.933177847939,1.1608555962107536,10521.5480733953,9063.614895547362,497189.5479724856,2000-2005,14
65-69 years,2512.9157598667116,1.2345714224416369,13225.711605626413,10712.795845759701,688334.668410517,2000-2005,15
70-74 years,3358.172423624823,1.2815112848643573,15287.258766443787,11929.086342818964,783036.5825480131,2000-2005,16
75-79 years,4100.323106288974,1.3415142743858004,16106.623907809611,12006.300801520638,765110.9428968402,2000-2005,17
80-84 years,4529.263203330987,1.4062731916211728,15677.58235591311,11148.319152582122,547118.4631516911,2000-2005,18
< 1 year,-27.26486177242697,0.9044161878685113,257.9807375024838,285.2455992749108,-3312.757592260075,2000-2005,1
1-4 years,5.99511788757178,1.0298656862352231,206.73110099387065,200.73598310629887,3452.7105120039587,2006-2012,2
10-14 years,4.7991564442500305,1.0300728437882138,164.38354686797575,159.58439042372572,3567.993951739221,2006-2012,4
15-19 years,52.73454294492282,1.3033759068225843,226.56028770243992,173.8257447575171,41515.980849720254,2006-2012,5
20-24 years,87.54214339653484,1.3735152199348188,321.91584150664556,234.37369811011072,67623.91937499418,2006-2012,6
25-29 years,27.33794069228503,1.0753500281954818,390.1505546618744,362.8126139695894,20167.612471741344,2006-2012,7
30-34 years,-131.01149266150446,0.7954783085578073,509.5635570443327,640.5750497058372,-91159.38969362558,2006-2012,8
35-39 years,-342.26764199016804,0.6910414999659743,765.5434133861171,1107.8110553762851,-243099.23445122768,2006-2012,9
40-44 years,-555.471994848644,0.7072351658980869,1341.859686234614,1897.331681083258,-412495.6363870633,2006-2012,10
45-49 years,-525.0904267179862,0.8325816149831698,2611.306013046978,3136.3964397649643,-409074.0650924717,2006-2012,11
5-9 years,12.250446741138433,1.0690498511649884,189.66497457070722,177.41452782956878,8794.023619600472,2006-2012,3
50-54 years,29.215926669318833,1.0063351468599382,4640.936430588926,4611.720503919607,21874.470025009658,2006-2012,12
55-59 years,897.4338997416253,1.14697520820936,7003.4562056482655,6106.02230590664,589828.7203703881,2006-2012,13
60-64 years,1492.5165151056544,1.1870002756356792,9473.876489213013,7981.3599741073585,802488.9665110843,2006-2012,14
65-69 years,2110.461079087503,1.2140627087607718,11969.539716862155,9859.078637774652,838944.156775627,2006-2012,15
70-74 years,2748.3783083832204,1.247036424041955,13873.775379045384,11125.397070662164,806338.0545048816,2006-2012,16
75-79 years,3482.6563223368266,1.3033588888485763,14962.973696769252,11480.317374432425,779632.4941699895,2006-2012,17
80-84 years,4170.8920971630705,1.3854795276813336,14990.901456028541,10820.00935886547,663964.646618757,2006-2012,18
< 1 year,11.050922765360951,1.0457829737792503,252.4271780222749,241.37625525691394,1593.0593638756095,2006-2012,1
1-4 years,15.144925909694507,1.0865939607800783,190.04079362681983,174.89586771712533,8631.246088237329,2013-2019,2
10-14 years,13.692818505010734,1.0931209238656565,160.73623191406415,147.04341340905341,10136.113690820674,2013-2019,4
15-19 years,53.270786546984,1.3239221162209283,217.72632656528614,164.45554001830214,40246.57571997703,2013-2019,5
20-24 years,72.92426617245223,1.373076589319248,268.3915462435952,195.46728007114297,58479.97591949452,2013-2019,6
25-29 years,12.569352114543278,1.0383113456848792,340.65368039498276,328.0843282804395,10192.208464372681,2013-2019,7
30-34 years,-142.1457660749369,0.7716589611162717,480.36942773268106,622.515193807618,-109429.57047092778,2013-2019,8
35-39 years,-336.4553950887994,0.6845283299748516,730.0600072672291,1066.5154023560285,-244152.51471633193,2013-2019,9
40-44 years,-520.0902121283768,0.6943357822834986,1181.418116238511,1701.5083283668878,-363249.3269286317,2013-2019,10
45-49 years,-570.2821415848889,0.7883964998425406,2124.7684656145566,2695.0506071994455,-412268.30876633374,2013-2019,11
5-9 years,3.5570695781065353,1.0218753655410806,166.16324735495684,162.6061777768503,2592.5115059256054,2013-2019,3
50-54 years,-293.2129065445097,0.9296282494732625,3873.4150990087173,4166.628005553227,-219107.97131505015,2013-2019,12
55-59 years,529.887288309732,1.0909325691727494,6357.142507537921,5827.255219228189,392220.86986866815,2013-2019,13
60-64 years,1498.2578482809677,1.2063498952976102,8759.021640383166,7260.763792102198,975794.7804877158,2013-2019,14
65-69 years,2016.089242577511,1.234251993227366,10622.58694960315,8606.49770702564,1085862.8233664155,2013-2019,15
70-74 years,2383.861314149448,1.2411021152964523,12271.212618464306,9887.351304314858,939076.6091194617,2013-2019,16
75-79 years,2798.3959874220654,1.2654930031334748,13338.771644761673,10540.375657339608,744329.3138853874,2013-2019,17
80-84 years,3426.4691500714107,1.3355460767248737,13638.089513854997,10211.620363783586,596104.58553719,2013-2019,18
< 1 year,-38.39167889521826,0.831789404814094,189.84411595936788,228.23579485458615,-5382.1171789834025,2013-2019,1
1-4 years,-10.111872279889752,0.9392622332795161,156.37222527385694,166.4840975537467,-2360.929445068603,2020-2022,2
10-14 years,13.38341102678288,1.094319340111575,155.2780745279376,141.89466350115472,4320.840138697705,2020-2022,4
15-19 years,46.743306451396535,1.294332591532912,205.55448739453632,158.8111809431398,15331.625021761292,2020-2022,5
20-24 years,66.00532331519594,1.3790434199840027,240.14189932535766,174.13657601016172,22183.11658360384,2020-2022,6
25-29 years,-0.7360395983265562,0.9976318195686179,310.067811566425,310.80385116475156,-254.72067912356854,2020-2022,7
30-34 years,-128.70055694516742,0.7754588866851357,444.4708994762506,573.171456421418,-45148.64057746442,2020-2022,8
35-39 years,-343.58019374585035,0.6610287430904563,670.0166429839867,1013.596836729837,-115112.14952386916,2020-2022,9
40-44 years,-481.8246288657624,0.6958894369179862,1102.5485806101017,1584.373209475864,-151870.8772879276,2020-2022,10
45-49 years,-579.6945172314358,0.7608075988189174,1843.8545352009328,2423.5490524323686,-171552.7664986608,2020-2022,11
5-9 years,5.970646786442046,1.0428195403506544,145.40807973288904,139.437432946447,1848.2051747182309,2020-2022,3
50-54 years,-540.7453421834107,0.8489518554150464,3039.2082128189186,3579.9535550023293,-167212.68681306345,2020-2022,12
