Age Group,Female Death Rate,Male Death Rate
1-4 years,0.3748742714753354,0.44267537768516607
10-14 years,0.16922792058809746,0.19624096282884293
15-19 years,0.28033674452028723,0.32117413558976243
20-24 years,0.40975465406165323,0.5030948414674449
25-29 years,0.5449431726240122,0.6441729771475428
30-34 years,0.7738127820103805,0.8595671280018442
35-39 years,1.0435729437980135,1.1275217690288781
40-44 years,1.4248443199174194,1.39821859801332
45-49 years,1.835275885703881,1.8902294185396682
5-9 years,0.16174919575405178,0.19361302095419616
50-54 years,2.3483401510231743,2.4169350898630695
55-59 years,3.052853684740132,3.1939496394661595
60-64 years,4.106871142091616,4.3249928959772275
65-69 years,5.87321835211306,6.150355333004262
70-74 years,8.467609062916686,8.996464157727504
75-79 years,12.837799579910556,13.95826097148024
80-84 years,20.351385643918928,23.267753312547697
< 1 year,2.0240798943729152,2.5629157391880835
