age_cat,unadj_excess_deaths_number,unadj_excess_deaths_rate,ratio_unadj_excess_deaths_rate,male_death_rate,female_death_rate,Year,age
1-4 years,35.79566020046295,0.07495221206807601,1.1694835448667302,0.517191086213723,0.442238874145647,2000-2005,2
10-14 years,34.21292615287459,0.052667638103987086,1.2832498963935188,0.23860817603384382,0.18594053792985674,2000-2005,4
15-19 years,20.300553448922045,0.03162638364409365,1.1001510058085262,0.34741336340302453,0.3157869797589309,2000-2005,5
20-24 years,25.036978081852908,0.04039153687077307,1.0812986504870297,0.5372206555437469,0.4968291186729738,2000-2005,6
25-29 years,42.44809564486627,0.07360213503427426,1.1167593819104331,0.7039766182662512,0.630374483231977,2000-2005,7
30-34 years,61.91736559058688,0.10086946201640001,1.1172493877967278,0.9611678730518146,0.8602984110354146,2000-2005,8
35-39 years,64.29115019228209,0.09940911344967174,1.0859842038900773,1.2555413906846498,1.156132277234978,2000-2005,9
40-44 years,-41.471257666323936,-0.061205631530018456,0.9637954620085243,1.6293457447761537,1.6905513763061721,2000-2005,10
45-49 years,58.819181957274395,0.093075266763603,1.045731658513446,2.1283232719553915,2.0352480051917885,2000-2005,11
5-9 years,8.841936226994747,0.014511439578989177,1.0788346011829322,0.19858593683326,0.18407449725427083,2000-2005,3
50-54 years,-44.34648292992756,-0.07969402494674283,0.9686895237398478,2.4655890389256125,2.5452830638723554,2000-2005,12
55-59 years,-16.992139024785956,-0.03789794248058742,0.9876599593104285,3.033237998960402,3.0711359414409896,2000-2005,13
60-64 years,-2.4930038281645466,-0.007310356801355056,0.9982560223649304,4.184461747583121,4.1917721043844764,2000-2005,14
65-69 years,-3.1632237903097575,-0.011548038010361417,0.9980583751559587,5.936067458259151,5.9476154962695125,2000-2005,15
70-74 years,187.61634314537514,0.804621449130698,1.0945940753807104,9.310666313910637,8.50604486477994,2000-2005,16
75-79 years,157.7443736804371,0.8453713886774032,1.06251620804291,14.36780685208801,13.522435463410607,2000-2005,17
80-84 years,400.6983822809043,3.3171398165665096,1.1462241892242604,26.002441298929973,22.685301482363464,2000-2005,18
< 1 year,92.65683420028938,0.7625899892717662,1.3953895300684027,2.6912955600536677,1.9287055707819014,2000-2005,1
1-4 years,55.62254586132781,0.09658027178536471,1.2523967167091756,0.4792329189537088,0.3826526471683441,2006-2012,2
10-14 years,25.105611166403236,0.033768486506920437,1.194776602717863,0.2071388299451137,0.17337034343819327,2006-2012,4
15-19 years,38.21216232300637,0.04853795752375967,1.169992125543353,0.3340685805959504,0.28553062307219074,2006-2012,5
20-24 years,121.59855191731157,0.15741468354897747,1.410249520384896,0.5411194186606507,0.38370473511167325,2006-2012,6
25-29 years,100.70298620794915,0.13650660276948523,1.2448424929699684,0.6940348369973108,0.5575282342278256,2006-2012,7
30-34 years,40.215248447898716,0.057796127690408095,1.0773690423349551,0.8048149086673047,0.7470187809768966,2006-2012,8
35-39 years,46.33216750921338,0.06523262715108824,1.0663150145957583,1.0489107209995474,0.9836780938484592,2006-2012,9
40-44 years,-13.172271203771743,-0.01773795191224936,0.9872506535735571,1.3735452808862394,1.3912832327984888,2006-2012,10
45-49 years,-55.12228674841049,-0.0707553656911768,0.9605740590284076,1.7238845071315998,1.7946398728227766,2006-2012,11
5-9 years,15.470697994728567,0.021551336456527487,1.1185227972344767,0.20338417334015182,0.18183283688362434,2006-2012,3
50-54 years,80.75703351098741,0.10786051348403758,1.0464857449814278,2.428152756345382,2.3202922428613446,2006-2012,12
55-59 years,30.405527194836168,0.04626249943716987,1.0152210709474674,3.085634669558196,3.0393721701210263,2006-2012,13
60-64 years,52.15747602309284,0.09700556343987898,1.0245119060435035,4.05449313163284,3.9574875681929607,2006-2012,14
65-69 years,29.778179591740354,0.07491045563269072,1.0131807241425985,5.758244301501571,5.68333384586888,2006-2012,15
70-74 years,66.81292844116797,0.22772979920936365,1.0269712890109362,8.671145281392128,8.443415482182765,2006-2012,16
75-79 years,307.4278162656419,1.3732950280883198,1.1088019686898731,13.995263588259613,12.621968560171293,2006-2012,17
80-84 years,398.2304338464319,2.50160332758443,1.120940875407696,23.186118129973927,20.684514802389497,2006-2012,18
< 1 year,69.16088956511504,0.47976344529206294,1.232208891116183,2.545849041695943,2.0660855964038802,2006-2012,1
1-4 years,13.833132719546342,0.0242724825586898,1.0658197597868124,0.39304445373128943,0.36877197117259963,2013-2019,2
10-14 years,0.04701988007758473,6.35188893562677e-5,1.0003887451142666,0.1634582138326581,0.16339469494330183,2013-2019,4
15-19 years,25.269219083423224,0.0334466014044979,1.128445680770914,0.2938415107837452,0.2603949093792473,2013-2019,5
20-24 years,71.81951034715217,0.08955860543001715,1.2483553106690195,0.45016537155377834,0.3606067661237612,2013-2019,6
25-29 years,64.0164403193412,0.07894708809244999,1.1588562083526943,0.5759190913343427,0.4969720032418927,2013-2019,7
30-34 years,64.37718952843511,0.08362405960189645,1.1138164662679766,0.8183513125549691,0.7347272529530726,2013-2019,8
35-39 years,78.72532201130468,0.10848775959396117,1.111941072919691,1.0776383739693722,0.9691506143754111,2013-2019,9
40-44 years,13.509933798316638,0.019343144815757052,1.0158662259661837,1.2384827724111225,1.2191396275953654,2013-2019,10
45-49 years,87.50312214100563,0.12104124141693373,1.0707669576105343,1.8314615491979125,1.7104203077809788,2013-2019,11
5-9 years,46.78735043622311,0.06419483982867791,1.4668806846230218,0.2016921532600772,0.1374973134313993,2013-2019,3
50-54 years,143.60653996587712,0.19217598852964635,1.0871719740607095,2.3967376105460096,2.2045616220163633,2013-2019,12
