Year,excess_deaths_male
2000,87.77551491945381
2001,71.71212015753213
2002,145.72019342438153
2003,269.7603889246919
2004,300.02703672523694
2005,212.3238220142933
2006,52.446684409680074
2007,207.09392155091453
2008,180.8627426412118
2009,232.65313260240558
2010,223.32737408905822
2011,294.2025545645975
2012,218.75910302405546
2013,348.9191436356589
2014,243.46736868839906
2015,410.6895760246557
2016,230.2744639935668
2017,292.18251846712184
2018,346.24946601235945
2019,472.72560234675575
2020,524.1936429886058
2021,269.56088386711656
2022,376.1158302706006
