age_cat,male_years_lost,female_years_lost
1-4 years,33.27102045252308,29.99415658514413
10-14 years,13.004143960317792,12.051468647469498
15-19 years,19.687202042349696,18.57581792664328
20-24 years,28.513358430867612,25.21014481644722
25-29 years,33.66259876099227,30.960011018647773
30-34 years,40.61286644692209,39.96163580038149
35-39 years,48.01369951893253,48.72460978808142
40-44 years,52.88355068766164,59.532963482421906
45-49 years,63.577754855849136,68.61991633149002
5-9 years,13.79223751096191,12.343088537664945
50-54 years,70.73515963127987,77.38695071644825
55-59 years,79.70301174900406,86.89624907813835
60-64 years,90.74362423189412,99.28878128911126
65-69 years,106.03885956801348,117.6401018460511
70-74 years,125.393074610844,137.29100402437047
75-79 years,150.94110099296856,162.63965747666634
80-84 years,188.59950469775114,193.77608989931628
< 1 year,193.69661672084646,163.37743553824012
