age_cat,excess_yrs_lost,ratio_excess_yrs_lost,male_years_lost,female_years_lost,exc_pll_number,Year,age
1-4 years,3.382446216544743,1.0958855599118709,38.65831277719869,35.275866560653945,1615.3878861348085,2000-2005,2
10-14 years,2.506377909952004,1.1900457497328563,15.69466501174287,13.188287101790866,1628.1444437488933,2000-2005,4
15-19 years,0.3298062988554733,1.0158366828450354,21.155272217614208,20.825465918758734,211.69826032123862,2000-2005,5
20-24 years,-0.15360103004701386,0.9949308867597947,30.14775993161769,30.301360961664702,-95.2106782898828,2000-2005,6
25-29 years,0.8864047419369356,1.0250341530309064,36.29422304689848,35.407818304961545,511.2106224674147,2000-2005,7
30-34 years,0.8418568305589815,1.0191073088650981,44.90127077015022,44.05941393959124,516.7625177199648,2000-2005,8
35-39 years,-0.7591570524989208,0.9858476962013867,52.88278445057329,53.64194150307221,-490.97188766750253,2000-2005,9
40-44 years,-9.356825974088423,0.8671870674330863,61.09434013787342,70.45116611196184,-6339.928715874106,2000-2005,10
45-49 years,-5.048264277571988,0.93298164167716,70.27832389776883,75.32658817534082,-3190.265098730095,2000-2005,11
5-9 years,0.013442693634926783,1.0009611223868928,13.999896259019152,13.986453565384226,8.190740773309969,2000-2005,3
50-54 years,-11.985948277155487,0.854730580087683,70.52245772040456,82.50840599756005,-6669.6926278611145,2000-2005,12
55-59 years,-12.462711115379975,0.8554287813362668,73.74193757315143,86.2046486885314,-5587.852691653568,2000-2005,13
60-64 years,-13.592899985598763,0.8628980517142607,85.55156991842694,99.1444699040257,-4635.499007883839,2000-2005,14
65-69 years,-17.175058544334277,0.8524610802444472,99.23529997523778,116.41035851957206,-4704.570052389109,2000-2005,15
70-74 years,-10.321105590589525,0.9232127256825882,124.09056199804857,134.4116675886381,-2406.6075919499353,2000-2005,16
75-79 years,-18.454199431424485,0.8894220526349036,148.43440603792885,166.88860546935334,-3443.511538329106,2000-2005,17
80-84 years,-9.685024336373914,0.9542608719727473,202.0598154560091,211.744839792383,-1169.9155894951411,2000-2005,18
