Year,Excess YPLL Rate,Excess YPLL Number
2000,-8.616884103826578,-11622.241993243064
2001,-7.8399533257183975,-10707.861171951135
2002,-7.047800729707589,-9720.374339067634
2003,-4.2774059233685335,-5948.05198815177
2004,-3.359446863408735,-4716.551560239782
2005,-4.517730556410058,-6401.873712691683
2006,-6.591038891558497,-9429.341660412114
2007,-4.0223082460171895,-5806.234212037946
2008,-4.2497392358474,-6192.604889040933
2009,-3.6484849177495704,-5364.283058080745
2010,-3.0832209647209083,-4562.469325714838
2011,-1.966710155686016,-2937.3422708582666
2012,-3.998347270564153,-6017.964295506734
2013,-1.1845595524830799,-1795.7104640360592
2014,-3.0820512684255164,-4709.6751771785
2015,-1.2240345215309958,-1885.2563176154358
2016,-4.491479563356037,-6953.87044308169
2017,-2.901825739668766,-4530.1359224463195
2018,-1.5827066577390099,-2482.2297724174227
2019,0.5923102783571466,931.9748661919537
2020,1.8321355250966604,2893.553341109641
2021,-5.49647317994976,-8815.644763651368
2022,-2.745609997675686,-4423.640588645039
