age_cat,unadj_excess_deaths_number,unadj_excess_deaths_rate,ratio_unadj_excess_deaths_rate,male_death_rate,female_death_rate,Year,age
1-4 years,38.130754315901186,0.07984164470764998,1.0796266510317,1.0825416662854042,1.0027000215777542,2000-2005,2
10-14 years,82.04135750885854,0.12629508822276925,1.231782326125606,0.6711817080693929,0.5448866198466237,2000-2005,4
15-19 years,44.24924057778048,0.06893622196034221,1.0756719676969762,0.9799237918408181,0.9109875698804759,2000-2005,5
20-24 years,102.39717880553246,0.1651948334046196,1.1061547577465447,1.7213646830786122,1.5561698496739926,2000-2005,6
25-29 years,267.35280119261915,0.4635717262748509,1.2127508830213842,2.6425132173344013,2.1789414910595504,2000-2005,7
30-34 years,741.4974673587897,1.2079721077534833,1.4077516825240994,4.170491110190924,2.962519002437441,2000-2005,8
35-39 years,1024.2566302685127,1.5837396477651504,1.3400876185409618,6.240597355669023,4.656857707903873,2000-2005,9
40-44 years,2509.137504341016,3.703127278764759,1.5405454182857707,10.553850924723076,6.8507236459583165,2000-2005,10
45-49 years,3640.4046568472713,5.760563531972364,1.5063434704032883,17.137353929573894,11.37679039760153,2000-2005,11
5-9 years,58.62333597729685,0.09621297599456574,1.2369800571484653,0.5022090633965088,0.4059960874019431,2000-2005,3
50-54 years,4823.047096307006,8.667384879647635,1.4444404743652812,28.169175062069225,19.50179018242159,2000-2005,12
55-59 years,5845.884852414927,13.038205935214691,1.409114545724891,44.90753463902037,31.869328703805678,2000-2005,13
60-64 years,6365.41882963265,18.665628311102417,1.3698979460662166,69.12719077612088,50.46156246501847,2000-2005,14
65-69 years,6260.732206280816,22.856167721143024,1.2905310874695048,101.52646741339913,78.67029969225611,2000-2005,15
70-74 years,6836.06042011028,29.317493078479302,1.2484219576201887,147.3323954620387,118.0149023835594,2000-2005,16
75-79 years,7017.802640131027,37.60926253617154,1.2125113011818571,214.58461550334056,176.97535296716902,2000-2005,17
80-84 years,5761.727546504491,47.6978612888924,1.1785183240453323,314.88534214816923,267.18748085927683,2000-2005,18
< 1 year,197.03252408923117,1.6216292271177837,1.290194348153321,7.209709206749276,5.588079979631492,2000-2005,1
1-4 years,63.734032761921696,0.11066466143908349,1.1338202541145712,0.9376296240398652,0.8269649626007817,2006-2012,2
10-14 years,39.70656745184641,0.05340760989033899,1.111443444713172,0.5326427055731496,0.47923509568281064,2006-2012,4
15-19 years,39.348243054336876,0.04998103310306756,1.0631946230222724,0.8408874538194645,0.7909064207163969,2006-2012,5
20-24 years,258.7675009356701,0.3349859322358355,1.223996036421462,1.8304853061869861,1.4954993739511506,2006-2012,6
25-29 years,369.6302829843994,0.5010474476569287,1.2146056559940384,2.8357829667937,2.334735519136771,2006-2012,7
30-34 years,786.9506978296895,1.1309815249990591,1.349903711346074,4.363246540560602,3.2322650155615427,2006-2012,8
35-39 years,1572.101750234785,2.2134152756019034,1.4849324775534332,6.777793571666874,4.56437829606497,2006-2012,9
40-44 years,2719.848900256444,3.6625839428145746,1.5051583527041037,10.91295191794322,7.250367975128645,2006-2012,10
45-49 years,5386.545728231735,6.914209030420391,1.6234100151228945,18.005158586399812,11.090949555979421,2006-2012,11
5-9 years,44.52589467610767,0.06202645397897821,1.1512047880309666,0.47224133398843465,0.41021488000945644,2006-2012,3
50-54 years,8045.649134608637,10.745910408574147,1.6016630296047176,28.60625728020099,17.86034687162684,2006-2012,12
55-59 years,10875.856223579362,16.547790446058563,1.5819967114130344,44.98058073774604,28.432790291687475,2006-2012,13
60-64 years,12561.947665114898,23.363454370706215,1.5369030032208368,66.87867822036021,43.515223849654,2006-2012,14
65-69 years,12119.211534445607,30.487278618136102,1.472579898669233,94.9997107041963,64.5124320860602,2006-2012,15
70-74 years,10652.280646668441,36.30796897225777,1.3713573249734878,134.07894730114865,97.77097832889088,2006-2012,16
75-79 years,9574.543244372915,42.769950986973925,1.287278325383499,191.64979052891866,148.87983954194473,2006-2012,17
80-84 years,9387.151095605375,58.968191332056506,1.2603069831636233,285.5014583823314,226.5332670502749,2006-2012,18
< 1 year,201.79009578010357,1.399801422249344,1.3196877844137966,5.778453001996515,4.378651579747171,2006-2012,1
1-4 years,56.57505282933687,0.09927013720591771,1.133929241651725,0.8404834523986056,0.7412133151926878,2013-2019,2
10-14 years,67.84898381951638,0.09165680748346333,1.211268158595475,0.5254978940570578,0.4338410865735945,2013-2019,4
15-19 years,53.4144475295393,0.0706999187376528,1.0859325756804454,0.8934370260316578,0.822737107294005,2013-2019,5
20-24 years,198.9870605244364,0.248135966857,1.1548521842944603,1.8505413057778586,1.6024053389208586,2013-2019,6
25-29 years,705.6834757332724,0.8702710623425416,1.3749015995108353,3.191603015788606,2.3213319534460646,2013-2019,7
30-34 years,1050.7219113144633,1.3648565956419954,1.3788736209330088,4.967262570174924,3.6024059745329287,2013-2019,8
35-39 years,1683.1922375909076,2.3195301099684595,1.4140890137922117,7.921055464930885,5.601525354962425,2013-2019,9
40-44 years,3189.1555180279665,4.566143546378619,1.5515809925313369,12.844426533295005,8.278282986916386,2013-2019,10
45-49 years,5508.377959401838,7.619624192668978,1.582550564706516,20.699388687460395,13.079764494791418,2013-2019,11
5-9 years,70.10804133558815,0.09619212120966852,1.2478262078094475,0.4843355789170561,0.38814345770738756,2013-2019,3
50-54 years,9943.621216618298,13.306672783301142,1.6678780383877185,33.2304792546502,19.923806471349057,2013-2019,12
55-59 years,15387.01467286667,20.787734938524483,1.6996010247348927,50.50143489544179,29.713699956917306,2013-2019,13
60-64 years,19485.65958591532,29.918731876119544,1.6650545476630676,74.90561600652788,44.986884130408335,2013-2019,14
65-69 years,21056.879752982888,39.095683026171486,1.6039352702222258,103.83057259767428,64.73488957150279,2013-2019,15
70-74 years,19207.485760255724,48.75851639929968,1.5094484054330801,144.4669647511014,95.7084483518017,2013-2019,16
75-79 years,16346.5173419305,61.45670697718518,1.428654493323026,204.8279020409741,143.37119506378892,2013-2019,17
80-84 years,13373.469742928602,76.87204999817843,1.347882141302824,297.8435828003263,220.9715328021479,2013-2019,18
< 1 year,116.01975615506694,0.8275912760130915,1.2003863817262481,4.957568916627815,4.129977640614723,2013-2019,1
1-4 years,-22.018003585468335,-0.0943032162945221,0.880995345540537,0.6981297916652212,0.7924330079597433,2020-2022,2
10-14 years,4.843830178606794,0.015003325312509364,1.0271886748770074,0.5668259272002231,0.5518226018877137,2020-2022,4
15-19 years,64.03391731289668,0.1952276432531912,1.2345856184128843,1.0274510530854994,0.8322234098323082,2020-2022,5
20-24 years,256.7974021912215,0.7640944181243767,1.4789186088255415,2.359552193294516,1.595457775170139,2020-2022,6
25-29 years,446.3463612329772,1.2897602093666953,1.4224150136404257,4.343061270452048,3.0533010610853526,2020-2022,7
30-34 years,840.3670584764634,2.3955473981264888,1.5122212514495017,7.072329923934397,4.6767825258079085,2020-2022,8
35-39 years,1394.674751982634,4.162745839432683,1.5878935669332068,11.243527248809169,7.0807814093764865,2020-2022,9
40-44 years,1946.231161021601,6.174601237526117,1.5674525754923212,17.055865160187917,10.8812639226618,2020-2022,10
45-49 years,3127.1849265899336,10.567080865624664,1.6202498269090302,27.603894754449012,17.036813888824348,2020-2022,11
5-9 years,11.225740128896433,0.03626487477844409,1.1041597515243644,0.38443078577297257,0.3481659109945285,2020-2022,3
50-54 years,5383.525384234881,17.409661500778768,1.69281809032778,42.53842436628371,25.12876286550494,2020-2022,12
55-59 years,8715.159320641036,27.6532053830622,1.7346604035410498,65.29400547215677,37.64080008909457,2020-2022,13
60-64 years,11599.475493183403,37.895952588658574,1.6858106652169693,93.15311686251755,55.257164273858976,2020-2022,14
65-69 years,13046.18296618708,50.153582008422035,1.6355987167134751,129.06120200450053,78.9076199960785,2020-2022,15
70-74 years,12511.958903964969,59.720579625473476,1.507913373010441,177.30082617717397,117.5802465517005,2020-2022,16
75-79 years,10568.521816114298,76.27518491282552,1.43408832013779,251.98870074438247,175.71351583155695,2020-2022,17
80-84 years,8392.192090140212,101.4670563661287,1.3708140385233678,375.10032216745697,273.63326580132826,2020-2022,18
< 1 year,57.92695674908464,1.0321042946753702,1.2757467395752224,4.775047171408158,3.7429428767327875,2020-2022,1
