Year,ageadjrate_male,ageadjrate_female
2000,29.4406967840105,23.9631810320482
2001,29.733892856335,23.9126499070241
2002,30.3105506547696,24.1041433186605
2003,30.7595357322794,23.5918782179175
2004,30.0506071272372,22.7731927115165
2005,30.6032421232043,23.0701734562515
2006,29.5014254221089,21.8161335841597
2007,28.9219180476516,21.0902082572777
2008,28.2586894078774,20.6661567185562
2009,27.7109318821751,19.7451042918314
2010,27.5074799975521,19.3375440711322
2011,28.6552293657503,20.237247301487
2012,28.4048490975702,19.6921836267409
2013,28.9171088303974,19.9367281987981
2014,29.5053981595992,20.0601894025133
2015,30.3693927848992,20.5404013297195
2016,30.5161460963191,20.4776193323
2017,31.6857190843972,20.8655756826101
2018,32.3021474738989,21.0112448792352
2019,33.4575897603082,21.4042402455882
2020,38.4923308900198,24.8191757916923
2021,39.8502528228231,26.250226100365
2022,38.9069718087191,25.5843057139579
