age_cat,male_years_lost,female_years_lost
1-4 years,68.7651119487952,67.4498730151741
10-14 years,37.86732694519262,35.00203093702624
15-19 years,56.23818449042749,55.45314390889608
20-24 years,106.15746521225601,95.46206798570365
25-29 years,160.21877079287145,134.51566486201946
30-34 years,228.99041694824302,178.68578652495566
35-39 years,322.62278913317806,245.08836691306652
40-44 years,464.99914670094466,333.9379449492241
45-49 years,667.1053584038908,469.53461049945065
5-9 years,33.69727612537415,30.028735344190277
50-54 years,928.3297582477954,653.312592098956
55-59 years,1236.0488157708623,878.9591307219902
60-64 years,1549.8589791786633,1143.2651042224309
65-69 years,1809.0647684871294,1407.0289135444168
70-74 years,2042.3840762935183,1699.5291608632697
75-79 years,2262.4372466984732,1997.6094020016142
80-84 years,2486.426102140432,2291.8133251957706
< 1 year,436.5463354107198,365.5528747845506
