age_cat,excess_yrs_lost,ratio_excess_yrs_lost,male_years_lost,female_years_lost,exc_pll_number,Year,age
1-4 years,0.8380195627885598,1.0104668370273662,80.90227972060949,80.06426015782093,400.221190052061,2000-2005,2
10-14 years,5.57027232390864,1.1441950882317302,44.20038373905529,38.63011141514665,3618.4519095581077,2000-2005,4
15-19 years,-0.4123353597972752,0.9931393296603049,59.68898701559049,60.10132237538777,-264.67256277681764,2000-2005,5
20-24 years,1.7300791988892428,1.0182346372293072,96.6088079135251,94.87872871463586,1072.4017538882654,2000-2005,6
25-29 years,13.650587444980914,1.111404845390539,136.1819494977502,122.53136205276928,7872.61729844294,2000-2005,7
30-34 years,43.194207074854575,1.2838982566720503,195.34099226892874,152.14678519407417,26514.184346640537,2000-2005,8
35-39 years,46.73226212440136,1.2157152695300582,263.37089983516194,216.63863771076058,30223.29421120998,2000-2005,9
40-44 years,110.22229688467354,1.385981067101066,395.7862954312984,285.5639985466249,74683.60607367422,2000-2005,10
45-49 years,144.14305225930013,1.3426613613535967,564.8004957770041,420.657443517704,91091.6155658247,2000-2005,11
5-9 years,4.822695712749667,1.1564832272302297,35.64194578901604,30.819250076266375,2938.5070793440746,2000-2005,3
50-54 years,173.15542462162216,1.273871307679745,805.4064847586109,632.2510601369887,96353.94983925913,2000-2005,12
55-59 years,203.0019963849079,1.227842524467112,1093.9770102006905,890.9750138157826,91019.14033059657,2000-2005,13
60-64 years,216.24976892440372,1.1812314760868972,1409.473890879444,1193.2241219550403,73746.26388527984,2000-2005,14
65-69 years,157.507701921724,1.1022911457377842,1697.3057048249618,1539.7980029032378,43144.308100540184,2000-2005,15
70-74 years,100.87062081654085,1.054125691145571,1964.507254023672,1863.6366332071311,23520.348642022236,2000-2005,16
75-79 years,32.65245275599045,1.0149470720570253,2217.19084471773,2184.5383919617398,6092.873236675535,2000-2005,17
80-84 years,-45.03037031062149,0.981917096500667,2445.187548082994,2490.2179183936155,-5439.504372671442,2000-2005,18
< 1 year,92.97739670744062,1.2069143754234153,542.3294367345201,449.35204002707945,11297.01589621275,2000-2005,1
1-4 years,4.4468521221256765,1.0669383102030618,70.87894621944973,66.43209409732405,2561.032719509905,2006-2012,2
10-14 years,1.346803989179925,1.0393523552068111,35.57103230034388,34.224228311163955,1001.2985705705976,2006-2012,4
15-19 years,-0.6505583218219897,0.9876254970109283,51.92192256056315,52.572480882385136,-512.160821391706,2006-2012,5
20-24 years,12.273564727795815,1.1332599565589843,104.3759865259241,92.10242179812829,9480.994174847789,2006-2012,6
