age_cat,unadj_excess_deaths_number,unadj_excess_deaths_rate,ratio_unadj_excess_deaths_rate,male_death_rate,female_death_rate,Year,age
1-4 years,-8.275849081123948,-0.01732872621703374,0.7173148058595532,0.04397171178335297,0.06130043800038671,2000-2005,2
10-14 years,-16.170310020599132,-0.024892697934948055,0.7556258990540433,0.07697037936575607,0.10186307730070412,2000-2005,4
15-19 years,144.70938732680054,0.22544383393360895,1.811648943021178,0.5032041093236633,0.2777602753900544,2000-2005,5
20-24 years,510.20207158542985,0.823096370441148,2.556453007659557,1.3519246526896693,0.5288282822485213,2000-2005,6
25-29 years,827.1267031698814,1.4341819196434644,2.8932873882917036,2.1916907524348317,0.7575088327913673,2000-2005,7
30-34 years,1086.6432997171592,1.7702485239917753,2.421644239286527,3.0154605644388286,1.2452120404470532,2000-2005,8
35-39 years,2165.157211744549,3.3478380501042486,2.5478202625219932,5.510775266502576,2.1629372163983276,2000-2005,9
40-44 years,3839.040721798396,5.665873789931695,2.6764668080968446,9.045525425482833,3.3796516355511375,2000-2005,10
45-49 years,5088.066084333637,8.05133788589905,2.892224295543064,12.306297461707866,4.254959575808815,2000-2005,11
5-9 years,-6.44618610458091,-0.010579519889088791,0.7950089691912792,0.041030152238276864,0.051609672127365655,2000-2005,3
50-54 years,5430.636887852969,9.759270251512671,3.538436255640058,13.60386955150648,3.8445992999938086,2000-2005,12
55-59 years,4030.5169456428657,8.98935084924835,3.130876581927789,13.207967227826103,4.218616378577753,2000-2005,13
60-64 years,3200.142121779395,9.383932933017075,2.696016514395498,14.916858381188044,5.532925448170969,2000-2005,14
65-69 years,2469.1297400473313,9.014096371534341,1.985338219423207,18.162322020196356,9.148225648662015,2000-2005,15
70-74 years,2052.6607515665182,8.80315030561809,1.3935059921923123,31.174220836396323,22.371070530778233,2000-2005,16
75-79 years,1136.6121152977248,6.091243319038007,1.0964752307980266,69.22914170655461,63.13789838751661,2000-2005,17
80-84 years,-683.5525719006837,-5.65871876013378,0.9679588024733854,170.94887386911938,176.60759262925316,2000-2005,18
< 1 year,16.084125837370493,0.1589804714456691,1.80760330709214,0.35583512774728193,0.19685465630161283,2000-2005,1
1-4 years,-1.7255546119409786,-0.0034935460261710655,0.9530148794164178,0.07086075982170623,0.07435430584787729,2006-2012,2
10-14 years,-10.491936742658787,-0.014112256498262907,0.8074589128258087,0.05918252284146107,0.07329477933972398,2006-2012,4
15-19 years,106.30362272809282,0.13502927892388358,1.8324717192386577,0.29723212113860226,0.16220284221471867,2006-2012,5
20-24 years,362.7209930744956,0.46955830839350465,1.897204620722078,0.9929152969203806,0.523356988526876,2006-2012,6
25-29 years,613.6555424962405,0.8318326648610835,2.005424944802519,1.6591770321966965,0.827344367335613,2006-2012,7
