Year,ageadjrate_male,ageadjrate_female
2000,10.0218921637127,6.32779968332866
2001,10.4994029279716,6.89247566675294
2002,11.1035004138818,7.36781503305276
2003,11.6171584297901,7.93026618887266
2004,11.8030431700616,8.03345122148847
2005,12.8355936586443,9.097572849397
2006,15.4541396221491,11.4282603827578
2007,13.6691324852029,10.8587190663808
2008,14.948883417238,12.3052450091455
2009,14.770090366213,12.3450852869073
2010,16.24248666218,13.5002527127043
2011,17.3844281189039,14.9343637338229
2012,18.1898710463556,16.0851520153269
2013,18.7624521932809,16.5147939927402
2014,18.1197415681333,15.6176827323071
2015,16.5813354418223,13.7547197528652
2016,16.6331930489409,13.2533876362738
2017,16.7411313127134,13.3429340589347
2018,16.5648089681702,13.2265130755606
2019,16.5253018392558,13.0459464050198
2020,18.9773348072015,14.5839444168065
2021,18.8975769312421,14.1981255491766
2022,18.7291712155945,13.9878319544717
