age_cat,male_years_lost,female_years_lost
1-4 years,4.270981132835686,5.324417725055292
10-14 years,4.114943846500196,5.588945245986836
15-19 years,18.618234810741594,12.726375141799572
20-24 years,59.586716642267525,34.99386491942186
25-29 years,109.13260004236727,62.946054050191
30-34 years,158.2074380109096,89.3634788934741
35-39 years,217.02111863710252,108.32373826196084
40-44 years,287.8615441288236,133.94109073031356
45-49 years,360.94364483865155,161.20188068807917
5-9 years,3.7749765731793246,3.844384691407605
50-54 years,407.30315609474803,165.66553077454572
55-59 years,420.34498078146544,174.16983375051365
60-64 years,427.34707350753456,201.2667762565054
65-69 years,455.6533425818001,299.03458081184726
70-74 years,668.5176257286279,613.8818840085231
75-79 years,1217.9042166141362,1387.0303865478372
80-84 years,2284.5388346742216,2844.747563894776
< 1 year,21.509775328241687,17.55585720428673
