Year,Excess YPLL Rate,Excess YPLL Number
2000,75.38648794699657,101679.44646622453
2001,70.47338228218797,96253.02121634275
2002,71.61388982899626,98770.360245908
2003,70.63835879376569,98227.90681791364
2004,72.85699742575432,102288.79897631476
2005,69.54888596643411,98554.61259940907
2006,68.23582455821156,97620.25589977598
2007,37.13293881540932,53601.69498621266
2008,25.48366126206912,37134.10083870353
2009,16.460573651189293,24201.60103548654
2010,22.575331578360306,33406.382164190385
2011,12.224793415971021,18258.10597938167
2012,29.01743489140921,41295.26263505303
2013,1.3822713427828717,2095.4278821771877
2014,11.145708024905275,17031.729794615574
2015,30.75049212452751,47361.86645703291
2016,21.774120219837926,33711.4772281634
2017,47.47299173297671,74111.65400307713
2018,48.75159442951258,76459.31010275097
2019,51.367925418676975,80825.23158540105
2020,50.88680541068777,80367.24565270543
2021,73.57044151820708,117997.6425420181
2022,82.60312284535627,133087.55696434944
