Gender,Year,yrs_lost
Female,2000,187.57618915773656
Female,2001,206.79192928315376
Female,2002,221.41883958626204
Female,2003,240.28124680111802
Female,2004,249.47703751403347
Female,2005,269.0174424840952
Female,2006,341.82061672942643
Female,2007,324.27968045744996
Female,2008,369.8285646819997
Female,2009,380.1825390088709
Female,2010,413.1952965307245
Female,2011,456.33101701241316
Female,2012,493.3168870857908
Female,2013,506.4886424371839
Female,2014,484.2446719136835
Female,2015,424.7527804968977
Female,2016,442.0282108585514
Female,2017,416.44374372714805
Female,2018,413.6863381290947
Female,2019,411.208025779871
Female,2020,468.75016803860615
Female,2021,429.8847694445496
Female,2022,430.95404698654664
Male,2000,262.96267710473313
Male,2001,277.26531156534173
Male,2002,293.0327294152583
Male,2003,310.9196055948837
Male,2004,322.3340349397878
Male,2005,338.56632845052934
Male,2006,410.056441287638
Male,2007,361.4126192728593
Male,2008,395.3122259440688
Male,2009,396.6431126600602
Male,2010,435.7706281090848
Male,2011,468.5558104283842
Male,2012,522.3343219772
Male,2013,507.87091377996677
Male,2014,495.39037993858875
Male,2015,455.5032726214252
Male,2016,463.80233107838933
Male,2017,463.91673546012476
Male,2018,462.43793255860726
Male,2019,462.57595119854795
Male,2020,519.6369734492939
Male,2021,503.45521096275667
Male,2022,513.5571698319029
