Age Group,Female Death Rate,Male Death Rate
1-4 years,1.464598880448683,1.7028461608765149
10-14 years,1.0869803463467216,1.4310933285132428
15-19 years,1.2952479481497874,2.4090050095722826
20-24 years,1.7234529085987114,3.05769425642861
25-29 years,1.956728114505885,3.0808624673375573
30-34 years,2.4347808752216764,3.3769590327961403
35-39 years,3.224123776066654,4.231722384055191
40-44 years,4.700605277766333,5.949516690929436
45-49 years,7.186922655729631,8.86510601018136
5-9 years,0.9263014051926026,1.095308596708127
50-54 years,10.808580047361232,13.108104340730735
55-59 years,16.841897083891055,19.928172598373035
60-64 years,26.861224996179725,32.238380493474885
65-69 years,45.977269303563254,56.6469356483737
70-74 years,94.18041269238248,117.22217576202466
75-79 years,215.60637755103735,261.84868135906146
80-84 years,478.96172359860566,544.2477872808216
< 1 year,7.394457421724766,9.188832189909979
