age_cat,unadj_excess_deaths_number,unadj_excess_deaths_rate,ratio_unadj_excess_deaths_rate,male_death_rate,female_death_rate,Year,age
1-4 years,134.81565964350466,0.2822893014155614,1.1538667760127415,2.1169238387128497,1.8346345372972883,2000-2005,2
10-14 years,257.47239881677785,0.39635496426277284,1.3472189010981397,1.5378681797278062,1.1415132154650334,2000-2005,4
15-19 years,826.2435257923811,1.287210951952936,2.0422412842711037,2.522252176455142,1.235041224502206,2000-2005,5
20-24 years,781.529006147073,1.260821396422773,1.8128472009490704,2.811938746584837,1.551117350162064,2000-2005,6
25-29 years,539.4181390133946,0.935314673236759,1.5529194018304946,2.6269078243186468,1.6915931510818878,2000-2005,7
30-34 years,365.7841846029976,0.5958983164590768,1.288196995472029,2.663575377016469,2.067677060557392,2000-2005,8
35-39 years,661.940831089767,1.0235149157849741,1.3669174728285778,3.813011169246732,2.789496253461758,2000-2005,9
40-44 years,942.3221326057469,1.390732388559389,1.3192496522114154,5.746985806302847,4.356253417743458,2000-2005,10
45-49 years,919.4823870421606,1.4549856970222477,1.2104310975461976,8.369295007711571,6.914309310689323,2000-2005,11
5-9 years,69.38906078637069,0.11388174910943372,1.1042486784672574,1.20628647580534,1.0924047266959063,2000-2005,3
50-54 years,900.2584817040615,1.6178334144966087,1.1597692598286775,11.743895312958367,10.126061898461758,2000-2005,12
55-59 years,890.7989869782577,1.9867686299543248,1.1312662246916856,17.122182439719857,15.135413809765533,2000-2005,13
60-64 years,1283.399911355642,3.7633761989623338,1.163000393327903,26.851518025661278,23.088141826698944,2000-2005,14
65-69 years,2656.7415496516933,9.699014180745635,1.2605348842130157,46.92632909499577,37.22731491425014,2000-2005,15
70-74 years,5030.436963288845,21.57380008214848,1.2923387206286416,95.37107208141168,73.7972719992632,2000-2005,16
75-79 years,7683.691313252581,41.17784136511736,1.244693346697853,209.46129459674,168.28345323162264,2000-2005,17
80-84 years,7593.143028557315,62.85904357670836,1.1689811326957815,434.84757610639724,371.9885325296889,2000-2005,18
< 1 year,330.4109441297909,2.719368522720634,1.334563189178571,10.847484856730075,8.128116334009441,2000-2005,1
1-4 years,152.31234278031388,0.2644677124032162,1.1816079460203825,1.7207239952287154,1.4562562828254992,2006-2012,2
10-14 years,266.58574513798374,0.3585731125190146,1.3442417846317711,1.4002046881354766,1.041631575616462,2006-2012,4
15-19 years,808.993935544049,1.027602493376168,1.7574806571497845,2.3842080828083607,1.3566055894321927,2006-2012,5
20-24 years,1005.3912227718104,1.3015232392172318,1.737842908084719,3.0654803430345,1.7639571038172681,2006-2012,6
25-29 years,692.6367976536351,0.9388946620271095,1.4963845946983092,2.8303608196296586,1.891466157602549,2006-2012,7
30-34 years,593.4841543445414,0.8529373133469549,1.3733741667103734,3.1373409743227256,2.2844036609757707,2006-2012,8
35-39 years,576.544956166786,0.8117371619618208,1.2639307949112486,3.887305370039934,3.075568208078113,2006-2012,9
40-44 years,785.9103470917812,1.0583171063211596,1.227398715317022,5.712332432862184,4.654015326541025,2006-2012,10
45-49 years,1456.3287600783033,1.8693541227022772,1.2724823837994643,8.729812757261362,6.860458634559085,2006-2012,11
5-9 years,122.44195880572727,0.17056682584829974,1.1882106607750977,1.0768216848762833,0.9062548590279835,2006-2012,3
50-54 years,1625.7600418443144,2.171393689087161,1.2020270366359147,12.91942882955384,10.74803514046668,2006-2012,12
55-59 years,1671.7589162414115,2.543608121842965,1.1577839430953623,18.664438112164888,16.120829990321923,2006-2012,13
60-64 years,2366.8236381058105,4.401958800223053,1.1774074170000528,29.214668858572768,24.812710058349715,2006-2012,14
65-69 years,3605.492348708445,9.070033102253355,1.2210804584822272,50.09597073835836,41.025937636105006,2006-2012,15
70-74 years,6686.899399762911,22.792089692373438,1.282886493836812,103.36182415810389,80.56973446573045,2006-2012,16
75-79 years,10032.219634335634,44.81441371140778,1.237248066550563,233.7070540729545,188.8926403615467,2006-2012,17
80-84 years,9998.073085010008,62.8058801466147,1.1499750100642783,481.5815156321298,418.7756354855151,2006-2012,18
< 1 year,236.27425140463015,1.6390151948662233,1.2007895651868459,9.80186565644787,8.162850461581646,2006-2012,1
1-4 years,88.7563424513396,0.15573744702666992,1.120063718565617,1.4528607486138736,1.2971233015872037,2013-2019,2
10-14 years,214.54944059361185,0.2898336226299816,1.270741736562502,1.3603505894998902,1.0705169668699086,2013-2019,4
15-19 years,814.621671294309,1.078241723469816,1.873702923174062,2.3123473844108235,1.2341056609410075,2013-2019,5
20-24 years,1109.7900046754305,1.3839031296437245,1.8219388158274257,3.0676089031088494,1.6837057734651248,2013-2019,6
25-29 years,1009.0527038426169,1.2443955381274123,1.6042422453477954,3.3038270785539705,2.059431540426558,2013-2019,7
30-34 years,799.2860754477829,1.0382489030946078,1.3967243516348997,3.6553025294121952,2.6170536263175874,2013-2019,8
35-39 years,731.5891111000124,1.0081694374674108,1.2914220593667756,4.467651673156911,3.4594822356895,2013-2019,9
40-44 years,799.5062504285706,1.1447106561743325,1.237489301897665,5.964762115450562,4.82005145927623,2013-2019,10
45-49 years,1268.4173348100549,1.7545752092452496,1.2340001828503815,9.252754004973442,7.498178795728192,2013-2019,11
5-9 years,169.28528495444527,0.23226880025651575,1.2767389451173143,1.0715753176606821,0.8393065174041664,2013-2019,3
50-54 years,2026.2964172356697,2.7116140889465985,1.2440820004032167,13.821053066286536,11.109438977339938,2013-2019,12
55-59 years,2814.795187729256,3.8027660019023557,1.2153926440673954,21.457807186653703,17.655041184751347,2013-2019,13
60-64 years,4147.535362497856,6.368221609854665,1.2252814062090165,34.63607432356782,28.267852713713154,2013-2019,14
65-69 years,5833.168774750393,10.830271157505983,1.2214496848967649,59.73650989320265,48.90623873569667,2013-2019,15
70-74 years,9346.081783015201,23.725181295163736,1.2352167166594734,124.59038183068101,100.86520053551727,2013-2019,16
75-79 years,13055.03403574381,49.081977801709115,1.2101516562314758,282.63701458736637,233.55503678565725,2013-2019,17
80-84 years,10883.4052940549,62.558908944135965,1.1169370984298619,597.5380540069693,534.9791450628334,2013-2019,18
