Age Group,Excess Deaths Number,Excess Death Rate
1-4 years,442.3992713029552,0.23824728042783194
10-14 years,845.1979393768302,0.3441129821665212
15-19 years,2798.487950835489,1.1137570614224952
20-24 years,3376.0815969276246,1.3342413478298987
25-29 years,2778.169766811133,1.1241343528316723
30-34 years,2289.76900937146,0.9421781575744639
35-39 years,2436.0627713134672,1.0075986079885366
40-44 years,3039.614510229505,1.2489114131631034
45-49 years,4077.756949181163,1.67818335445173
5-9 years,399.7938430619415,0.16900719151552446
50-54 years,5430.714594530858,2.299524293369503
55-59 years,6669.320435658148,3.0862755144819793
60-64 years,9872.846691548802,5.37715549729516
65-69 years,15686.105577033522,10.669666344810445
70-74 years,26037.180747814156,23.041763069642187
75-79 years,37687.534943996405,46.242303808024104
80-84 years,35036.77670332696,65.28606368221597
< 1 year,828.9541841138844,1.7943747681852127
