age_cat,male_years_lost,female_years_lost
1-4 years,128.0719071575596,117.28110560618346
10-14 years,94.77242170773359,77.3164180707139
15-19 years,147.71865444818943,85.66633959641622
20-24 years,172.67351275970543,105.37475119087134
25-29 years,158.50633379663256,109.8092882833087
30-34 years,158.1837527982195,124.99293502176644
35-39 years,179.99877022165668,151.0567652506611
40-44 years,226.76780747455442,198.3243083416945
45-49 years,298.3178529097446,269.48393460374723
5-9 years,78.13334155809952,70.58817911576043
50-54 years,382.51078770044097,354.9036647456721
55-59 years,493.7889310707102,474.8118289930342
60-64 years,665.2506923472313,635.9503977153151
65-69 years,956.7823395100363,893.4010603945336
70-74 years,1586.670689203586,1472.394486911847
75-79 years,2771.481148386923,2679.8433995737214
80-84 years,4319.6569031437875,4521.4965435965005
< 1 year,693.4653334364621,594.4123942200175
