age_cat,excess_yrs_lost,ratio_excess_yrs_lost,male_years_lost,female_years_lost,exc_pll_number,Year,age
1-4 years,11.858139485594876,1.081012461325749,158.23240452506334,146.37426503946847,5663.207528158319,2000-2005,2
10-14 years,20.28080017984321,1.2505864652853207,101.21414251639459,80.93334233655138,13174.418748458249,2000-2005,4
15-19 years,72.0211774959019,1.884193332477722,153.4752835725461,81.4541060766442,46229.43235189986,2000-2005,5
20-24 years,63.29236681927884,1.669940110109177,157.76703084404423,94.47466402476539,39232.21851826873,2000-2005,6
25-29 years,40.31772043330187,1.4240438772819917,135.39684453651432,95.07912410321245,23252.18490385946,2000-2005,7
30-34 years,18.73266594973157,1.1766552542329851,124.77347425213075,106.04080830239918,11498.79560086568,2000-2005,8
35-39 years,30.967051785025916,1.238614488790856,160.74564126610446,129.77858948107854,20027.413063403095,2000-2005,9
40-44 years,33.9482392825399,1.1869575389543985,215.53085677099725,181.58261748845734,23002.396077127913,2000-2005,10
45-49 years,20.533052499616474,1.0803786312468402,275.987172345974,255.45411984635751,12975.921456993306,2000-2005,11
5-9 years,2.7862458181092364,1.0336639455738152,85.55271215521218,82.76646633710294,1697.6818669405027,2000-2005,3
50-54 years,7.819673874694047,1.023840699094074,335.81651003449275,327.9968361597987,4351.330406934015,2000-2005,12
55-59 years,-5.371604013090177,0.9872766074250412,416.81170766607397,422.18331167916415,-2408.4432083161473,2000-2005,13
60-64 years,3.3863987779878926,1.0062233963829197,547.5263779189636,544.1399791409757,1154.8417329850931,2000-2005,14
65-69 years,56.281768753068945,1.0772896037066673,784.475032192119,728.19326343905,15416.630056176642,2000-2005,15
70-74 years,104.94952651326139,1.0899325285128694,1271.930242486828,1166.9807159735667,24471.4410739731,2000-2005,16
75-79 years,84.26403031218115,1.040515758786587,2164.048115216882,2079.7840849047006,15723.475934263892,2000-2005,17
80-84 years,-88.66279806682769,0.9743664159370102,3370.1901601833847,3458.8529582502124,-10710.142387259843,2000-2005,18
< 1 year,162.76710886351907,1.2490236773800034,816.3881242464895,653.6210153829704,19776.662730164564,2000-2005,1
1-4 years,13.099733068501166,1.112027850417057,130.03255843052946,116.9328253620283,7544.403115712427,2006-2012,2
10-14 years,19.025251818406716,1.2559141846913136,93.3675624697494,74.34231065134269,14144.565655850123,2006-2012,4
15-19 years,57.117387091513706,1.6339455579533728,147.21563981200163,90.09825272048792,44966.43407251991,2006-2012,5
20-24 years,66.36758022260629,1.6114685356773162,174.9055937920073,108.538013569401,51267.1465417265,2006-2012,6
25-29 years,40.93794074110289,1.3820959447632408,148.0784150177126,107.1404742766097,30200.538275755018,2006-2012,7
30-34 years,30.89156894065323,1.2604549637238163,149.49775136461471,118.60618242396149,21494.72931038484,2006-2012,8
35-39 years,22.32392267530352,1.1542060763368336,167.0907386504483,144.76681597514477,15855.803606671592,2006-2012,9
40-44 years,22.448939324825147,1.1141903290388602,219.04123846064377,196.59229913581862,16670.668546542165,2006-2012,10
45-49 years,37.4941141353101,1.1455531658336433,295.0914939007435,257.5973797654334,29209.958715568086,2006-2012,11
5-9 years,7.988465447052363,1.1153818786503433,77.22347479597141,69.23500934891905,5734.546283102514,2006-2012,3
50-54 years,25.554722712637897,1.072026529903449,380.35069507023746,354.79597235759957,19133.26324720215,2006-2012,12
