Year,Excess YPLL Rate,Excess YPLL Number
2000,38.19517076773752,51516.70978593715
2001,31.991091008199533,43693.64803886323
2002,27.565512724942778,38018.54121745197
2003,25.38394650864973,35298.27100884753
2004,16.931645830196317,23771.467091105944
2005,28.428323477998788,40284.50446462998
2006,34.974871280189404,50036.11968550529
2007,27.87623015121858,40239.56179064983
2008,28.736007468657363,41873.331624885184
2009,36.14612439404391,53144.811359628016
2010,40.095121826113996,59331.70717753068
2011,38.887264472792936,58079.3287733526
2012,42.78533377646272,64396.760364879796
2013,50.22974375951287,76144.82217102005
2014,36.517108028922735,55801.70550310865
2015,36.68883912250055,56508.10048654254
2016,29.64345110013926,45895.05875034423
2017,25.427069799249125,39695.03775691119
2018,39.48264273588654,61922.397819911865
2019,33.124716060803394,52120.322652579576
2020,22.148102181238983,34979.24372291219
2021,-33.94410828229684,-54442.03776472904
2022,-12.515378710191499,-20164.385069815256
