age_cat,unadj_excess_deaths_number,unadj_excess_deaths_rate,ratio_unadj_excess_deaths_rate,male_death_rate,female_death_rate,Year,age
1-4 years,-6.546519721380301,-0.041120921094427526,0.516737888695647,0.043969385247693366,0.08509030634212089,2000-2005,2
10-14 years,-11.135841001912823,-0.051189393540045446,0.41806367429580527,0.036774514672939414,0.08796390821298486,2000-2005,4
15-19 years,2.1812268928226697,0.006783892617586967,1.2016149956389799,0.040431650791956514,0.033647758174369546,2000-2005,5
20-24 years,3.9554173011042977,0.04082879069627367,2.9345841590270005,0.06193347642718987,0.021104685730916204,2000-2005,6
25-29 years,-4.9137324869638395,-0.05191761161508844,0.2892793442284746,0.021131639442247285,0.07304925105733573,2000-2005,7
45-49 years,-22.889796093010844,-0.03622073287365693,0.5118384382050516,0.03797751563340475,0.07419824850706168,2000-2005,11
5-9 years,2.9662453317439024,0.009833957552590422,1.246493751411484,0.049729319995973915,0.03989536244338349,2000-2005,3
50-54 years,-2.2791693213528674,-0.01254167332096097,0.8599947407412643,0.07703834236818836,0.08958001568914933,2000-2005,12
55-59 years,2.5712997183972313,0.00856592574903381,1.1199932653220586,0.07995264671244044,0.07138672096340663,2000-2005,13
60-64 years,3.0501212821982424,0.017327036932038006,1.1912316285385909,0.10793462660981655,0.09060758967777854,2000-2005,14
65-69 years,1.7742490380724778,0.01306704824902917,1.1341510998641926,0.11047249823980487,0.0974054499907757,2000-2005,15
70-74 years,-0.14975190799800586,-9.643816875428007e-4,0.9907272935924272,0.10303779903018248,0.10400218071772528,2000-2005,16
75-79 years,4.388485951441183,0.03524702028953958,1.2641833813951426,0.1686657845713857,0.13341876428184613,2000-2005,17
80-84 years,5.841817523775404,0.07264204747764191,1.5750849167602847,0.19895738867432577,0.12631534119668386,2000-2005,18
< 1 year,-9.09495295299979,-0.08915514843502048,0.7332463556838671,0.24506764602233155,0.33422279445735203,2000-2005,1
10-14 years,6.360042647185287,0.05960141024973655,3.4091459812425504,0.08434105272627768,0.024739642476541125,2006-2012,4
15-19 years,-5.887937992934567,-0.02632234397994799,0.253551688894037,0.008941107739767093,0.03526345171971508,2006-2012,5
20-24 years,-4.946180312175567,-0.014806849244814055,0.7243881301682991,0.0389167050195784,0.05372355426439245,2006-2012,6
25-29 years,-1.013615868488202,-0.0024270638003886236,0.9493536862529596,0.045494761517657356,0.04792182531804598,2006-2012,7
35-39 years,2.6912535251893406,0.013314405300352508,1.506947080249359,0.03957830111725586,0.026263895816903353,2006-2012,9
40-44 years,-1.5846746680743777,-0.0037819816518199142,0.9425523524513982,0.06205155223867203,0.06583353389049194,2006-2012,10
45-49 years,-4.390402238118643,-0.006588094216779916,0.8601355215261562,0.04051531823409454,0.04710341245087445,2006-2012,11
50-54 years,-12.842751171252747,-0.023896274078088885,0.55473210253074,0.029770909686800913,0.0536671837648898,2006-2012,12
55-59 years,3.314077161458357,0.012025052461275193,1.2612405264983733,0.05805563057431568,0.04603057811304049,2006-2012,13
60-64 years,-1.0870453430666416,-0.002342540930406041,0.9612972696206017,0.05818396217266673,0.06052650310307277,2006-2012,14
65-69 years,-4.852518980421372,-0.022212535577322584,0.7120597231749837,0.05493032134512639,0.07714285692244897,2006-2012,15
70-74 years,-7.6122914661603645,-0.030334243974658587,0.7665821344060064,0.09962257787128309,0.12995682184594168,2006-2012,16
75-79 years,15.578906656276013,0.08133752212478965,2.2542298995078056,0.14618809071409591,0.06485056858930627,2006-2012,17
80-84 years,-2.7118872414042876,-0.023889526794198618,0.8624237644933338,0.14975621010373438,0.173645736897933,2006-2012,18
< 1 year,8.817049730819784,0.21609912834921205,1.9601543591509512,0.4411661983360681,0.22506706998685608,2006-2012,1
1-4 years,0.17530540474933964,0.0021529765456751587,1.0256869230267587,0.08596903125305881,0.08381605470738365,2013-2019,2
10-14 years,0.6888083941911152,0.00648701698132223,1.0828772126622241,0.0847596419036978,0.07827262492237556,2013-2019,4
15-19 years,-0.09142313576408734,-8.463658504674794e-4,0.9562866384134713,0.01851535376453247,0.01936171961499995,2013-2019,5
25-29 years,6.2740845689897,0.013254631170964752,1.2537452894917283,0.06549060054606062,0.05223596937509587,2013-2019,7
30-34 years,12.972031564516259,0.059304828428633244,7.396564826918512,0.06857618423183907,0.00927135580320583,2013-2019,8
40-44 years,18.672621515618367,0.037459262282958844,3.54833588239221,0.052158761882593475,0.014699499599634628,2013-2019,10
45-49 years,-1.6486783927227968,-0.005332353181522115,0.9065834644364867,0.05174911691749141,0.05708147009901352,2013-2019,11
5-9 years,0.9617663756704469,0.009323064249484992,1.926348707201151,0.019387378235147572,0.01006431398566258,2013-2019,3
50-54 years,-6.367049599803568,-0.015175914097519623,0.7831906954709488,0.05482068558940079,0.06999659968692042,2013-2019,12
55-59 years,-1.0805567035171038,-0.0017065240925216787,0.967335594947765,0.05053762637624419,0.05224415046876587,2013-2019,13
60-64 years,-5.881507772027792,-0.010418183309704093,0.789053453632503,0.0389696046825877,0.04938778799229179,2013-2019,14
65-69 years,-5.900578015642793,-0.014863829337943973,0.7885141299820182,0.055419019046584805,0.07028284838452878,2013-2019,15
70-74 years,-1.133697692658739,-0.00492886174477164,0.937481162867422,0.07390916485382702,0.07883802659859866,2013-2019,16
75-79 years,15.887738060530744,0.06999123491821399,1.7185035209885944,0.16740374978232006,0.09741251486410607,2013-2019,17
80-84 years,9.203009922278664,0.0621544249930262,1.4425164356902462,0.20261118542063938,0.14045676042761318,2013-2019,18
