age_cat,male_years_lost,female_years_lost
1-4 years,4.3705183693347704,6.735871470221981
10-14 years,4.268599473446301,4.1812279675511315
15-19 years,1.470918607072373,1.978495046756041
20-24 years,2.665697839388939,2.426878547025929
25-29 years,2.707874670186471,2.8114224421711813
30-34 years,2.822981978834681,1.5044956396265579
35-39 years,1.8386299122288263,1.757841646165574
40-44 years,2.0284298592941608,1.9162067343737006
45-49 years,1.4128847441145571,2.35563861841835
5-9 years,3.6342013419741193,1.8905067264900373
50-54 years,1.424634404823866,2.2200153511514684
55-59 years,1.5107835993103353,1.3470369079563198
60-64 years,1.1836087136098523,1.6105271710174391
65-69 years,1.2754998563409725,1.2885118768911945
70-74 years,1.2551219227064403,1.5420479897715442
75-79 years,1.642498070115589,1.2420930716462901
80-84 years,1.4982250739736418,1.3579444964493796
< 1 year,23.234185217149314,22.143050883811746
