age_cat,excess_yrs_lost,ratio_excess_yrs_lost,male_years_lost,female_years_lost,exc_pll_number,Year,age
1-4 years,-3.511903705948714,0.4845860297760568,3.3018497210738795,6.8137534270225935,-559.1009699852613,2000-2005,2
10-14 years,-3.812524244803165,0.38782605740031395,2.415320456676163,6.227844701479328,-829.3839967620004,2000-2005,4
15-19 years,0.28750603999539814,1.1299159084772008,2.5005224701260715,2.2130164301306734,92.44189754141156,2000-2005,5
20-24 years,2.1660004195537135,2.687318046716734,3.449694636994476,1.2836942174407624,209.83809188558342,2000-2005,6
25-29 years,-2.9857556137793733,0.26750563014676154,1.09039259521996,4.076148208999333,-282.5862727725822,2000-2005,7
45-49 years,-1.4822266843753715,0.45748403936388365,1.2499080211868685,2.73213470556224,-936.6974071816003,2000-2005,11
5-9 years,0.5174205508319605,1.1717806759777094,3.529520415307414,3.0120998644754535,156.0710716154527,2000-2005,3
50-54 years,-0.6851625569833333,0.7653554295825826,2.234839196155355,2.9200017531386884,-124.51300875507455,2000-2005,12
55-59 years,-0.05826499427882825,0.9705443160451289,1.919791070149884,1.9780560644287122,-17.48985080783194,2000-2005,13
60-64 years,0.04702784724149378,1.0221529777621876,2.169895831236164,2.12286798399467,8.278428578981309,2000-2005,14
65-69 years,-0.026728454149090863,0.9857081201610007,1.8434561856738025,1.8701846398228934,-3.6292001957452173,2000-2005,15
70-74 years,-0.2529155037516042,0.8464052910301741,1.3937265286981613,1.6466420324497655,-39.27343264426968,2000-2005,16
75-79 years,0.09479630422063146,1.0574395931512162,1.745161479528706,1.6503651753080746,11.802763635150388,2000-2005,17
80-84 years,0.389270977639278,1.3347007470707766,1.552312832329139,1.163041854689861,31.304872283097954,2000-2005,18
< 1 year,-8.403462235736665,0.6869563145932532,18.440913253958332,26.844375489694997,-857.259451842422,2000-2005,1
10-14 years,3.8351631722380217,3.1727951385451614,5.600245901024838,1.7650827287868163,409.2487280442504,2006-2012,4
15-19 years,-1.7820880237733183,0.23690969923977562,0.553268646332334,2.3353566701056523,-398.6280169395969,2006-2012,5
20-24 years,-1.1077741157684975,0.6667485356122722,2.2163646627475257,3.3241387785160232,-370.0483763398139,2006-2012,6
25-29 years,-0.31054634001119297,0.8852225629707908,2.3950929219298396,2.7056392619410325,-129.69362325204455,2006-2012,7
35-39 years,0.5027290521630527,1.4068635728091008,1.738349750993547,1.2356206988304943,101.61710593360793,2006-2012,9
40-44 years,-0.39800078672800954,0.8568724320917429,2.382740844982822,2.7807416317108316,-166.76489276410254,2006-2012,10
45-49 years,-0.40026760692068875,0.7739829805404318,1.370694632461872,1.7709622393825608,-266.74418116168414,2006-2012,11
50-54 years,-0.8992696040706937,0.4949625254000022,0.8813301519829287,1.7805997560536224,-483.301108918087,2006-2012,12
55-59 years,0.11466560246651736,1.0858218937018453,1.4507536042633333,1.336088001796816,31.60157974885459,2006-2012,13
60-64 years,-0.27654796301535955,0.8217202469703196,1.2746543373901127,1.5512023004054722,-128.33081011664774,2006-2012,14
65-69 years,-0.6412182448608654,0.5957291127276664,0.9448921208576391,1.5861103657185045,-140.07962724239698,2006-2012,15
70-74 years,-0.714786123370587,0.6616116665142355,1.3975388377399802,2.1123249611105672,-179.37352622367476,2006-2012,16
75-79 years,0.7638211839407251,1.9214729528572627,1.592734481474095,0.8289132975333698,146.29778011238574,2006-2012,17
80-84 years,-0.4403307552120228,0.7318550761701653,1.2018064477710086,1.6421372029830315,-49.98539181393003,2006-2012,18
< 1 year,15.426406385210026,1.8508027812855796,33.557995426210134,18.131589041000108,629.412035602635,2006-2012,1
1-4 years,-0.230177451973006,0.9658390738145926,6.507855665856552,6.738033117829558,-18.742123068342863,2013-2019,2
10-14 years,0.06545139721715998,1.0116950742075046,5.661944079167013,5.596492681949853,6.949800184664784,2013-2019,4
15-19 years,-0.14418910989354594,0.887928936814191,1.1423973272716534,1.2865864371651994,-15.575085599471597,2013-2019,5
25-29 years,0.45784268014573115,1.154302072430992,3.4250269371847306,2.9671842570389995,216.72000204877352,2013-2019,7
30-34 years,2.8042610711755223,6.8278429144396355,3.285444437361905,0.4811833661863826,613.3895686791958,2013-2019,8
40-44 years,1.3978496720596536,3.2567642372419785,2.017254060427658,0.6194043883680044,696.7974346354226,2013-2019,10
