Year,ageadjrate_male,ageadjrate_female
2000,0.0552539330949637,0.0297073087978292
2001,0.036363464562529,0.0541711115926331
2002,0.0561284296168406,0.048809135273045
2003,0.0378730948453635,0.0334830153009749
2004,0.0339071121021291,0.0479959765007754
2005,0.0551666688695383,0.0463946180925335
2006,0.0461908954403445,0.0397635632399976
2007,0.0315883509132045,0.051480153129702
2008,0.0453882864218271,0.0529187889775212
2009,0.046109989004603,0.0314230439062016
2010,0.0363464673901227,0.0370331249328845
2011,0.051269668820754,0.0345947903207551
2012,0.0391678766920267,0.0439057322308875
2013,0.0330588906703839,0.0281321441662543
2014,0.0362836781161828,0.0251815060436162
2015,0.0576825724584328,0.0350174989729947
2016,0.0326318597533431,0.0377765101387995
2017,0.0311843213577318,0.0331081723816466
2018,0.0243728990514388,0.0437246923272576
2019,0.0423393776329379,0.0352324475937704
2020,0.0471035868605367,0.0261716452671655
2021,0.0454730480043333,0.029690564393843
2022,0.0419161938770997,0.0259081752877674
