age_cat,unadj_excess_deaths_number,unadj_excess_deaths_rate,ratio_unadj_excess_deaths_rate,male_death_rate,female_death_rate,Year,age
1-4 years,67.15179185996737,0.1406085351143902,1.0948675027890766,1.6227655539094548,1.4821570187950646,2000-2005,2
10-14 years,155.16527552693162,0.23886260243399982,1.2578204101845158,1.1653315435975469,0.926468941163547,2000-2005,4
15-19 years,724.7235540928464,1.1290522307838098,1.6311403117916483,2.9179606710935646,1.7889084403097548,2000-2005,5
20-24 years,1282.2136668191847,2.0685635634707324,1.6218945417302544,5.394792408823693,3.3262288453529605,2000-2005,6
25-29 years,2112.6384990214983,3.663172675271535,1.6523788336734933,9.278273114144607,5.615100438873072,2000-2005,7
30-34 years,4500.303844847961,7.331436397693928,1.7639680822634125,16.927958252341362,9.596521854647435,2000-2005,8
35-39 years,10232.687164953519,15.822121026510722,1.9064850801427478,33.276485552862496,17.454364526351775,2000-2005,9
40-44 years,23911.58306968955,35.29006895422119,2.0883040973430607,67.71673080395314,32.42666184973195,2000-2005,10
45-49 years,44448.61095290542,70.33532572279547,2.318035114763618,123.69909800393818,53.3637722811427,2000-2005,11
5-9 years,-23.150193057160664,-0.03799423781923217,0.9471637958307585,0.6811005271553959,0.7190947649746281,2000-2005,3
50-54 years,66323.700917985,119.1887682247554,2.3946354573051187,204.6510785370618,85.4623103123064,2000-2005,12
55-59 years,79373.32025612603,177.02806698862858,2.2543652134117687,318.15767190419143,141.12960491556285,2000-2005,13
60-64 years,87783.40234533523,257.41155514138313,2.0503347205883258,502.48729156681406,245.07573642543093,2000-2005,14
65-69 years,95933.01529317509,350.2243851503654,1.83787962886602,768.2132860433927,417.98890089302733,2000-2005,15
70-74 years,117710.69467619248,504.8203591472343,1.6881923525352287,1238.3657949364128,733.5454357891786,2000-2005,16
75-79 years,132935.107120903,712.4154953281479,1.528363356305149,2060.7593704789106,1348.3438751507626,2000-2005,17
80-84 years,115915.43748664402,959.5938742076564,1.3690004867968084,3560.1158478712314,2600.521973663575,2000-2005,18
< 1 year,241.74948043341124,1.9896614780908912,1.1381227874128987,16.394681209868217,14.405019731777326,2000-2005,1
1-4 years,20.356716668365607,0.0353464085119366,1.0257470304213374,1.408180787215427,1.3728343787034905,2006-2012,2
10-14 years,126.82830513293209,0.17059134239712592,1.213453966637214,0.9697863401975778,0.7991949978004519,2006-2012,4
15-19 years,878.1238429826622,1.115412873812468,1.7564319739659766,2.589984166673547,1.4745712928610788,2006-2012,5
20-24 years,1815.9138413931123,2.3507804837140425,1.7888122842856653,5.330932454652056,2.9801519709380138,2006-2012,6
25-29 years,3177.067473113132,4.306631847327208,1.839620540413542,9.435891602223204,5.129259754895997,2006-2012,7
30-34 years,5732.88275371178,8.239124124694488,1.9002476763525833,17.391187874612598,9.15206374991811,2006-2012,8
35-39 years,11379.468740158409,16.02153927628371,2.0157037523470347,31.795370217896345,15.773830941612633,2006-2012,9
40-44 years,23022.02769293411,31.00176224908036,2.070444847570221,59.96333118880722,28.961568939726856,2006-2012,10
45-49 years,46111.697665787186,59.18930841666931,2.177751879625556,109.44548668359548,50.25617826692616,2006-2012,11
5-9 years,-3.392065795441056,-0.00472529108028219,0.9929536316934593,0.6658742113465244,0.6705995024268065,2006-2012,3
50-54 years,78007.93947932206,104.18877517246403,2.337812699605394,182.06871696341574,77.8799417909517,2006-2012,12
55-59 years,104509.13686789194,159.01233530826923,2.3641733922389814,275.57547619117895,116.56314088290972,2006-2012,13
60-64 years,114372.44207018043,212.71664257872538,2.127204584527965,401.4282974978756,188.7116549191502,2006-2012,14
65-69 years,111053.7040040171,279.36843959885266,1.9177969614859784,583.7586820186307,304.390242419778,2006-2012,15
70-74 years,107725.91203630314,367.1804378291091,1.6877157073235776,901.0935561699511,533.913118340842,2006-2012,16
75-79 years,112596.2111051206,502.9727588431175,1.5053898846699965,1498.1900635415343,995.2173046984168,2006-2012,17
80-84 years,114881.1964786629,721.6605235619134,1.375963445903353,2641.1570369208935,1919.49651335898,2006-2012,18
< 1 year,356.2356344524776,2.471177516590698,1.200046475179184,14.824194556142318,12.35301703955162,2006-2012,1
1-4 years,81.08894141473809,0.14228374411609046,1.1267190812329644,1.2651118354475879,1.1228280913314974,2013-2019,2
10-14 years,105.96777808724164,0.14315127049550425,1.1969543342785598,0.8699759480019159,0.7268246775064117,2013-2019,4
15-19 years,627.3057872269981,0.8303084695593139,1.5837063043341224,2.252784916008713,1.422476446449399,2013-2019,5
20-24 years,1621.869166161107,2.022463534062414,1.7711689354107714,4.645058196780677,2.622594662718263,2013-2019,6
25-29 years,3070.3539730490675,3.786457109707083,1.741694809908794,8.89159881910195,5.105141709394868,2013-2019,7
30-34 years,6102.550682165234,7.927032318544672,1.8500026132931449,17.252924021198574,9.325891702653902,2013-2019,8
35-39 years,10719.235687792976,14.771687617375559,1.9035273632976335,31.12059769737894,16.34891008000338,2013-2019,9
40-44 years,20383.40867043627,29.184393620058753,2.038137658599751,57.29665154491133,28.112257924852575,2013-2019,10
45-49 years,38191.24030900744,52.82914512245054,2.1308632022273217,99.54491500372309,46.71576988127255,2013-2019,11
5-9 years,0.9645940550802266,0.0013234765441565433,1.002248285436853,0.5899838496723346,0.5886603731281781,2013-2019,3
50-54 years,70125.67515515556,93.84301681144234,2.2141434068066115,171.1345593799304,77.29154256848807,2013-2019,12
55-59 years,111231.04090337413,150.27225517064744,2.2623543652305766,269.31351593675515,119.04126076610771,2013-2019,13
60-64 years,143395.54078872563,220.1728259786551,2.218019345104903,400.9358219552852,180.76299597663007,2013-2019,14
65-69 years,150129.96003909517,278.7418363629493,2.003709977803352,556.4533691036956,277.71153274074635,2013-2019,15
70-74 years,139223.02134254354,353.41991419495827,1.752992473556696,822.7737611538918,469.3538469589335,2013-2019,16
