Year,ageadjrate_male,ageadjrate_female
2000,284.162126369419,168.9663440386
2001,271.224110065901,163.373082195286
2002,264.106322469719,159.034630935555
2003,254.408919006219,152.68021688673701
2004,238.308850116717,143.663761173918
2005,230.424459623548,138.858736022323
2006,219.228680535689,130.899570240432
2007,209.193825646437,124.448794718756
2008,203.297726624938,121.472069278355
2009,195.702978015151,115.416857250294
2010,191.117554898824,112.17029426798
2011,186.222997611769,109.370936036564
2012,182.593910394987,106.87446091633
2013,183.180792070388,105.814602205241
2014,181.471491239349,104.888046675649
2015,182.430331957824,106.508457460343
2016,181.573392854892,105.114348340815
2017,180.95362556371,104.279116546769
2018,180.095114042771,102.586251863461
2019,178.244283276154,101.390491967421
2020,190.052494660066,106.804274034344
2021,191.456599578902,110.491855273342
2022,187.07936517457,108.202566931109
