agegroup,Year,expected_deaths_male,hypothetical_excess,expected_rate_male
1-4 years,2000,113.08154643165273,16.918453568347267,1.4383824909428518
1-4 years,2001,142.34585305607416,11.65414694392584,1.8209726779117084
1-4 years,2002,108.78856839342573,14.211431606574266,1.3748046686780235
1-4 years,2003,124.34779792771556,-5.347797927715574,1.5582661238313495
1-4 years,2004,121.19269068833522,-1.1926906883352364,1.503920240367942
1-4 years,2005,98.138603076663,30.861396923336972,1.2074311478444206
1-4 years,2006,109.68559150168255,6.314408498317455,1.3504663353179616
1-4 years,2007,133.76327720870415,-28.76327720870416,1.6382766967426963
1-4 years,2008,134.8163738418566,-5.816373841856612,1.6347128873921057
1-4 years,2009,107.59563617456813,-0.5956361745681263,1.2966968222115354
1-4 years,2010,101.30706378147644,17.69293621852356,1.219810016476238
1-4 years,2011,101.24385140278474,14.756148597215239,1.2263375328440373
1-4 years,2012,102.27239422314483,16.727605776855167,1.247316043157135
1-4 years,2013,96.0750426089651,26.92495739103489,1.180908205694699
1-4 years,2014,90.87735766228853,9.122642337711454,1.1167215314950132
1-4 years,2015,93.06541795988481,15.934582040115183,1.1429634035960454
1-4 years,2016,93.0601619097811,-0.060161909781103286,1.1409500165181359
1-4 years,2017,89.98249310279512,21.017506897204886,1.0999204859806821
1-4 years,2018,85.84141993775623,-5.841419937756226,1.0515017881941995
1-4 years,2019,90.99580272972189,14.004197270278123,1.1270100126419433
1-4 years,2020,85.65933621654622,7.34066378345379,1.077067319071736
1-4 years,2021,96.2282414398401,-8.228241439840092,1.2332447943999962
1-4 years,2022,60.62900956242397,38.37099043757604,0.7985667654135777
10-14 years,2000,107.22157241172576,23.778427588274248,1.0191973820616265
10-14 years,2001,112.39357349369871,6.606426506301295,1.0457931309765978
10-14 years,2002,99.75005404273398,37.249945957266014,0.9159785418045858
10-14 years,2003,90.32765906724589,39.6723409327541,0.8233703131918764
10-14 years,2004,106.07014157617995,12.929858423820056,0.967089651891771
10-14 years,2005,86.08728920134568,34.91271079865433,0.7923944052316584
10-14 years,2006,101.81363472651967,27.186365273480337,0.9452400052075903
10-14 years,2007,94.43251293352404,4.567487066475964,0.8849486169334722
10-14 years,2008,94.36006760268661,12.639932397313384,0.890342103071146
10-14 years,2009,70.20830209386075,35.79169790613925,0.6641072436060349
10-14 years,2010,75.44072671870153,18.559273281298488,0.7130596478356855
10-14 years,2011,81.61720378160437,8.382796218395606,0.77091690286704
10-14 years,2012,76.36174188804519,19.63825811195482,0.7226288962071288
10-14 years,2013,72.10626483781678,14.893735162183221,0.6833082935504313
10-14 years,2014,80.27873745082526,19.72126254917474,0.7608479878090414
10-14 years,2015,81.23094193175926,13.769058068240735,0.7721287649444039
10-14 years,2016,74.98872508651665,27.011274913483344,0.7129065089453429
10-14 years,2017,81.30979609337386,13.690203906626136,0.7667066861344635
10-14 years,2018,71.95797699313168,20.042023006868316,0.6751013899554894
10-14 years,2019,76.14268369363597,-3.142683693635973,0.7170918448287904
10-14 years,2020,81.34368467599886,5.6563153240011514,0.7677577192871073
10-14 years,2021,86.14456056042887,28.855439439571118,0.7839717173598395
10-14 years,2022,102.94297557927544,14.057024420724547,0.9619173014175717
15-19 years,2000,213.55246240520034,87.44753759479966,2.0551667808539036
15-19 years,2001,180.95412536834323,102.04587463165679,1.7156299031062692
15-19 years,2002,178.8828023260951,158.11719767390488,1.683049854641596
15-19 years,2003,217.6828642490552,110.3171357509448,2.0324060703706226
15-19 years,2004,169.6374650937493,131.36253490625072,1.5620739382314959
15-19 years,2005,187.45968174344492,135.5403182565551,1.6962489610475113
15-19 years,2006,192.52989532326794,103.47010467673206,1.7174197221875436
15-19 years,2007,176.4175116849493,121.58248831505074,1.5561916579554103
15-19 years,2008,182.61588235533657,127.38411764466349,1.6010886662542707
15-19 years,2009,151.77894763244186,132.22105236755817,1.332769251088266
15-19 years,2010,161.07971749545973,155.9202825045403,1.4250219132046162
15-19 years,2011,151.06837286155178,127.93162713844822,1.358657312136886
15-19 years,2012,145.49893751981782,109.5010624801822,1.327198598247463
15-19 years,2013,156.70684822531746,93.29315177468253,1.4448100966820372
15-19 years,2014,158.34762852084052,77.65237147915947,1.4683539577098501
15-19 years,2015,154.98775447976323,90.01224552023677,1.4353552834070211
15-19 years,2016,150.604452122272,87.395547877728,1.3942473547787295
15-19 years,2017,145.31446044489255,129.68553955510748,1.3454430955490129
15-19 years,2018,141.9630937368398,96.0369062631602,1.317534161190423
15-19 years,2019,166.77692217927253,53.22307782072743,1.5520474755802305
15-19 years,2020,179.17506310920004,65.82493689079998,1.6753792883378407
15-19 years,2021,169.39618903610332,107.60381096389668,1.5367554917665005
15-19 years,2022,150.1582185629012,86.84178143709877,1.3549687414396534
20-24 years,2000,360.30923374011326,137.6907662598867,3.719200572390358
20-24 years,2001,337.5060183218886,203.4939816781114,3.348162385875715
20-24 years,2002,295.77886387437985,233.2211361256201,2.8639873258476367
20-24 years,2003,394.17851421125783,190.8214857887422,3.7548088054328415
20-24 years,2004,336.67007973296285,248.32992026703715,3.1597619816064566
20-24 years,2005,337.1505659991983,268.8494340008018,3.140038067825996
20-24 years,2006,357.4938185042286,247.50618149577144,3.310940049130834
20-24 years,2007,364.11410958131825,233.88589041868173,3.3689825565572815
20-24 years,2008,316.64732272128253,284.3526772787174,2.9208189202525525
20-24 years,2009,348.8582778020143,238.14172219798573,3.1932958379213057
20-24 years,2010,295.88331019162916,284.11668980837084,2.686386255237152
20-24 years,2011,312.0059141425453,272.9940858574546,2.7580145689582976
20-24 years,2012,307.7413379153972,254.25866208460275,2.6645526673758244
20-24 years,2013,288.91496205676026,253.08503794323968,2.473806215334666
20-24 years,2014,321.52027267779357,233.47972732220643,2.7388072064998874
20-24 years,2015,312.9987328679987,268.0012671320013,2.6825732724115223
20-24 years,2016,298.62097740827954,252.3790225917204,2.5987232463507914
20-24 years,2017,276.10168872387953,224.89831127612047,2.4327979042281744
20-24 years,2018,282.346992868837,250.65300713116304,2.5206071346112906
20-24 years,2019,322.47189546590204,139.52810453409796,2.9144068973791915
20-24 years,2020,324.8669446025335,153.13305539746648,2.944543453271563
20-24 years,2021,312.012756617794,211.98724338220597,2.843397332836434
20-24 years,2022,287.3385044801366,195.6614955198634,2.4766316296839523
25-29 years,2000,547.0696606006569,270.93033939934304,5.583049902239232
25-29 years,2001,550.324809770665,307.67519022933493,5.783010482620173
25-29 years,2002,515.6021439385437,365.3978560614564,5.4602941465863
25-29 years,2003,561.3339565132183,291.6660434867817,5.930953387863722
25-29 years,2004,537.30939869692,407.6906013030801,5.580710364296958
25-29 years,2005,526.88034010450815,469.11965989549174,5.3641970630969595
25-29 years,2006,504.05250547660165,520.9474945233984,4.992799384727347
25-29 years,2007,574.6907209994389,427.3092790005611,5.572251127867619
25-29 years,2008,590.4956490247973,423.5043509752025,5.618879125979504
25-29 years,2009,536.3023823452108,440.69761765478916,5.054041460910332
25-29 years,2010,504.0247561258284,477.9752438741716,4.739038536982368
25-29 years,2011,536.1175397610199,422.88246023898006,4.981803582125936
25-29 years,2012,537.4432770736366,464.5567229263635,4.955730074743401
25-29 years,2013,539.7217086417085,435.2782913582916,4.9245225119885765
25-29 years,2014,525.7731147755393,504.2268852244607,4.710642329333198
25-29 years,2015,623.5233758484205,429.4766241515796,5.464997550251512
25-29 years,2016,588.835487827515,444.164512172485,5.062432223358063
25-29 years,2017,622.7062066247364,416.29379337526376,5.231844844409294
25-29 years,2018,636.1918206470842,422.80817935291583,5.293288923996514
25-29 years,2019,603.1269528319748,417.8730471680252,5.024144578539463
25-29 years,2020,650.4272870735657,486.5727129264343,5.477224301229021
25-29 years,2021,631.2848387952914,541.7151612047086,5.547777670131318
25-29 years,2022,596.9382870888236,453.06171291117636,5.25809788585721
30-34 years,2000,967.4804205555238,649.5195794444762,9.373203571553711
30-34 years,2001,1028.305621725791,721.6943782742087,9.898742489475278
30-34 years,2002,994.2865804956149,761.7134195043851,9.57138780157296
30-34 years,2003,1015.3546731950678,800.6453268049322,9.878536187324514
30-34 years,2004,947.2280940072073,781.7719059927927,9.361482181563956
30-34 years,2005,938.087450282934,784.912549717066,9.48637916599984
30-34 years,2006,899.7044606497891,894.2955393502109,9.300953254074784
30-34 years,2007,870.7195758616657,761.2804241383343,9.059208518082954
30-34 years,2008,896.9156990234346,809.0843009765656,9.26668619042479
30-34 years,2009,893.9953272053154,804.0046727946848,9.081114658867927
30-34 years,2010,927.8682094272507,821.1317905727491,9.281930770042022
30-34 years,2011,975.1773513950255,780.8226486049745,9.483718118086173
30-34 years,2012,903.6145973217662,862.3854026782338,8.610850881661854
30-34 years,2013,923.545396449344,867.454603550656,8.646123791515214
30-34 years,2014,958.9030719119053,888.0969280880947,8.8714829957179
30-34 years,2015,1042.944121538574,822.05587846142555,9.577310544711624
30-34 years,2016,1029.0894986594221,863.9105013405781,9.382428237134173
30-34 years,2017,1085.1637063989508,988.8362936010491,9.785831787891683
30-34 years,2018,1071.721789555641,812.2782104443592,9.57589476822634
30-34 years,2019,1069.168938027092,858.8310619729078,9.416166103697899
30-34 years,2020,1226.823436993917,985.176563006083,10.604171565734772
30-34 years,2021,1305.5073090332405,1002.4926909667594,11.182742106366604
30-34 years,2022,1163.9408207393117,1044.0591792606883,9.83322227371297
35-39 years,2000,1995.7855139740468,1612.214486025953,17.63264526208714
35-39 years,2001,1936.7772914084358,1786.2227085915647,17.457238740529785
35-39 years,2002,1989.7878157052367,1679.2121842947636,18.3428248280406
35-39 years,2003,1849.2267401594038,1792.773259840596,17.43885916277904
35-39 years,2004,1770.564787455086,1678.4352125449143,16.989817589053047
35-39 years,2005,1745.8673818291486,1684.1326181708514,16.808143209222003
35-39 years,2006,1654.0396691989895,1759.9603308010098,15.825427610680753
35-39 years,2007,1679.2920154255437,1722.7079845744563,16.052802485118548
35-39 years,2008,1618.929481464932,1644.070518535068,15.597143040268318
35-39 years,2009,1568.2496721536538,1722.7503278463464,15.351477419385553
35-39 years,2010,1551.2325824009974,1566.7674175990028,15.447412706335413
35-39 years,2011,1561.5321189936171,1475.467881006383,15.997155699614705
35-39 years,2012,1570.4664122257686,1487.5335877742311,16.166021355928113
35-39 years,2013,1489.9399770901891,1428.0600229098109,15.226356854269302
35-39 years,2014,1566.384830252297,1478.6151697477028,15.75865869670583
35-39 years,2015,1660.472857942346,1447.5271420576544,16.321671621494847
35-39 years,2016,1769.4154493264366,1567.5845506735634,17.052236685045187
35-39 years,2017,1777.995477962911,1595.004522037089,16.748285514372064
35-39 years,2018,1815.8260082683298,1645.17399173167,16.828489658368664
35-39 years,2019,1784.3047495618553,1556.6952504381447,16.39241544406952
35-39 years,2020,1976.4699753441373,2041.5300246558631,18.07043724214276
35-39 years,2021,2078.1292338306835,2010.8707661693165,18.449574259762937
35-39 years,2022,2038.72560575302,1935.27439424698,18.038148038479072
40-44 years,2000,3575.9869557926663,4116.013044207334,32.13185534459713
40-44 years,2001,3637.2085356831053,3968.791464316895,32.145257261615356
40-44 years,2002,3697.5358162428615,4143.464183757138,32.5675890162707
40-44 years,2003,3874.607185733084,3952.392814266916,34.157235176201624
40-44 years,2004,3643.134287009616,3875.865712990384,32.060779003415725
40-44 years,2005,3542.85695332426,3855.1430466757406,31.483212925613792
40-44 years,2006,3464.591249922252,3640.408750077748,31.312946786765774
40-44 years,2007,3159.5884712318566,3733.411528768144,29.16585562010491
40-44 years,2008,3189.691985925909,3228.308014074091,30.04297111598855
40-44 years,2009,3032.442236323233,3228.5577636767675,29.072630483454052
40-44 years,2010,2926.9919084400126,3073.008091559988,28.16046166390413
