age_cat,male_years_lost,female_years_lost
1-4 years,104.76844511529,102.62946664256462
10-14 years,65.75131142191015,58.01260455492533
15-19 years,155.57324559918206,102.41380228826745
20-24 years,284.0033058071012,179.93314671141846
25-29 years,481.08444001738104,298.46783789951843
30-34 years,825.6162830903207,490.3735215163011
35-39 years,1387.119155088771,781.8155146713591
40-44 years,2350.1392866924725,1264.3275693649568
45-49 years,3698.0068050518857,1880.0809480429937
5-9 years,44.95391849305615,48.73069902460929
50-54 years,5395.539605053759,2633.881367099914
55-59 years,7195.702951712004,3567.8288254153445
60-64 years,9148.943756766179,4904.276540022942
65-69 years,10903.913538447703,6531.496104883212
70-74 years,13343.403906446008,9062.548068009695
75-79 years,16894.34907554511,12914.257637501998
80-84 years,21977.55856088133,18718.755341728363
< 1 year,1047.7381223191098,967.8293557339497
