age_cat,excess_yrs_lost,ratio_excess_yrs_lost,male_years_lost,female_years_lost,exc_pll_number,Year,age
1-4 years,2.9910337035476573,1.0252747046162882,121.33202913579905,118.34099543225139,1428.4571882025386,2000-2005,2
10-14 years,10.986592793561755,1.1671640977184754,76.70999239617568,65.72339960261392,7136.896611457825,2000-2005,4
15-19 years,59.69995751886279,1.5057434821166222,177.74390594308832,118.04394842422553,38320.60573692515,2000-2005,5
20-24 years,99.37782779952269,1.4888843531772769,302.6525432893162,203.27471548979352,61600.04518766358,2000-2005,6
25-29 years,162.47202199968456,1.514822015847225,478.06074392392065,315.5887219242361,93701.46567413949,2000-2005,7
30-34 years,300.63982486937323,1.6107876754201493,792.856411693213,492.21658682383975,184543.72190961504,2000-2005,8
35-39 years,591.4391272707021,1.7296771860505218,1401.9881461758262,810.5490189051241,382503.1774395979,2000-2005,9
40-44 years,1187.6190745879169,1.8786893069845105,2539.199280637758,1351.580206049841,804698.1204257472,2000-2005,10
45-49 years,2111.666601143545,2.0703710583960695,4084.5026420468153,1972.8360409032703,1334473.7690758086,2000-2005,11
5-9 years,-6.412246649144166,0.8825986596799315,48.20592578110755,54.61817243025172,-3907.0331812967333,2000-2005,3
50-54 years,3086.8843977668002,2.113415531548788,5859.330362727312,2772.4459649605114,1717725.5928999232,2000-2005,12
55-59 years,3845.0307485601325,1.9702306141795642,7808.037782523419,3963.0070339632866,1723980.0569009178,2000-2005,13
60-64 years,4485.6582632589425,1.7716013568187283,10299.09835589055,5813.4400926316075,1529715.1050233992,2000-2005,14
65-69 years,4671.4961652044985,1.5704834609451803,12860.158037127545,8188.661871923046,1279610.2500577248,2000-2005,15
70-74 years,4914.696432953951,1.4247984483667786,16484.174739311875,11569.478306357923,1145976.6246806378,2000-2005,16
75-79 years,4660.036267003263,1.280141847699386,21294.59588482889,16634.559617825627,869552.1425401202,2000-2005,17
80-84 years,3468.576110837541,1.1428860958406022,27743.68902810095,24275.11291726341,418991.3338863704,2000-2005,18
< 1 year,75.52856055137477,1.065178962534507,1234.3159608784117,1158.787400327037,9176.933097532788,2000-2005,1
1-4 years,-3.8175597647370267,0.9653751221283577,106.43726276168724,110.25482252642426,-2198.6104322044616,2006-2012,2
10-14 years,7.6655695194414974,1.1344812055016604,64.66661654936901,57.00104702992751,5699.0652419287635,2006-2012,4
15-19 years,61.97571795029931,1.6329837132913283,159.88616437876092,97.91044642846161,48791.22062856547,2006-2012,5
20-24 years,120.27858390150408,1.6544843250289305,304.05469480559236,183.77611090408828,92911.92726971474,2006-2012,6
25-29 years,203.24767972870023,1.699130744502879,493.96251572582224,290.714835997122,149938.88847325646,2006-2012,7
30-34 years,354.81215451525475,1.7476027501252716,829.4120064497225,474.5998519344678,246882.6116275132,2006-2012,8
35-39 years,624.338679807635,1.8412242104705634,1366.5173665793732,742.1786867717382,443443.1902969259,2006-2012,9
40-44 years,1074.5798058662463,1.8790218796268778,2297.051999985439,1222.4721941191929,797987.0902227291,2006-2012,10
45-49 years,1810.9561412011305,1.95995469987792,3697.457807822935,1886.5016666218046,1410833.5492149375,2006-2012,11
5-9 years,-3.3886617959514,0.9338461473636092,47.83529056517405,51.22395236112545,-2432.5620528076392,2006-2012,3
50-54 years,2795.9856166836157,2.0867133826030453,5368.867906939659,2572.8822902560437,2093402.829722048,2006-2012,12
55-59 years,3644.781539850266,2.093302006025831,6978.518713807443,3333.737173957177,2395493.2305303263,2006-2012,13
60-64 years,3989.963180805955,1.8677392620262363,8588.076180198297,4598.112999392342,2145303.85223616,2006-2012,14
65-69 years,4109.694170686044,1.6673635306651866,10267.79838502595,6158.104214339905,1633673.2976486045,2006-2012,15
70-74 years,3975.9359850932506,1.4573804508328068,12668.77796785354,8692.84198276029,1166487.3344681559,2006-2012,16
75-79 years,3623.3617759755452,1.2878414712743531,16211.408105553866,12588.046329578321,811131.0210444608,2006-2012,17
80-84 years,3081.609468045841,1.1692246436130618,21291.779111493594,18210.169643447753,490561.6577469749,2006-2012,18
< 1 year,128.82130874664858,1.1290272856040144,1127.2249265829712,998.4036178363226,18570.394212582887,2006-2012,1
