Year,Excess YPLL Rate,Excess YPLL Number
2000,2175.272519857398,2933954.237101472
2001,2016.277025442866,2753844.7712197886
2002,1998.781964078822,2756733.576635769
2003,1981.985007386873,2756097.9890331477
2004,1884.998781932085,2646475.5382231968
2005,1820.1640662276168,2579273.009505911
2006,1809.4815316613794,2588699.5769503773
2007,1770.644185989288,2555939.083041909
2008,1719.4704569078667,2505565.769351466
2009,1718.2105455012816,2526245.2572048283
2010,1721.8307338601012,2547919.853036185
2011,1701.699703434896,2541540.9874988715
2012,1694.1839565563814,2549938.229637087
2013,1740.7237401661446,2638816.958303142
2014,1728.3547765175622,2641094.803228571
2015,1715.5896615139986,2642348.880617818
2016,1744.140513986756,2700341.16769561
2017,1745.5302898135878,2725004.937927556
2018,1794.6731555603383,2814666.3291693795
2019,1764.3908488362513,2776193.467071603
2020,1900.7896726700587,3001981.1486439994
2021,1682.8026981457128,2699001.761398978
2022,1727.7552053983131,2783704.918146761
