Year,Hypothetical_Excess_Deaths
2000,25808.054981611243
2001,24311.643978314038
2002,24415.293685219152
2003,23416.571869089417
2004,22763.454443459857
2005,22846.07658914535
2006,21364.695164484154
2007,21695.453023065318
2008,21430.9691997746
2009,19583.402046306044
2010,20561.680462813092
2011,20079.96494167804
2012,19298.17038357039
2013,20147.356386410695
2014,20219.763555680525
2015,19851.18045478967
2016,20200.88453342259
2017,19634.664418529184
2018,22003.07977260135
2019,20776.987140594072
2020,24493.99382692944
2021,22028.926769749367
2022,20315.506171915822
