Age,Excess YPLL Rate,Excess YPLL Number
1-4 years,15.008788175322394,27869.68623515657
10-14 years,4.6932457499177005,11527.381535695604
15-19 years,12.504298345026626,31418.995635830837
20-24 years,23.186842445454445,58670.54877161474
25-29 years,18.552943508259304,45851.48261874971
30-34 years,14.034775885745091,34108.61801273837
35-39 years,5.734051228609474,13863.167948102904
40-44 years,-5.0828583824838915,-12370.717354331679
45-49 years,-7.8268665895648155,-19018.219636875674
5-9 years,8.08749945444466,19131.33079521518
50-54 years,14.213908523058194,33568.54314784794
55-59 years,78.63816935659338,169934.00214974122
60-64 years,208.4448353041796,382719.8048556531
65-69 years,369.6073085451053,543381.4963390712
70-74 years,582.531447774767,658260.2447197628
75-79 years,899.2867012098386,732919.776601528
80-84 years,1326.471944281283,711871.7026842481
< 1 year,268.5357500521145,124056.48894349804
