Year,Excess YPLL Rate,Excess YPLL Number
2000,338.91172705278245,457115.82733324566
2001,291.9594976391413,398760.25260214834
2002,292.78452094880754,403810.38758811186
2003,274.0925946314069,381146.19740160485
2004,270.7807126222672,380167.1062317399
2005,256.49556906400744,363468.387613978
2006,240.28399526803605,343757.62670934777
2007,250.67895283645362,361857.0788646226
2008,226.63928248184948,330252.62277438864
2009,187.5456882397009,275744.09123797703
2010,217.62157229652507,322030.68141326215
2011,201.6326531976315,301144.5859016873
2012,185.1736942624616,278707.3270855086
2013,183.03402571492097,277466.9408236641
2014,178.9533043348581,273458.1166556993
2015,165.1343662270649,254339.72793153097
2016,164.8233096661911,255185.38496081127
2017,137.69756334597332,214964.2101589894
2018,170.36232475805446,267186.86785382923
2019,144.40009589101214,227207.36911640252
2020,199.7606964434226,315488.79583335354
2021,134.0276605853196,214963.34204512855
2022,114.61806312492172,184669.02315351114
