Gender,Year,yrs_lost
Female,2000,1422.5206860916849
Female,2001,1424.1766967794847
Female,2002,1422.692361767581
Female,2003,1439.9136352757507
Female,2004,1404.0333939854347
Female,2005,1396.9223118675695
Female,2006,1335.6742975702864
Female,2007,1314.6636471612096
Female,2008,1427.102431622734
Female,2009,1439.0997971762379
Female,2010,1365.5023767451842
Female,2011,1399.612342021412
Female,2012,1363.6196616182351
Female,2013,1415.9251387962872
Female,2014,1401.3438811384276
Female,2015,1409.8324404808088
Female,2016,1399.1061434035573
Female,2017,1414.9625139224547
Female,2018,1396.2768581032044
Female,2019,1339.1555482416773
Female,2020,1265.2789870090448
Female,2021,1185.480612943029
Female,2022,1249.8230183912717
Male,2000,1761.4324131444673
Male,2001,1716.136194418626
Male,2002,1715.4768827163884
Male,2003,1714.0062299071576
Male,2004,1674.814106607702
Male,2005,1653.417880931577
Male,2006,1575.9582928383224
Male,2007,1565.3425999976632
Male,2008,1653.7417141045835
Male,2009,1626.6454854159388
Male,2010,1583.1239490417092
Male,2011,1601.2449952190434
Male,2012,1548.7933558806967
Male,2013,1598.9591645112082
Male,2014,1580.2971854732857
Male,2015,1574.9668067078737
Male,2016,1563.9294530697484
Male,2017,1552.660077268428
Male,2018,1566.6391828612589
Male,2019,1483.5556441326894
Male,2020,1465.0396834524674
Male,2021,1319.5082735283486
Male,2022,1364.4410815161934
