Year,ageadjrate_male,ageadjrate_female
2000,29.473240778354,18.9214965671357
2001,29.2769281339761,19.1259578059065
2002,29.1779450848501,18.9574477290011
2003,29.1874315522157,18.9104999747817
2004,27.9975678667135,18.4114191108736
2005,27.8860029815832,18.1576947498643
2006,27.3543202919127,18.0514141180175
2007,27.6326595336616,17.9365575601238
2008,27.731728902596,18.0558548599893
2009,26.744826262121,17.4638564920411
2010,27.0723705577368,17.4638612903749
2011,27.0778721755666,17.7908451085827
2012,27.1918255036433,17.6988237830018
2013,27.4818351988174,17.8212355485804
2014,27.5560755266272,18.1759202713006
2015,27.9935347694429,18.7335360730298
2016,27.8473626138791,18.6005908350042
2017,27.7952344292426,18.6569937042582
2018,28.055444874043,18.6535132895776
2019,28.4999933648062,19.2154946039757
2020,31.9153557908763,21.2854409630369
2021,34.186070249472,23.2660336927116
2022,32.919890426352,22.7056560496867
