Year,excess_deaths_male
2000,13600.167687204448
2001,13490.09715879646
2002,13889.307854482153
2003,14299.061598612025
2004,13657.580089677756
2005,14260.38176172606
2006,13972.690931989131
2007,14932.011534545583
2008,15190.604720804222
2009,15095.539721533514
2010,15804.235216621946
2011,15708.534513327279
2012,16428.00649160972
2013,16952.803893591514
2014,16834.82375830064
2015,16945.00142786359
2016,17175.22022303719
2017,17070.088600687388
2018,17714.53333659783
2019,17579.52130887042
2020,20105.83568761705
2021,20848.01975679518
2022,19719.739134921918
