age_cat,unadj_excess_deaths_number,unadj_excess_deaths_rate,ratio_unadj_excess_deaths_rate,male_death_rate,female_death_rate,Year,age
1-4 years,0.5053895248328146,0.0010582305963940108,1.0190751823019442,0.0565350580071681,0.05547682741077409,2000-2005,2
10-14 years,-1.6157775009006379,-0.003746697509372933,0.9252500863855896,0.046376404019544966,0.0501231015289179,2000-2005,4
15-19 years,-2.9392713200562035,-0.006927890709180123,0.8448054695249235,0.037712153549935755,0.04464004425911588,2000-2005,5
20-24 years,-33.372892147728614,-0.053839660651632225,0.40799751660296396,0.03710533056308162,0.09094499121471385,2000-2005,6
25-29 years,-66.76185663331326,-0.11576055680269991,0.31709708742823184,0.05375190927648717,0.16951246607918707,2000-2005,7
30-34 years,-61.12731470648551,-0.09958239163017216,0.4781122160986348,0.09122949303542646,0.19081188466559862,2000-2005,8
35-39 years,-30.29882286183073,-0.046849047034545344,0.8097988276529157,0.1994640879289653,0.24631313496351065,2000-2005,9
40-44 years,-23.92662284370536,-0.03531226550476013,0.899857861970631,0.31730918036854444,0.3526214458733046,2000-2005,10
45-49 years,8.483359826144294,0.013424038767549717,1.0263036345088157,0.5237732364440405,0.5103491976764908,2000-2005,11
5-9 years,-6.398501839741215,-0.015815750623666427,0.7143334904485228,0.03954863440172074,0.05536438502538717,2000-2005,3
50-54 years,14.733021800323627,0.02647636812035714,1.0389487389844176,0.7062510876805873,0.6797747195602302,2000-2005,12
55-59 years,-11.560684114830451,-0.02578404878756002,0.9767652781179905,1.083936520216732,1.109720569004292,2000-2005,13
60-64 years,-5.251706964940695,-0.015399836653335441,0.9900958226141311,1.5394831236728375,1.554882960326173,2000-2005,14
65-69 years,-59.4852729903173,-0.21716395648430753,0.9098004528280185,2.190430796405591,2.4075947528898984,2000-2005,15
70-74 years,14.424512544104118,0.06186173332057621,1.0154013346893016,4.078509288129441,4.0166475548088645,2000-2005,16
75-79 years,-47.9202559762557,-0.2568105118125539,0.9622948365557006,6.554206557293412,6.811017069105966,2000-2005,17
80-84 years,-116.13906830861879,-0.9614451786715303,0.9248844617608248,11.838106035488655,12.799551214160186,2000-2005,18
< 1 year,-0.5869789928702609,-0.005810194185918188,0.9714878519537257,0.19796940798535345,0.20377960217127164,2000-2005,1
1-4 years,-0.8737740572142201,-0.0026613732576380583,0.9618001797592016,0.06700841159636606,0.06966978485400412,2006-2012,2
10-14 years,-5.823845532579362,-0.00913571739932132,0.8537598402491052,0.053334929616403265,0.062470647015724586,2006-2012,4
15-19 years,-13.109154856303057,-0.016651546599458826,0.6040625345709348,0.025404454798171133,0.04205600139762996,2006-2012,5
20-24 years,-16.41510195129721,-0.021250072787419284,0.692687997370778,0.04789813035991406,0.06914820314733335,2006-2012,6
25-29 years,-3.917342749953093,-0.005310102220559151,0.9346208865386283,0.07591006029658089,0.08122016251714004,2006-2012,7
30-34 years,-40.65175036325775,-0.058423454921020274,0.6658350558716193,0.11641072786080656,0.17483418278182683,2006-2012,8
35-39 years,9.924360065977226,0.0139728425131051,1.0665726477536472,0.22386148273681616,0.20988864022371106,2006-2012,9
40-44 years,14.86968311502622,0.020023708893056935,1.064334628686666,0.3312668030372695,0.3112430941442126,2006-2012,10
45-49 years,29.151444649405164,0.03741900505704693,1.0794645207790048,0.5083084622666519,0.470889457209605,2006-2012,11
5-9 years,-3.4456159076466264,-0.005612146056838366,0.8999693918411913,0.05049214202195163,0.05610428807879,2006-2012,3
50-54 years,114.95503086264603,0.15353595987068336,1.213256847655236,0.8734938958470186,0.7199579359763353,2006-2012,12
55-59 years,47.6839002739797,0.07255182241871183,1.06246940198313,1.2339495646014287,1.1613977421827169,2006-2012,13
60-64 years,93.61271533042918,0.17410647309207605,1.1068166060461782,1.8040634576531442,1.6299569845610682,2006-2012,14
65-69 years,23.65246961081391,0.05950052352682755,1.0236442525145355,2.575990460785325,2.5164899372584975,2006-2012,15
70-74 years,95.25761709550966,0.32468264032798233,1.0863824757008185,4.083345930466891,3.7586632901389083,2006-2012,16
75-79 years,30.41796686368025,0.135878539443393,1.0221288843666005,6.27620342850455,6.140324889061157,2006-2012,17
80-84 years,-28.91260856579538,-0.18162318007375333,0.9828198990139868,10.390094659164692,10.571717839238445,2006-2012,18
< 1 year,-13.230099075575481,-0.09177611731088892,0.751454547232919,0.2774767347897486,0.3692528521006375,2006-2012,1
1-4 years,-15.576909088704497,-0.03191323117072928,0.5854659293042581,0.04507255462286554,0.07698578579359482,2013-2019,2
10-14 years,7.122076015143346,0.013476665881091296,1.3411295117421247,0.05298267581927254,0.03950600993818124,2013-2019,4
15-19 years,-4.176848740142944,-0.007738035109540596,0.8197835785626659,0.03519942335193104,0.042937458461471636,2013-2019,5
20-24 years,18.659299160094392,0.02326806188181993,1.6824733304882908,0.057361792497157345,0.034093730615337416,2013-2019,6
25-29 years,2.1960985730298432,0.0027082978472376673,1.02717812548958,0.10235821109368404,0.09964991324644637,2013-2019,7
30-34 years,-18.997024328243953,-0.024676571101043043,0.8549812530043246,0.14548467778755006,0.1701612488885931,2013-2019,8
35-39 years,-3.806306053799318,-0.0052452959931535426,0.9797328101820556,0.25356197034573463,0.2588072663388882,2013-2019,9
40-44 years,15.240919945528333,0.02182152229853629,1.063567644412323,0.36510185776281645,0.34328033546428016,2013-2019,10
45-49 years,40.79203170384079,0.05642676554323767,1.1037416201929986,0.6003431362174426,0.543916370674205,2013-2019,11
