Year,Hypothetical_Excess_Deaths
2000,-90.15925303476037
2001,-30.520361430525153
2002,-34.683896869299474
2003,-115.87407791487249
2004,-145.69878077578966
2005,-0.6726982179894883
2006,-16.937713945643818
2007,54.4694652323114
2008,36.42322730573576
2009,25.11877905969331
2010,155.20358910150432
2011,38.190185869547946
2012,74.09787077226477
2013,110.49649815606196
2014,99.50219124880795
2015,134.6991485984825
2016,105.92515837899855
2017,91.14092622668218
2018,106.36078014668787
2019,221.06139061071974
2020,154.33976378806656
2021,206.82107060854466
2022,122.87246846777232
