agegroup,Year,expected_deaths_male,hypothetical_excess,expected_rate_male
1-4 years,2000,2.0941027116972726,0.9058972883027271,0.026636712795237993
1-4 years,2003,9.40445530545748,-3.40445530545748,0.11785205978556425
1-4 years,2004,5.223822874497207,-4.223822874497207,0.06482414829172163
1-4 years,2005,1.0440276923049256,7.955972307695075,0.012845012211110857
1-4 years,2007,3.135076809579004,0.8649231904209964,0.03839711007990695
1-4 years,2008,5.22544084658359,1.7745591534164105,0.063360964627601
1-4 years,2009,6.267706961625327,-1.2677069616253274,0.07553573721620593
1-4 years,2015,4.182715413927407,-3.182715413927406,0.05136914173465372
1-4 years,2016,8.36495837391291,-5.364958373912908,0.10255730485556278
1-4 years,2022,1.0453277510762753,3.9546722489237243,0.01376839250713065
10-14 years,2000,5.255959431947342,-1.2559594319473422,0.049960655983413066
10-14 years,2001,1.050407228913072,5.949592771086929,0.009773767579220539
10-14 years,2002,2.100001137741768,3.8999988622582333,0.019283758774833386
10-14 years,2004,9.451794793917026,-6.451794793917026,0.08617630561411821
10-14 years,2006,6.297750601640391,-1.2977506016403901,0.058468453930366406
10-14 years,2007,8.39400114964658,-0.39400114964658106,0.0786620992829753
10-14 years,2009,7.335195741149631,1.664804258850369,0.06938433888421261
10-14 years,2010,3.143363613279231,1.8566363867207696,0.02971081865982024
10-14 years,2012,6.276307552442071,-0.2763075524420701,0.059394155852640726
10-14 years,2013,7.315128316879963,-3.3151283168799632,0.0693211312297539
10-14 years,2014,5.212905029274367,-0.21290502927436758,0.049405713494093596
10-14 years,2015,2.082844664916904,-0.08284466491690397,0.019798173460112915
10-14 years,2019,2.0861009231133143,6.913899076886686,0.019646351913117546
15-19 years,2000,4.228761631786146,-1.2287616317861454,0.0406963718980971
15-19 years,2001,8.515488252627916,-2.515488252627916,0.08073552485205972
15-19 years,2002,3.194335755823127,2.8056642441768735,0.030054461690028497
15-19 years,2004,2.1204683136718665,-1.1204683136718667,0.0195259242278937
15-19 years,2006,3.17356970313079,1.8264302968692097,0.028309116299794674
15-19 years,2007,5.281961427693092,-3.2819614276930924,0.04659256460944342
15-19 years,2008,3.1667494050058362,3.8332505949941633,0.027764543345449783
15-19 years,2009,9.486184227027616,-6.486184227027615,0.08329807819301663
15-19 years,2010,3.158425833244308,-2.158425833244308,0.027941606141266985
15-19 years,2011,4.225688751372078,-3.2256887513720787,0.038004400339493316
15-19 years,2013,6.310342881556407,-5.310342881556407,0.05818027234961223
15-19 years,2014,6.29195874917247,1.7080412508275302,0.05834519037257682
15-19 years,2016,3.1375927525473335,-1.1375927525473337,0.029046819891223534
15-19 years,2017,2.090855545969677,0.909144454030323,0.019358893461136877
15-19 years,2019,2.084711527240907,2.915288472759093,0.01940059344475288
15-19 years,2020,5.2085774159651175,3.7914225840348825,0.04870288628889071
15-19 years,2021,1.0456554878771809,5.95434451212282,0.009486145010904324
20-24 years,2000,11.488120496061581,-8.488120496061583,0.11858320665592446
20-24 years,2001,3.1250557252026723,0.874944274797328,0.031001503572923285
20-24 years,2002,12.497698473565345,-11.497698473565345,0.12101354897947761
20-24 years,2003,12.480586201939563,-7.480586201939562,0.11888576692663351
20-24 years,2004,12.546711045948925,-9.546711045948925,0.11775510490458843
20-24 years,2005,4.201253158868514,2.798746841131485,0.039128200222130795
20-24 years,2006,8.43643229508504,-1.4364322950850414,0.0781342784455654
20-24 years,2007,5.2617645893254075,-0.2617645893254079,0.048684719025394244
20-24 years,2008,8.388008548908147,0.6119914510918539,0.07737268662920668
20-24 years,2009,6.266915170096066,-3.2669151700960666,0.05736459589080191
20-24 years,2010,11.460269056718033,-2.460269056718034,0.10405017185777704
20-24 years,2011,1.0434980406105194,1.9565019593894806,0.009224128993171564
20-24 years,2012,12.560870935322333,-11.560870935322333,0.10875725172962547
20-24 years,2013,3.151799586073748,4.848200413926253,0.02698697689455999
20-24 years,2014,3.1521595360568,-2.1521595360567995,0.026851051044116548
20-24 years,2015,8.430942299474712,-0.430942299474711,0.07225786592354268
20-24 years,2016,3.165593400087769,0.8344065999122309,0.027548302964849378
20-24 years,2017,7.376762675828843,1.6232373241711568,0.06499841728853901
20-24 years,2018,1.0496170738618475,5.950382926138154,0.009370286745766879
20-24 years,2019,1.046986673590591,7.953013326409409,0.009462360056425947
20-24 years,2020,10.44588246310397,-8.44588246310397,0.09467985380294414
20-24 years,2021,10.400425220593135,-4.400425220593135,0.0947799110945478
20-24 years,2022,8.358938312149427,-3.3589383121494256,0.07204746559080587
25-29 years,2000,18.406082038900607,-16.406082038900607,0.18784093129029192
25-29 years,2001,13.297811388510492,-12.29781138851049,0.13973817151312684
25-29 years,2002,14.293920822058638,-6.293920822058638,0.1513744911924915
25-29 years,2003,20.338186830189066,-13.338186830189068,0.21488961550230876
25-29 years,2004,17.267031716158108,-6.267031716158107,0.17934229904167914
25-29 years,2005,14.158012977856265,-12.158012977856265,0.14414349113888184
25-29 years,2006,3.0243150328596102,3.9756849671403907,0.029956796308364078
25-29 years,2007,6.049376010520411,1.9506239894795896,0.05865527503018547
25-29 years,2008,3.0333680600588906,0.9666319399411089,0.02886410509920978
25-29 years,2009,15.207061881244165,-5.207061881244165,0.14330930418460303
25-29 years,2010,15.2426841570311,-1.2426841570310987,0.14331769769099903
