age_cat,excess_yrs_lost,ratio_excess_yrs_lost,male_years_lost,female_years_lost,exc_pll_number,Year,age
1-4 years,-0.22601111384767858,0.9490491969136775,4.209858394720483,4.435869508568161,-107.93833576881816,2000-2005,2
10-14 years,-0.4972853223031479,0.8597400616122437,3.0481698377324675,3.5454551600356154,-214.45617995460407,2000-2005,4
15-19 years,-0.6563525296233053,0.7779362259518636,2.2993413129979094,2.9556938426212147,-278.4683314376984,2000-2005,5
20-24 years,-3.488253374183085,0.37262566929542057,2.071829663109124,5.560083037292209,-2162.2183764086058,2000-2005,6
25-29 years,-6.736003742886583,0.29296720311305846,2.7911409278346926,9.527144670721276,-3884.8130018113993,2000-2005,7
30-34 years,-5.474483746411636,0.43949070355438513,4.29249742790117,9.766981174312805,-3360.4383801629065,2000-2005,8
35-39 years,-3.0184749430100126,0.7368849772728325,8.453598797682353,11.472073740692366,-1952.147234578697,2000-2005,9
40-44 years,-2.7877784987694607,0.8102634571019244,11.905113319476772,14.692891818246233,-1888.9222698797505,2000-2005,10
45-49 years,-1.5702389250408615,0.9165488868386253,17.246034046709585,18.816272971750447,-992.3169952652873,2000-2005,11
5-9 years,-1.407335024981335,0.6681555522688482,2.8336129089178215,4.2409479338991565,-569.3587336285281,2000-2005,3
50-54 years,-1.8975919594624813,0.9136693486639709,20.082920524758087,21.98051248422057,-1055.93273139996,2000-2005,12
55-59 years,-4.50888867695998,0.8535976170570994,26.289029951991044,30.797918628951024,-2021.6312082227828,2000-2005,13
60-64 years,-5.251478427471415,0.8564507254978723,31.33162828404023,36.58310671151165,-1790.8778160847198,2000-2005,14
65-69 years,-10.484629621667978,0.7771788752440634,36.569390203212365,47.05401982488034,-2871.9363256413767,2000-2005,15
70-74 years,-9.187218479749518,0.8555022664797566,54.393145418916305,63.58036389866582,-2142.215245082581,2000-2005,16
75-79 years,-16.43323134887791,0.8047434088413589,67.72900487251712,84.16223622139503,-3066.4035019331427,2000-2005,17
80-84 years,-27.343677577138564,0.7706684479180752,91.88840073439924,119.2320783115378,-3303.0164468951825,2000-2005,18
< 1 year,-1.5348786711400866,0.9060841328561648,14.8082454229959,16.343124094135987,-155.06220751578377,2000-2005,1
1-4 years,-0.5537250764980319,0.9011782192858828,5.04954449116854,5.603269567666572,-181.7973504033536,2006-2012,2
10-14 years,-0.8955927228393694,0.7989966768103445,3.560018799535004,4.455611522374373,-570.9232729009462,2006-2012,4
15-19 years,-1.2318079857826103,0.558389025551427,1.557542952157131,2.789350937939741,-969.7574662151682,2006-2012,5
20-24 years,-1.5016271292926398,0.646964397764888,2.7518450978302145,4.253472227122854,-1159.9660230230197,2006-2012,6
25-29 years,-0.6128383686164525,0.8663312429798844,3.971915632830776,4.584754001447228,-452.1001367728742,2006-2012,7
30-34 years,-3.511060298621019,0.6114099476948073,5.52432359191534,9.035383890536359,-2443.0384502737365,2006-2012,8
35-39 years,-0.24177360028276418,0.9754327737859811,9.599532788014365,9.841306388297129,-171.72227207194027,2006-2012,9
40-44 years,-0.4854953204475052,0.9631735102383444,12.697822546383545,13.18331786683105,-360.5306892663479,2006-2012,10
45-49 years,-0.4921120254494262,0.9721888642389624,17.20267144825744,17.694783473706867,-383.3820928516103,2006-2012,11
5-9 years,-0.6564137332887139,0.8460952882526317,3.6086521365996935,4.265065869888407,-403.0097539356403,2006-2012,3
50-54 years,1.9973539968914586,1.0841082487894005,25.74477503632664,23.74742103943518,1495.4535116703214,2006-2012,12
55-59 years,-2.0048472134934414,0.9395925221682687,31.183878511458445,33.18872572495189,-1317.6641386217145,2006-2012,13
60-64 years,-1.1356232295859314,0.9712399203331274,38.35047148015866,39.48609470974459,-610.5963335299386,2006-2012,14
65-69 years,-5.4666937544218825,0.8921480994645764,45.22034770968625,50.687041464108134,-2173.103701176524,2006-2012,15
70-74 years,-3.8253095096454004,0.9374026281203797,57.284436711038914,61.109746220684315,-1122.2955073099088,2006-2012,16
75-79 years,-9.759699741333037,0.8744596393144771,67.98183045691907,77.74153019825211,-2184.820535659439,2006-2012,17
80-84 years,-16.60499228276379,0.8344831082470565,83.71704800511817,100.32204028788196,-2643.3500498925505,2006-2012,18
< 1 year,-8.848735453641403,0.7033152664845316,20.976646354149025,29.82538180779043,-1275.6003432642844,2006-2012,1
1-4 years,-2.7661715304462913,0.5529667669197533,3.421671622480412,6.187843152926703,-1350.173607398458,2013-2019,2
10-14 years,0.7032236793028637,1.2483780200517771,3.534487408501884,2.83126372919902,371.63587372681957,2013-2019,4
15-19 years,-0.6773570282983261,0.7632050412985086,2.18316429366198,2.8605213219603063,-365.6248401854049,2013-2019,5
20-24 years,1.1993696562470202,1.5737850869169754,3.2896464577780513,2.090276801531031,961.8075339974255,2013-2019,6
25-29 years,-0.3129074471259301,0.9446995604077798,5.345410089466499,5.658317536592429,-253.72969920001606,2013-2019,7
30-34 years,-1.8733516849549847,0.7882015529559655,6.971621973258385,8.84497365821337,-1442.1820352886216,2013-2019,8
35-39 years,-1.2969999683009679,0.8936187425244926,10.894996996949995,12.191996965250963,-941.1821253872528,2013-2019,9
40-44 years,-0.5328703693585641,0.9635787714186879,14.097892790343913,14.630763159702477,-372.1754389831337,2013-2019,10
45-49 years,-0.021515541071519095,0.9989545497918245,20.558652603969563,20.580168145041082,-15.554012799868477,2013-2019,11
5-9 years,0.0808222032496424,1.0300519188708632,2.7702412582173324,2.68941905496769,16.831194730744862,2013-2019,3
50-54 years,1.2940005238076644,1.0507371265321002,26.798017251853526,25.504016728045862,966.962310743543,2013-2019,12
55-59 years,0.15044502373870472,1.004063934128941,37.169997744172235,37.01955272043353,111.35892364286305,2013-2019,13
60-64 years,5.896395993158961,1.1303058994578097,51.14681073027597,45.25041473711701,3840.241811791406,2013-2019,14
65-69 years,-3.5817676268156617,0.9387132272838381,54.86098385242997,58.44275147924563,-1929.1349935105618,2013-2019,15
70-74 years,-7.339402355764349,0.8959240320175458,63.18026225116651,70.51966460693086,-2891.2173020743467,2013-2019,16
75-79 years,-7.514525379341535,0.9093530773766372,75.3843217284011,82.89884710774264,-1998.7455474206315,2013-2019,17
80-84 years,-13.410090655139612,0.8690897897855658,89.02722598481961,102.43731663995922,-2332.9603104208727,2013-2019,18
< 1 year,2.0057774509131114,1.089343677873439,24.45591045030025,22.45013299938714,199.9179847143823,2013-2019,1
