Year,Excess YPLL Rate,Excess YPLL Number
2000,-6.4035569366856535,-7963.096546685377
2001,-6.31709401288089,-8627.929643177307
2002,-8.045324602223893,-11096.165997328259
2003,-4.667515978428053,-5478.561384750749
2004,-8.576125246231502,-11187.183608679572
2005,-0.9513798672306351,-1139.6570010895093
2006,-5.449357860594414,-7796.017887742589
2007,-3.9315259257340927,-5675.189204635088
2008,-1.8666171426663993,-2522.1564702782694
2009,-4.982875053803983,-7326.206037365504
2010,2.1694247308171377,2804.688306546946
2011,-3.253759698240252,-4590.966887479562
2012,-4.368377796843209,-6216.721398181934
2013,-5.0985864506797896,-7729.104899864413
2014,-2.3555357157592702,-3352.6653599759034
2015,0.05607376502804584,74.44513752533936
2016,-2.9631580636002752,-3966.9262871710953
2017,-2.2704708699793237,-3123.358289884024
2018,-2.326297008636466,-3149.823201450849
2019,0.9104171723406367,1338.5222478109904
2020,-3.523193156622426,-5284.097497942226
2021,-6.9241873460690115,-10565.232971243378
2022,-6.77076632809554,-10184.248578650886
