age_cat,unadj_excess_deaths_number,unadj_excess_deaths_rate,ratio_unadj_excess_deaths_rate,male_death_rate,female_death_rate,Year,age
1-4 years,23.08867922776861,0.04834517849817761,2.104123430521356,0.09213120564131098,0.04378602714313337,2000-2005,2
10-14 years,-49.0825605092145,-0.07555806605273835,0.5373173472283306,0.08774623247696192,0.16330429852970027,2000-2005,4
15-19 years,-127.9045778381921,-0.19926349588076356,0.4690653910109524,0.17604354289032184,0.3753070387710854,2000-2005,5
20-24 years,-322.74083506903537,-0.5206697987583288,0.3450089537965373,0.2742567911184294,0.7949265898767581,2000-2005,6
25-29 years,-390.6996085127254,-0.6774467713269375,0.34192375586794566,0.3519883091331256,1.0294350804600632,2000-2005,7
30-34 years,-444.9874075341645,-0.7249281356516167,0.3870590551348872,0.45777656326705063,1.1827046989186674,2000-2005,8
35-39 years,-529.5124663157167,-0.8187497762843517,0.48062188172229736,0.7576542874821163,1.576404063766468,2000-2005,9
40-44 years,-734.0400881245978,-1.0833379475370708,0.49862022626382696,1.0773753566001742,2.160713304137245,2000-2005,10
45-49 years,-864.5849383469731,-1.368116167186602,0.5328045093032803,1.5602429339390453,2.9283591011256473,2000-2005,11
5-9 years,0.216370471016873,3.5510853462759895e-4,1.005578912382483,0.06400703749171191,0.06365192895708431,2000-2005,3
50-54 years,-865.0498876513088,-1.554560875449635,0.6011848816497244,2.3433878329147224,3.8979487083643574,2000-2005,12
55-59 years,-1038.100578569286,-2.3152986188670126,0.5819337373891559,3.2228153738954277,5.53811399276244,2000-2005,13
60-64 years,-1069.1880896766725,-3.135232419217596,0.6161163787682314,5.031910552804931,8.167142972022527,2000-2005,14
65-69 years,-1198.637577053738,-4.37588777084581,0.6311473053125899,7.487622605713111,11.86351037655892,2000-2005,15
70-74 years,-1390.2557681767712,-5.9623249877860065,0.6682961276826245,12.012517892797648,17.974842880583655,2000-2005,16
75-79 years,-1644.143750307655,-8.811167415698623,0.6914227867420581,19.74300650618882,28.554173921887443,2000-2005,17
80-84 years,-1837.373583057165,-15.210505806319194,0.6751101309095263,31.606915275171804,46.817421081491,2000-2005,18
< 1 year,7.383880343795212,0.060771267233099724,1.2016565494411688,0.3621315126677718,0.3013602454346721,2000-2005,1
1-4 years,-0.8298093775033948,-0.0016800263713447894,0.9768402514018283,0.07086075982170623,0.07254078619305102,2006-2012,2
10-14 years,-54.55257674139585,-0.07337634361495951,0.45202245359148135,0.060527580178767,0.1339039237937265,2006-2012,4
15-19 years,-90.12373414589538,-0.1144772165175896,0.5751360190373148,0.1549671742688439,0.2694443907864335,2006-2012,5
20-24 years,-269.7359175616749,-0.34918503086811187,0.43891041274845083,0.2731487974578883,0.6223338283260001,2006-2012,6
25-29 years,-378.5776802367984,-0.5131759738163408,0.3948350585438145,0.3348175873795621,0.8479935611959029,2006-2012,7
30-34 years,-418.02361587895484,-0.6007707825614242,0.4433948453275679,0.47857743676109366,1.079348219322518,2006-2012,8
35-39 years,-566.7944627570728,-0.7980091122000971,0.43365547687422284,0.6110432925017498,1.409052404701847,2006-2012,9
40-44 years,-626.4563994779044,-0.8435943442979023,0.5298484815537916,0.9507087924565539,1.7943031367544562,2006-2012,10
45-49 years,-816.9326797521253,-1.048620692475197,0.5846666801758178,1.4761483121380043,2.5247690046132014,2006-2012,11
5-9 years,-0.5482045614760054,-7.636721339527169e-4,0.98500050637087,0.050149522193462095,0.05091319432741481,2006-2012,3
50-54 years,-953.060127370441,-1.2729238587664558,0.6335878139295675,2.2010977681282675,3.4740216268947233,2006-2012,12
55-59 years,-919.307333118265,-1.3987409166907323,0.7049063752570168,3.3412493759121302,4.7399902926028625,2006-2012,13
60-64 years,-1278.3657179220095,-2.377580285793427,0.6594988837076938,4.605011465102252,6.982591750895679,2006-2012,14
65-69 years,-1208.359832404452,-3.039768946748068,0.7021807573600491,7.166989084743546,10.206758031491614,2006-2012,15
70-74 years,-1417.2380823076946,-4.830612150161789,0.6892184011606461,10.712818246625574,15.543430396787363,2006-2012,16
75-79 years,-1692.0815936883882,-7.558610889406765,0.6930231229476161,17.064126047606678,24.622736937013443,2006-2012,17
80-84 years,-1813.659201884503,-11.39304158829811,0.7057495973609333,27.325823317633862,38.71886490593197,2006-2012,18
< 1 year,2.1079205674906447,0.01462247290658647,1.0480250786644068,0.3190982450082109,0.3044757721016244,2006-2012,1
1-4 years,18.155928732263018,0.031857531654270264,1.6763478069768067,0.07895982329423225,0.047102291639961984,2013-2019,2
10-14 years,-4.964112806176132,-0.006705991839350202,0.8965036041376142,0.05808845615540743,0.06479444799475763,2013-2019,4
15-19 years,-62.78028730755432,-0.08309664175625829,0.5890812328348718,0.11912493680422102,0.20222157856047931,2013-2019,5
20-24 years,-170.09946133872575,-0.21211326098239625,0.5391500688682284,0.24815210232465895,0.4602653633070552,2013-2019,6
25-29 years,-340.627309988791,-0.4200723144591136,0.3977884306973416,0.2774770782660109,0.6975493927251245,2013-2019,7
30-34 years,-349.80560450476185,-0.4543871041040575,0.5064858371863906,0.4663303511225935,0.920717455226651,2013-2019,8
35-39 years,-441.10262006840003,-0.6078633123326603,0.4930452915614433,0.591185246077827,1.1990485584104873,2013-2019,9
40-44 years,-519.782347087046,-0.7442098060933238,0.5382923276137885,0.8676538266833991,1.6118636327767228,2013-2019,10
45-49 years,-579.4821061754867,-0.8015854953992647,0.6356563183417863,1.3984951859811854,2.20008068138045,2013-2019,11
5-9 years,-6.4042165212589595,-0.00878694027290123,0.8082811935677875,0.0370454975375652,0.04583243781046643,2013-2019,3
50-54 years,-593.5268057819612,-0.7942646668257196,0.7321057889107875,2.1705797902320643,2.964844457057784,2013-2019,12
55-59 years,-659.2133247106644,-0.8905919798850581,0.7902740741367449,3.35586432359427,4.246456303479328,2013-2019,13
60-64 years,-651.0356341697902,-0.9996151526020025,0.8373238787253213,5.145202813116223,6.144817965718225,2013-2019,14
65-69 years,-888.6075138776223,-1.6498511700107157,0.8164264482650044,7.337560983960244,8.98741215397096,2013-2019,15
70-74 years,-1014.967966953177,-2.5765127658640257,0.8108156519842954,11.042546066900211,13.619058832764237,2013-2019,16
75-79 years,-962.1442469736685,-3.617297545353594,0.821267236612771,16.621283657112507,20.2385812024661,2013-2019,17
80-84 years,-1092.289050222298,-6.278587389450642,0.8033077262242323,25.642276958318973,31.920864347769616,2013-2019,18
< 1 year,-0.5033775823469355,-0.0035906892885905206,0.9849753183508231,0.23539535863124877,0.2389860479198393,2013-2019,1
1-4 years,-5.679491829276978,-0.024325291089186893,0.6377757716183028,0.042830048568418475,0.06715533965760537,2020-2022,2
10-14 years,-11.343369147052996,-0.03513505865766513,0.6134264920225689,0.05575336988854654,0.09088842854621167,2020-2022,4
15-19 years,-33.20065888498452,-0.10122270603712105,0.3386409735965608,0.05182987508146437,0.1530525811185854,2020-2022,5
20-24 years,-72.1337916125419,-0.21463234074403875,0.5130497179116651,0.22613614967261436,0.4407684904166531,2020-2022,6
25-29 years,-81.15100452701569,-0.23449353614075885,0.5419105596172892,0.27740111907078946,0.5118946552115483,2020-2022,7
30-34 years,-123.55013920598304,-0.35219159476531,0.5747717087879514,0.476049616000421,0.828241210765731,2020-2022,8
35-39 years,-139.2177742510683,-0.4155292907646536,0.6477441468443976,0.7640942329957917,1.1796235237604453,2020-2022,9
40-44 years,-139.35986188457684,-0.44213225689095137,0.7367388955625742,1.2373116466654182,1.6794439035563695,2020-2022,10
45-49 years,-191.4266196154233,-0.6468503196308106,0.732803591639042,1.7740292258643324,2.420879545495143,2020-2022,11
5-9 years,-0.6952805637529487,-0.0022461113735816954,0.9557012975378951,0.04845766207222343,0.05070377344580512,2020-2022,3
50-54 years,-162.94429122892666,-0.5269418738299683,0.8268289709095188,2.5159566791066386,3.042898552936607,2020-2022,12
55-59 years,-154.6872048592959,-0.49082258725607364,0.8899561692497733,3.969423697427744,4.460246284683818,2020-2022,13
60-64 years,-50.13102981053953,-0.1637800890253409,0.9733080232343552,5.972149462514716,6.135929551540057,2020-2022,14
65-69 years,-20.757327427920245,-0.07979761790326378,0.9909780457154403,8.76502861224417,8.844826230147433,2020-2022,15
70-74 years,-272.1348278196683,-1.2989212783074944,0.9073152822407166,12.715484868787795,14.01440614709529,2020-2022,16
75-79 years,-180.59962778799445,-1.3034244754751754,0.9368223426490321,19.32767408258503,20.631098558060206,2020-2022,17
80-84 years,-186.1408296458776,-2.2505636013630266,0.9294424211345594,29.64627352870695,31.896837130069976,2020-2022,18
< 1 year,3.458325776064756,0.06161816684629079,1.2757467395752227,0.28507744306914373,0.22345927622285294,2020-2022,1
