Year,Hypothetical_Excess_Deaths
2000,-2019.1141147395015
2001,-2093.076164543624
2002,-2098.9843648673086
2003,-2077.1482589696584
2004,-2122.4977592112964
2005,-2059.114648511893
2006,-2091.2708944570372
2007,-1917.8435655841363
2008,-1865.6116907901885
2009,-1773.7464897982916
2010,-1682.3186539419637
2011,-1599.044735076357
2012,-1550.198103721637
2013,-1597.6725396963463
2014,-1358.9760786400861
2015,-1287.6203135537905
2016,-1269.2378084555003
2017,-991.0582060597145
2018,-982.1285837955745
2019,-825.0226440475025
2020,-769.1001899736319
2021,-697.1453307168414
2022,-354.0323269907695
