agegroup,Year,expected_deaths_male,hypothetical_excess,expected_rate_male
1-4 years,2000,2.0941027116972726,5.905897288302727,0.026636712795237993
1-4 years,2001,3.1399820527075186,0.8600179472924813,0.040168514953934746
1-4 years,2002,3.1381317805795885,5.861868219420412,0.039657826981096836
1-4 years,2003,5.224697391920822,1.7753026080791785,0.06547336654753569
1-4 years,2004,1.0447645748994416,7.9552354251005575,0.012964829658344328
1-4 years,2005,6.264166153829555,0.735833846170446,0.07707007326666515
1-4 years,2006,2.0892493619368104,6.91075063806319,0.025723168291770692
1-4 years,2007,5.225128015965007,1.7748719840349936,0.06399518346651158
1-4 years,2008,3.1352645079501538,-2.1352645079501533,0.038016578776560596
1-4 years,2009,8.356942615500436,-0.35694261550043666,0.1007143162882746
1-4 years,2010,8.355221755173314,-6.355221755173316,0.10060288795680314
1-4 years,2011,5.218755226947668,2.7812447730523306,0.06321327488886791
1-4 years,2013,2.0885878828035893,6.911412117196411,0.025671917515102147
1-4 years,2014,3.1337019883547765,3.8662980116452235,0.03850763901706941
1-4 years,2015,6.274073120891111,-0.2740731208911108,0.07705371260198059
1-4 years,2016,1.0456197967391136,3.9543802032608872,0.012819663106945347
1-4 years,2017,5.231540296674134,0.7684597033258659,0.06394886546399314
1-4 years,2019,5.229643835041488,3.7703561649585127,0.06477069038172088
1-4 years,2020,1.0446260514212953,-0.044626051421295526,0.013134967305752879
1-4 years,2021,7.32171402259653,0.6782859774034682,0.09383384305217364
1-4 years,2022,7.317294257533926,-6.317294257533926,0.09637874754991455
10-14 years,2000,19.972645841399896,-15.972645841399894,0.1898504927369696
10-14 years,2001,11.554479518043793,1.4455204819562055,0.10751144337142596
10-14 years,2002,18.90001023967591,-10.900010239675911,0.17355382897350047
10-14 years,2003,12.603859404731987,0.39614059526801276,0.11488888091049439
10-14 years,2004,21.003988430926725,-9.003988430926723,0.19150290136470713
10-14 years,2005,22.04674479546658,-15.046744795466578,0.20293027451054668
10-14 years,2006,15.744376504100979,-9.744376504100979,0.14617113482591604
10-14 years,2007,17.837252442998984,-15.837252442998986,0.16715696097632252
10-14 years,2008,12.581342347024881,-2.581342347024881,0.11871228040948613
10-14 years,2009,6.287310635271112,-5.287310635271112,0.05947229047218223
10-14 years,2010,16.76460593748923,-9.764605937489229,0.15845769951904126
10-14 years,2011,10.463744074564664,-2.463744074564663,0.09883550036756922
10-14 years,2012,19.874973916066555,-8.874973916066555,0.1880814935333623
10-14 years,2013,16.72029329572563,-15.720293295725625,0.15844829995372317
10-14 years,2014,10.425810058548734,-3.425810058548734,0.09881142698818719
10-14 years,2015,1.041422332458452,1.958577667541548,0.009899086730056458
10-14 years,2016,3.124530211938194,7.875469788061805,0.029704437872722624
10-14 years,2017,2.084866566496766,1.9151334335032342,0.019659145798319577
10-14 years,2018,4.171476927138068,0.828523072861932,0.03913631246118778
10-14 years,2019,10.43050461556657,1.56949538443343,0.09823175956558772
10-14 years,2020,7.30007426579477,0.6999257342052311,0.0689013337821763
10-14 years,2021,10.50543421468645,-5.505434214686448,0.09560630699510238
10-14 years,2022,11.554823789510507,-6.554823789510507,0.10797030934278865
15-19 years,2000,29.601331422503016,-12.601331422503018,0.2848746032866797
15-19 years,2001,54.28623761050296,-37.28623761050296,0.5146889709318807
15-19 years,2002,39.396807655151896,-26.396807655151893,0.3706716941770181
15-19 years,2003,50.96964626319341,-27.969646263193408,0.47588044574531646
15-19 years,2004,32.86725886191393,-10.867258861913925,0.3026518255323523
15-19 years,2005,33.891015908419426,-12.891015908419424,0.3066664788334484
15-19 years,2006,48.66140211467212,-30.66140211467212,0.4340731165968517
15-19 years,2007,33.80455313723579,-14.804553137235793,0.2981924135004379
15-19 years,2008,38.00099286007003,-28.000992860070024,0.3331745201453973
15-19 years,2009,12.648245636036823,8.35175436396318,0.11106410425735552
15-19 years,2010,28.425832499198776,-8.425832499198778,0.2514744552714029
15-19 years,2011,29.579821259604543,-15.579821259604541,0.26603080237645316
15-19 years,2012,21.08680253910403,-1.0868025391040301,0.19234762293441493
15-19 years,2013,18.931028644669222,-1.9310286446692198,0.1745408170488367
15-19 years,2014,18.87587624751741,-7.875876247517412,0.17503557111773047
15-19 years,2015,23.038720260505347,-9.038720260505348,0.21336362320915184
15-19 years,2016,30.330063274624223,-15.330063274624225,0.2807859256151608
15-19 years,2017,22.999411005666445,-10.999411005666447,0.21294782807250565
15-19 years,2018,15.657694162151449,-4.657694162151448,0.1453162677783555
15-19 years,2019,22.931826799649976,-12.931826799649976,0.2134065278922817
15-19 years,2020,23.959456113439543,-13.95945611343954,0.2240332769288973
15-19 years,2021,15.684832318157714,-14.684832318157712,0.14229217516356485
15-19 years,2022,10.500574724678405,-4.500574724678404,0.09475305884193379
20-24 years,2000,74.15059592912475,-38.15059592912475,0.7654006975064215
20-24 years,2001,92.70998651434594,-67.70998651434594,0.9197112726633908
20-24 years,2002,86.44241444216033,-65.44241444216031,0.8370103804413869
20-24 years,2003,84.24395686309204,-59.243956863092045,0.8024789267547762
20-24 years,2004,72.14358851420631,-40.143588514206314,0.6770918532013834
20-24 years,2005,82.97474988765316,-51.97474988765316,0.7727819543870832
20-24 years,2006,80.1461068033079,-44.146106803307894,0.7422756452328715
20-24 years,2007,82.08352759347636,-50.08352759347636,0.7594816167961501
20-24 years,2008,74.44357587155979,-45.44357587155978,0.6866825938342092
20-24 years,2009,71.02503859442207,-34.02503859442208,0.6501320867624215
20-24 years,2010,55.21766000055052,-25.21766000055052,0.5013326462238348
20-24 years,2011,51.13140398991545,-26.131403989915448,0.45198232066540656
20-24 years,2012,66.99131165505244,-44.99131165505244,0.5800386758913358
20-24 years,2013,66.18779130754872,-30.18779130754872,0.5667265147857599
20-24 years,2014,46.231673195499724,-8.231673195499722,0.3938154153137093
20-24 years,2015,61.12433167119166,-37.12433167119166,0.5238695279456844
20-24 years,2016,54.870285601521324,-30.870285601521324,0.4775039180573891
20-24 years,2017,54.79880844901427,-23.798808449014263,0.4828453855720042
20-24 years,2018,47.232768323783134,-22.232768323783137,0.4216629035595096
20-24 years,2019,38.73850692285187,-17.738506922851872,0.35010732208776
20-24 years,2020,52.22941231551985,-25.229412315519852,0.4733992690147207
20-24 years,2021,54.082211147084294,-32.08221114708431,0.4928555376916485
20-24 years,2022,41.79469156074714,-14.794691560747136,0.3602373279540294
25-29 years,2000,104.3011315537701,-61.301131553770105,1.0644319439783207
25-29 years,2001,93.08467971957343,-61.08467971957343,0.9781672005918878
25-29 years,2002,90.86849665451562,-53.86849665451563,0.9623092654379816
25-29 years,2003,102.7078434924548,-66.7078434924548,1.0851925582866593
25-29 years,2004,105.63360579296726,-77.63360579296724,1.0971528882549784
25-29 years,2005,97.08351756244296,-70.08351756244295,0.9884125106666184
25-29 years,2006,114.92397124866518,-76.92397124866518,1.138358259717835
25-29 years,2007,100.8229335086735,-56.82293350867351,0.9775879171697578
25-29 years,2008,95.0455325485119,-56.04553254851189,0.9044086264419063
25-29 years,2009,87.18715478579989,-51.1871547857999,0.8216400106583908
25-29 years,2010,77.22959972895757,-46.22959972895755,0.7261430016343949
25-29 years,2011,70.5956302357068,-44.5956302357068,0.6560008533715448
25-29 years,2012,79.12644805864248,-46.126448058642474,0.729619915401992
25-29 years,2013,75.3340052215004,-51.33400522150041,0.687361650812937
25-29 years,2014,82.47421408243753,-43.47421408243754,0.7389242869542271
25-29 years,2015,65.03637860670611,-25.036378606706112,0.5700245789169623
25-29 years,2016,100.20533740222622,-70.2053374022262,0.8615016239749684
25-29 years,2017,76.80043215038415,-47.80043215038416,0.645260864143813
25-29 years,2018,87.46335995802794,-58.46335995802793,0.7277189355412556
25-29 years,2019,78.26041775501402,-44.26041775501402,0.6519218743779579
25-29 years,2020,56.46796382953786,-14.467963829537853,0.4755146499459278
25-29 years,2021,75.4235568446093,-50.42355684460929,0.6628277740091428
25-29 years,2022,45.03218656985863,-16.03218656985863,0.39666352472256156
30-34 years,2000,121.56822038394016,-69.56822038394019,1.1777847419753356
30-34 years,2001,123.47764355368753,-74.47764355368753,1.1886285272795118
30-34 years,2002,109.24003122434019,-61.24003122434019,1.0515868591758695
30-34 years,2003,144.18641337328174,-100.18641337328174,1.402810997802786
30-34 years,2004,103.7920145561089,-62.7920145561089,1.0257794305330719
30-34 years,2005,123.6706928025733,-76.6706928025733,1.2506159029131623
30-34 years,2006,107.68274864600384,-63.68274864600386,1.1132013402527987
30-34 years,2007,112.6103839451577,-54.61038394515769,1.1716297390592274
30-34 years,2008,104.57313082784441,-54.5731308278444,1.0804208114396618
30-34 years,2009,100.44891316913657,-40.44891316913656,1.0203499616705536
30-34 years,2010,117.36278973296037,-82.36278973296035,1.1740388109134232
30-34 years,2011,101.53908504216245,-58.53908504216246,0.9874799277594882
30-34 years,2012,106.78165810045398,-63.781658100453996,1.0175587440982794
30-34 years,2013,111.02731542013973,-57.02731542013973,1.0394247181056542
30-34 years,2014,103.85595836690456,-60.85595836690456,0.960844109946313
30-34 years,2015,101.97227132177733,-63.97227132177732,0.9364069361237889
30-34 years,2016,98.34648410833886,-30.346484108338853,0.896645851233512
30-34 years,2017,100.8743727075081,-43.874372707508115,0.9096688704237339
30-34 years,2018,94.08244717473184,-45.08244717473185,0.8406319834702513
30-34 years,2019,98.40864626136226,-48.408646261362264,0.8666845119415133
30-34 years,2020,102.66304912082988,-50.663049120829875,0.8873783737016545
30-34 years,2021,96.0232293029144,-41.0232293029144,0.8225178075105326
30-34 years,2022,91.8357562462755,-31.83575624627549,0.7758482113124597
35-39 years,2000,184.86857848564378,-112.86857848564377,1.6333027981813786
35-39 years,2001,186.20943624338173,-77.20943624338173,1.678408043433969
35-39 years,2002,176.09622168991345,-95.09622168991343,1.6233399972815934
35-39 years,2003,151.200895376132,-64.200895376132,1.425877672265957
35-39 years,2004,166.48891864020234,-91.48891864020234,1.5975785683400106
35-39 years,2005,154.63396810486745,-88.63396810486744,1.4887212556739489
35-39 years,2006,161.41832916279293,-96.41832916279292,1.5444092005604106
35-39 years,2007,142.43105468911787,-73.43105468911789,1.3615366283344914
35-39 years,2008,151.15312111957596,-85.15312111957594,1.4562443133420049
35-39 years,2009,149.8770256298745,-98.87702562987451,1.4671348672957079
35-39 years,2010,131.74580680672585,-70.74580680672587,1.3119450127347447
35-39 years,2011,127.06682214315512,-60.066822143155115,1.301739306770936
35-39 years,2012,137.16731954883295,-82.16731954883294,1.411968953872202
35-39 years,2013,94.67846008265417,-40.678460082654176,0.9675611378967116
35-39 years,2014,120.49114078863822,-64.49114078863823,1.2122045151312177
35-39 years,2015,108.70362853796739,-54.703628537967404,1.0685058298756387
35-39 years,2016,131.73312989909172,-49.73312989909172,1.2695404638612322
35-39 years,2017,138.99964647741544,-77.99964647741545,1.3093429057917418
35-39 years,2018,143.2229008176344,-85.22290081763443,1.3273436410075672
35-39 years,2019,132.3936070501208,-68.3936070501208,1.21630064003214
35-39 years,2020,144.61975429347345,-64.61975429347342,1.3222271152787382
35-39 years,2021,132.68998054911043,-36.68998054911042,1.1780180028335863
35-39 years,2022,117.49985796554311,-37.49985796554311,1.0396101498415642
40-44 years,2000,246.92509653478936,-110.92509653478938,2.2187333401633786
40-44 years,2001,251.85972007976056,-129.8597200797606,2.225909077352862
40-44 years,2002,236.20138299129272,-123.20138299129276,2.0804422049254643
40-44 years,2003,238.72452995262154,-105.72452995262155,2.104515250460698
40-44 years,2004,243.72735451264762,-141.72735451264762,2.144880818140572
40-44 years,2005,246.60485171502748,-122.60485171502746,2.191427189220483
40-44 years,2006,243.18102834066386,-133.1810283406639,2.197868103532579
40-44 years,2007,203.87618876090843,-87.87618876090845,1.88196138197061
40-44 years,2008,188.49974298015118,-80.49974298015117,1.7754354836490756
40-44 years,2009,197.74647775175953,-96.74647775175951,1.8958350494590186
40-44 years,2010,179.22379412301834,-89.22379412301832,1.7243043170387844
40-44 years,2011,167.25225488639913,-78.25225488639913,1.5986399641450597
40-44 years,2012,152.39383883040833,-60.39383883040832,1.4570601993882808
40-44 years,2013,166.92255376335885,-72.92255376335885,1.6112228056098774
40-44 years,2014,171.43838724885725,-84.43838724885724,1.6775789643167383
40-44 years,2015,154.61237736308482,-68.6123773630848,1.541475761766394
40-44 years,2016,170.49551085541935,-91.49551085541935,1.7439639191002356
40-44 years,2017,152.85069661479002,-82.85069661479002,1.5671987525502367
40-44 years,2018,143.25300641098102,-44.25300641098104,1.4621517973727856
40-44 years,2019,166.19921226096125,-75.19921226096125,1.6775702073117298
40-44 years,2020,181.36140526184928,-64.3614052618493,1.794186600112475
40-44 years,2021,182.4297110502803,-36.4297110502803,1.722045493207149
40-44 years,2022,165.18154089244504,-38.18154089244506,1.5269295228712834
45-49 years,2000,299.50876251041615,-138.50876251041618,3.028551299836576
45-49 years,2001,284.27312582613905,-134.27312582613905,2.7888960816390784
45-49 years,2002,311.4973706610855,-137.49737066108545,2.9761377723710756
45-49 years,2003,317.7439588681946,-160.74395886819465,2.968068753905802
45-49 years,2004,321.03782500541377,-154.03782500541377,2.950510286283543
45-49 years,2005,316.500759261529,-139.50075926152903,2.861649042430595
45-49 years,2006,312.7521467860246,-113.75214678602462,2.7899809264388074
45-49 years,2007,293.5764526265457,-101.57645262654573,2.6078187952345013
45-49 years,2008,310.9127018703757,-143.9127018703757,2.7602359543143744
45-49 years,2009,285.6373226655831,-126.6373226655831,2.530973325959822
45-49 years,2010,260.2568923395492,-103.25689233954921,2.3218388685566147
45-49 years,2011,256.0936911662548,-112.09369116625483,2.338178419791199
45-49 years,2012,247.54832318299597,-115.54832318299597,2.307793207863573
45-49 years,2013,250.93100214487364,-93.93100214487363,2.3902474914539313
45-49 years,2014,262.10824101787955,-137.10824101787955,2.5330676806274113
45-49 years,2015,218.11700522344748,-72.1170052234475,2.110483828417665
45-49 years,2016,251.2606790148915,-107.26067901489147,2.4215667764065234
45-49 years,2017,172.650314521128,-30.650314521128013,1.6623089301030265
45-49 years,2018,225.19196061485397,-79.19196061485395,2.193999126216
45-49 years,2019,210.26649141479828,-59.266491414798274,2.0848695104416084
45-49 years,2020,253.23406612712478,-88.23406612712476,2.5649400229874084
45-49 years,2021,245.25507773109223,-58.255077731092236,2.483405350405971
45-49 years,2022,217.45515097541096,-44.45515097541093,2.208790187326882
5-9 years,2000,9.44617387516023,-1.4461738751602318,0.08976456549761287
5-9 years,2001,3.1477299854189704,0.85227001458103,0.03047449396594861
5-9 years,2002,11.53634630224434,-6.536346302244341,0.11340516003787733
5-9 years,2003,9.430550741464028,-1.4305507414640288,0.09393349320813878
5-9 years,2004,2.0942363707669527,3.9057636292330473,0.02104547390250747
5-9 years,2005,3.1397313672299685,4.8602686327700315,0.031665945386799524
5-9 years,2006,1.0454562151831264,2.954543784816874,0.010465535265557201
5-9 years,2007,8.359513947300206,-3.3595139473002056,0.0829816725640704
5-9 years,2008,7.310651456923371,1.6893485430766284,0.0718060072495345
5-9 years,2009,10.438503519686181,-8.438503519686183,0.1012684480731855
5-9 years,2010,1.0432390981481208,1.956760901851879,0.010041149635320505
5-9 years,2011,2.087271880859605,6.912728119140394,0.020100484331220202
5-9 years,2012,6.265276458683574,-2.2652764586835734,0.05990210199471005
5-9 years,2013,8.35570222530059,-1.35570222530059,0.07951016174652815
5-9 years,2014,1.043550048166856,0.9564499518331439,0.009959031531986866
5-9 years,2015,4.171952975076695,-0.17195297507669544,0.03988813770661557
5-9 years,2016,7.301036632854247,-3.301036632854247,0.07000086801076333
5-9 years,2017,1.043482264716216,1.956517735283784,0.010064313985662581
5-9 years,2018,5.220826604013988,-1.2208266040139877,0.0506090700360701
5-9 years,2019,6.273243964200624,-3.273243964200625,0.06077098323298188
5-9 years,2020,8.3686558976390355,-2.3686558976390364,0.08088195299181333
