Year,Excess YPLL Rate,Excess YPLL Number
2000,-62.71705110022411,-84591.22070188931
2001,-65.42258439715312,-89354.60737207643
2002,-64.19030818861759,-88531.70633832166
2003,-63.410012507633056,-88176.35214469672
2004,-63.55691577831482,-89231.79394302775
2005,-59.22592176641122,-83926.40219066387
2006,-59.45837802293467,-85062.97264764273
2007,-54.57650550792361,-78781.62340426192
2008,-52.63620019109058,-76700.04500379403
2009,-50.2437364061236,-73872.20450517519
2010,-47.238997201851376,-69903.02614606323
2011,-44.318644498851924,-66191.2623460317
2012,-39.80323468497903,-56644.73914362033
2013,-42.4232837933358,-64310.76805448547
2014,-37.62573107204069,-57495.789725688126
2015,-36.032942067839286,-55497.888728414284
2016,-35.43082379328956,-54855.27761504394
2017,-29.609573809008452,-46224.48278917879
2018,-35.097517736299494,-55045.009785608265
2019,-26.91382485017725,-42347.75122091207
2020,-25.02743971697089,-39526.678469181796
2021,-25.7665014366802,-41326.19518575755
2022,-19.705503010994107,-31748.88750146413
