age_cat,unadj_excess_deaths_number,unadj_excess_deaths_rate,ratio_unadj_excess_deaths_rate,male_death_rate,female_death_rate,Year,age
1-4 years,2.448301837752105,0.005126477274680449,1.0418143608912558,0.12772735327545387,0.12260087600077342,2000-2005,2
10-14 years,2.584525698591129,0.003978638470022097,1.0512645320589378,0.08158860212770143,0.07760996365767933,2000-2005,4
15-19 years,-2.676647508206784,-0.004169969118701544,0.9768609519218917,0.17604354289032184,0.18021351200902339,2000-2005,5
20-24 years,-32.425036266841516,-0.0523105082261332,0.8805377841601759,0.3855727828076742,0.4378832910338074,2000-2005,6
25-29 years,-59.35942197873561,-0.10292523435179723,0.8546392741690515,0.6051424624998072,0.7080676968516044,2000-2005,7
30-34 years,-28.132203274072026,-0.04583011861898478,0.9558455794111376,0.9921207367602628,1.0379508553792476,2000-2005,8
35-39 years,46.50068075562399,0.07190089825578716,1.0454774686696007,1.652923333302821,1.5810224350470339,2000-2005,9
40-44 years,368.5246308256619,0.5438895281530751,1.2282627767892982,2.9266237426549933,2.382734214501918,2000-2005,10
45-49 years,787.3817813053156,1.2459501628741965,1.315505703319136,5.195007659352825,3.9490574964786287,2000-2005,11
5-9 years,-0.494392308066935,-8.113996666167869e-4,0.9847853037724233,0.052518594864994383,0.05332999453161117,2000-2005,3
50-54 years,1142.3674213680492,2.0529217146871552,1.3273603726544454,8.324058621212417,6.271136906525262,2000-2005,12
55-59 years,1093.5430336001155,2.4389531492752212,1.217600715897385,13.64734067326375,11.208387523988529,2000-2005,13
60-64 years,1251.2751397457741,3.669175163257126,1.1895376081604208,23.027735181338652,19.358560018081526,2000-2005,14
65-69 years,1705.955329601149,6.227961818751012,1.18231774985514,40.38789316772508,34.15993134897407,2000-2005,15
70-74 years,2999.255787017746,12.862768227999837,1.2225669869964082,70.65556311454525,57.79279488654541,2000-2005,16
75-79 years,5450.369554677087,29.20919695415938,1.2865353509176831,131.1484406133151,101.93924365915572,2000-2005,17
80-84 years,8030.264737922007,66.47771011228409,1.3673037541579212,247.46608651668697,180.98837640440289,2000-2005,18
< 1 year,187.94426962201766,1.5468305148968362,1.3939671146452952,5.4731239982742785,3.9262934833774423,2000-2005,1
1-4 years,-9.75546045780888,-0.016938905039613178,0.8493492226162918,0.09549931355961588,0.11243821859922906,2006-2012,2
10-14 years,-1.1564837196085662,-0.0015555369125343568,0.9754756158986537,0.061872637516072936,0.06342817442860729,2006-2012,4
15-19 years,-22.42351217063556,-0.028482855067757593,0.783187481260164,0.10288804193259309,0.13137089700035068,2006-2012,5
20-24 years,-35.159127126232704,-0.0455150393090023,0.8877275989083331,0.3598832497312462,0.4053982890402485,2006-2012,6
25-29 years,-27.91894108015464,-0.03784515180020054,0.938221352233159,0.574747599388398,0.6125927511885986,2006-2012,7
30-34 years,26.407293452124577,0.037951756192539876,1.0393790346871887,1.0017071273948417,0.9637553712023018,2006-2012,8
35-39 years,82.0867605058254,0.11557272905594984,1.0718223900723691,1.7247189707710682,1.6091462417151183,2006-2012,9
40-44 years,410.6140840346511,0.5529382719521778,1.2254404629109164,3.0056402617040066,2.4527019897518287,2006-2012,10
45-49 years,762.152363747979,0.9783042829031041,1.24327782651434,4.999650152850023,4.021345869946919,2006-2012,11
5-9 years,0.5844986866505124,8.142313849508198e-4,1.0174918425185202,0.047363437627158646,0.046549206242207826,2006-2012,3
50-54 years,1492.3265884739303,1.9931776233060914,1.2974733386162296,8.693534813560007,6.700357190253915,2006-2012,12
55-59 years,2208.319408865713,3.359993554957743,1.3066394546273392,14.317466588038771,10.957473033081028,2006-2012,13
60-64 years,2475.2796284273954,4.603671675380532,1.2472628878393641,23.22220240438882,18.618530729008288,2006-2012,14
65-69 years,2426.060788831541,6.103036571597038,1.1889170123715918,38.40842026881869,32.30538369722165,2006-2012,15
70-74 years,3673.5767470738574,12.521272671470648,1.2218286749660674,68.9669629023932,56.44569023092256,2006-2012,16
75-79 years,5872.08819179003,26.23090394433713,1.2689188454032048,123.77298547829473,97.5420815339576,2006-2012,17
80-84 years,9841.291566076172,61.821010241820176,1.364550224350076,231.40261001188014,169.58159977005997,2006-2012,18
< 1 year,87.71880959252366,0.6084982216344286,1.1961155789104638,3.7112513278128874,3.102753106178459,2006-2012,1
1-4 years,-9.006677414626672,-0.015803681269490555,0.8042310829479021,0.06492252137525763,0.08072620264474818,2013-2019,2
10-14 years,0.2493777162343207,3.3688294268868074e-4,1.0058333119592746,0.05808845615540743,0.057751573212718746,2013-2019,4
15-19 years,-27.8545468940206,-0.03686856820511571,0.6792966184256474,0.07809301412721156,0.11496158233232727,2013-2019,5
20-24 years,-34.9631767253116,-0.0435989236599732,0.8566866639686441,0.2606220572153453,0.3042209808753185,2013-2019,6
25-29 years,30.081806510351157,0.03709783013091417,1.0699710013809298,0.5672864711216223,0.5301886409907082,2013-2019,7
30-34 years,33.373912631696044,0.043351722551179916,1.0437618292692608,1.0339803885615166,0.9906286660103367,2013-2019,8
35-39 years,133.21367802459804,0.183575666722388,1.1132012460860186,1.8052509845266977,1.6216753178043097,2013-2019,9
40-44 years,282.8337157965998,0.40495339245215334,1.1539510703132883,3.03535662140067,2.630403228948517,2013-2019,10
45-49 years,802.9670551210684,1.1107275579508444,1.2567824098035387,5.436286924733985,4.325559366783141,2013-2019,11
5-9 years,13.902955842766438,0.01907562653474377,1.5327406337285452,0.054882218574170666,0.0358065920394269,2013-2019,3
50-54 years,1948.9890044224276,2.608160384946877,1.3829046746884823,9.41967394786899,6.811513562922113,2013-2019,12
55-59 years,2705.101833725834,3.6545711495531243,1.3198692689139488,15.079773582914347,11.425202433361223,2013-2019,13
60-64 years,4293.450411593654,6.592262947092415,1.3490454130310054,25.47881094624011,18.886547999147695,2013-2019,14
